transcript_id	gene_id	transcript_biotype	gene_name
ENSRNOT00000087667	ENSRNOG00000070168	protein_coding	Or51f23c-ps1
ENSRNOT00000119508	ENSRNOG00000070901	protein_coding	Irgq
ENSRNOT00000024353	ENSRNOG00000018029	protein_coding	Doc2g
ENSRNOT00000045306	ENSRNOG00000031391	protein_coding	Ceacam16
ENSRNOT00000075346	ENSRNOG00000050129	protein_coding	AABR07000137.1
ENSRNOT00000026088	ENSRNOG00000032625	protein_coding	Zfp108
ENSRNOT00000099999	ENSRNOG00000032625	protein_coding	Zfp108
ENSRNOT00000094997	ENSRNOG00000032625	protein_coding	Zfp108
ENSRNOT00000050814	ENSRNOG00000029315	protein_coding	LOC690251
ENSRNOT00000119131	ENSRNOG00000016356	protein_coding	Got1
ENSRNOT00000022309	ENSRNOG00000016356	protein_coding	Got1
ENSRNOT00000031397	ENSRNOG00000028288	protein_coding	Clrn3
ENSRNOT00000081471	ENSRNOG00000015810	protein_coding	Trip13
ENSRNOT00000021532	ENSRNOG00000015810	protein_coding	Trip13
ENSRNOT00000112286	ENSRNOG00000015810	protein_coding	Trip13
ENSRNOT00000023610	ENSRNOG00000017538	protein_coding	Lrrc27
ENSRNOT00000049631	ENSRNOG00000017538	protein_coding	Lrrc27
ENSRNOT00000034389	ENSRNOG00000027204	protein_coding	Map6
ENSRNOT00000118262	ENSRNOG00000027204	protein_coding	Map6
ENSRNOT00000049686	ENSRNOG00000069410	protein_coding	Or2ag2
ENSRNOT00000040740	ENSRNOG00000014903	protein_coding	Zfyve27
ENSRNOT00000083287	ENSRNOG00000014903	protein_coding	Zfyve27
ENSRNOT00000114879	ENSRNOG00000014903	protein_coding	Zfyve27
ENSRNOT00000107917	ENSRNOG00000014903	protein_coding	Zfyve27
ENSRNOT00000088190	ENSRNOG00000064304	protein_coding	Or5b107
ENSRNOT00000028588	ENSRNOG00000021051	protein_coding	Cyth2
ENSRNOT00000100389	ENSRNOG00000021051	protein_coding	Cyth2
ENSRNOT00000115939	ENSRNOG00000021051	protein_coding	Cyth2
ENSRNOT00000015084	ENSRNOG00000011160	protein_coding	Sv2b
ENSRNOT00000054887	ENSRNOG00000017748	protein_coding	Nkx6-2
ENSRNOT00000022406	ENSRNOG00000016227	protein_coding	Glrx3
ENSRNOT00000107315	ENSRNOG00000016227	protein_coding	Glrx3
ENSRNOT00000083316	ENSRNOG00000016227	protein_coding	Glrx3
ENSRNOT00000109827	ENSRNOG00000016227	protein_coding	Glrx3
ENSRNOT00000018233	ENSRNOG00000013395	protein_coding	Pglyrp1
ENSRNOT00000022879	ENSRNOG00000016906	protein_coding	Lipt2
ENSRNOT00000115981	ENSRNOG00000070448	protein_coding	Or5b114
