Gene	one	two	three	four
Gene1	158023.5	120858.5	158846.5	103443
Gene2	80396	69879	110872	46380
Gene3	21501	14155	96716	13084
Gene4	29794	26027	80805	12919
Gene5	28679	37797	37762	17471
Gene6	32817	36212	31236	18366
Gene7	11944	7653	69408	5751
Gene8	4261	12089	61602	1779
Gene9	27068	20033	23691	15461
Gene10	24941	16915	26783	14415
Gene11	19945	15688	15420	18790
Gene12	26970	19867	7959	16879
Gene13	13551	8809	29395	10299
Gene14	19946	13553	9571	12669
Gene15	16910	15366	10074	10072
Gene16	15679.5	11853.5	17402.5	9156
Gene17	14830	9982	10373	8233
Gene18	12587	8815	14082	6573
Gene19	10770	11775.67	5515.33	7038.33
Gene20	3893	2512.5	4326	2325.5
