Gene.ID	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10
ENSG00000160072	58.51	115.96	65.4	258.77	148.85	306.15	64.99	101.83	75.37	30.96
ENSG00000279928	0.55	13.13	0	24.26	5.05	11.96	0.76	0	0	0.45
ENSG00000228037	0	8.75	0.68	56.61	5.05	0	0.76	1.73	0	1.35
ENSG00000142611	9.3	48.13	17.03	190.03	20.18	0	31.74	40.85	35.64	8.97
ENSG00000284616	0	15.32	0.68	0	22.71	4.78	10.58	6.33	2.92	7.63
ENSG00000157911	102.25	223.17	158.06	432.63	431.4	947.14	110.33	130.02	153.07	59.22
ENSG00000269896	16.95	41.57	13.63	44.48	73.16	7.18	15.87	26.46	21.03	6.28
ENSG00000228463	1.64	21.88	5.45	0	55.5	4.78	3.02	17.83	7.59	8.52
ENSG00000260972	0	19.69	0	0	0	0	0	6.33	0	0.45
ENSG00000224340	0	2.19	2.73	0	15.14	0	0.76	1.15	0	0
ENSG00000226374	1.64	24.07	0	109.17	7.57	0	0	3.45	1.17	6.28
ENSG00000229280	0	30.63	2.04	0	5.05	0	0.76	0.58	1.75	4.49
ENSG00000142655	159.67	601.67	245.95	707.57	1001.56	882.56	259.19	263.49	210.32	161.07
ENSG00000232596	0	50.32	0	8.09	17.66	0	3.02	5.75	1.75	2.24
ENSG00000235054	0	24.07	0	0	10.09	0	0	2.88	1.17	3.14
ENSG00000231510	0	6.56	0	0	5.05	69.36	0	2.3	1.17	1.79
ENSG00000149527	108.27	240.67	131.49	440.72	239.67	138.72	139.04	136.35	109.25	170.05
ENSG00000284739	0.55	10.94	0	0	0	0	0	0	0	0.45
ENSG00000171621	100.06	260.36	124.68	210.25	189.21	215.26	102.77	164.54	114.51	47.11
ENSG00000272235	0	21.88	0	32.35	0	0	1.51	2.3	2.34	2.24
ENSG00000284694	1.09	50.32	6.13	0	20.18	4.78	6.8	10.36	5.26	1.79
ENSG00000224387	0	26.25	0	0	0	26.31	0	1.15	0	2.24
ENSG00000285629	0.55	0	0	0	0	0	0.76	0	1.17	0
ENSG00000173673	0	0	0	0	0	0	0	1.15	0	0.45
ENSG00000142583	6.01	48.13	3.41	0	27.75	62.19	3.78	16.11	7.59	7.63
ENSG00000284674	0.55	28.44	0	84.91	0	0	1.51	5.75	0.58	4.04
ENSG00000224338	1.09	6.56	0.68	0	7.57	0	0	2.3	1.17	0.9
ENSG00000116786	503.6	728.57	572.29	3024.38	1687.77	1937.33	730.73	882.51	713.34	322.59
ENSG00000287727	6.01	2.19	2.04	68.74	10.09	23.92	3.02	2.3	2.34	1.35
