Gene.ID	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10
ATAD3B	58.51	115.96	65.4	258.77	148.85	306.15	64.99	101.83	75.37	30.96
DDX11L17	0.55	13.13	0.0	24.26	5.05	11.96	0.76	0.0	0.0	0.45
ENSG00000228037	0.0	8.75	0.68	56.61	5.05	0.0	0.76	1.73	0.0	1.35
PRDM16	9.3	48.13	17.03	190.03	20.18	0.0	31.74	40.85	35.64	8.97
ENSG00000284616	0.0	15.32	0.68	0.0	22.71	4.78	10.58	6.33	2.92	7.63
PEX10	102.25	223.17	158.06	432.63	431.4	947.14	110.33	130.02	153.07	59.22
ENSG00000269896	16.95	41.57	13.63	44.48	73.16	7.18	15.87	26.46	21.03	6.28
ENSG00000228463	1.64	21.88	5.45	0.0	55.5	4.78	3.02	17.83	7.59	8.52
ENSG00000260972	0.0	19.69	0.0	0.0	0.0	0.0	0.0	6.33	0.0	0.45
ENSG00000224340	0.0	2.19	2.73	0.0	15.14	0.0	0.76	1.15	0.0	0.0
LINC01345	1.64	24.07	0.0	109.17	7.57	0.0	0.0	3.45	1.17	6.28
EEF1DP6	0.0	30.63	2.04	0.0	5.05	0.0	0.76	0.58	1.75	4.49
PEX14	159.67	601.67	245.95	707.57	1001.56	882.56	259.19	263.49	210.32	161.07
LINC01646	0.0	50.32	0.0	8.09	17.66	0.0	3.02	5.75	1.75	2.24
LINC01777	0.0	24.07	0.0	0.0	10.09	0.0	0.0	2.88	1.17	3.14
LINC02782	0.0	6.56	0.0	0.0	5.05	69.36	0.0	2.3	1.17	1.79
PLCH2	108.27	240.67	131.49	440.72	239.67	138.72	139.04	136.35	109.25	170.05
ENSG00000284739	0.55	10.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45
SPSB1	100.06	260.36	124.68	210.25	189.21	215.26	102.77	164.54	114.51	47.11
ENSG00000272235	0.0	21.88	0.0	32.35	0.0	0.0	1.51	2.3	2.34	2.24
ENSG00000284694	1.09	50.32	6.13	0.0	20.18	4.78	6.8	10.36	5.26	1.79
ENSG00000224387	0.0	26.25	0.0	0.0	0.0	26.31	0.0	1.15	0.0	2.24
ENSG00000285629	0.55	0.0	0.0	0.0	0.0	0.0	0.76	0.0	1.17	0.0
HES3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	0.45
SLC2A5	6.01	48.13	3.41	0.0	27.75	62.19	3.78	16.11	7.59	7.63
LINC02781	0.55	28.44	0.0	84.91	0.0	0.0	1.51	5.75	0.58	4.04
MTCYBP45	1.09	6.56	0.68	0.0	7.57	0.0	0.0	2.3	1.17	0.9
PLEKHM2	503.6	728.57	572.29	3024.38	1687.77	1937.33	730.73	882.51	713.34	322.59
ENSG00000287727	6.01	2.19	2.04	68.74	10.09	23.92	3.02	2.3	2.34	1.35
ENSG00000286448	0.0	2.19	0.68	0.0	0.0	0.0	0.0	3.45	0.0	0.45
ENSG00000284703	1.09	80.95	3.41	133.43	70.64	26.31	2.27	6.9	7.59	8.97
RPL22P3	0.55	26.25	4.09	4.04	7.57	16.74	0.0	4.6	1.75	1.79
NMNAT1	60.69	144.4	68.81	448.8	80.73	322.89	71.03	81.69	97.57	54.29
MFFP1	0.0	4.38	2.04	16.17	7.57	2.39	0.76	5.75	2.34	4.04
ENSG00000241326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGAM1P11	0.0	2.19	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0
CCDC27	4.92	37.19	2.04	36.39	30.27	0.0	5.29	10.36	4.67	2.69
CHD5	233.48	564.48	224.15	1516.23	630.71	983.02	59.7	100.68	75.95	28.27
DISP3	195.75	275.68	282.05	929.96	890.56	1267.64	113.35	120.24	124.44	190.24
MMEL1	17.5	78.76	8.86	0.0	40.37	0.0	9.82	11.51	12.27	9.87
ENSG00000225931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM51	35.0	89.7	36.79	133.43	70.64	81.32	83.88	102.98	94.06	26.47
WASH9P	12.03	0.0	17.71	0.0	12.61	55.01	8.31	8.63	11.68	6.28
TTLL10	0.55	19.69	0.68	0.0	10.09	0.0	2.27	5.18	2.92	3.14
ENSG00000229393	0.0	6.56	0.0	76.82	0.0	0.0	1.51	0.58	2.92	1.35
FBXO42	281.05	531.66	376.07	1330.24	910.74	1473.33	387.66	481.53	440.51	189.34
ENSG00000287586	1.64	32.82	2.04	0.0	20.18	129.16	3.02	10.93	7.01	8.08
ALDH4A1	62.34	87.52	98.79	266.86	227.05	303.75	57.43	87.45	78.87	67.3
ENSG00000227169	0.0	0.0	0.0	24.26	5.05	0.0	0.0	0.0	1.17	0.0
ENSG00000283356	0.0	8.75	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0
CLCN6	697.17	1111.45	944.27	3602.57	2828.09	3927.28	520.65	692.66	549.18	332.91
CELA2A	1.64	32.82	2.73	0.0	2.52	4.78	3.02	5.75	0.58	2.24
CELA2B	0.55	35.01	2.04	12.13	2.52	0.0	0.0	9.78	2.92	0.9
RER1	224.73	374.13	247.99	1026.99	686.21	1449.41	353.65	334.82	325.42	127.42
PANK4	209.42	601.67	307.26	925.91	845.15	817.98	197.98	257.73	233.11	161.52
ENSG00000238290	7.66	207.85	6.81	157.69	47.93	0.0	12.09	14.96	2.92	10.77
ENSG00000225387	0.0	6.56	0.0	44.48	0.0	0.0	0.0	0.0	0.0	0.0
VPS13D	306.21	1013.0	353.59	2130.81	1188.25	2102.36	330.23	451.61	339.44	270.55
RPL10P17	0.0	0.0	0.0	0.0	10.09	0.0	0.0	1.15	0.0	0.0
RBP7	2.19	21.88	2.73	0.0	0.0	2.39	5.29	9.2	5.26	3.59
ENSG00000279625	0.0	4.38	0.0	0.0	0.0	0.0	3.02	0.0	0.0	0.9
GPR157	7.11	54.7	10.22	60.65	27.75	35.88	21.91	35.67	28.04	4.94
ZBTB40	240.04	522.91	273.2	1722.44	928.4	839.51	247.86	376.82	269.33	124.73
ENSG00000288398	55.23	148.78	56.55	408.37	290.12	172.21	46.1	72.49	62.51	40.83
ENSG00000224621	0.0	21.88	1.36	0.0	10.09	0.0	1.51	2.88	0.0	1.79
ENSG00000285833	1.09	10.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPHP4	116.47	498.84	158.74	913.78	562.59	698.4	111.08	192.15	121.52	82.56
ENSG00000284692	0.0	61.26	8.86	93.0	17.66	4.78	0.0	13.23	2.92	5.83
ENSG00000284745	0.0	6.56	0.0	0.0	5.05	0.0	1.51	1.15	0.58	0.0
ENSG00000280222	14.22	120.33	18.39	218.34	151.37	45.44	27.2	40.85	15.19	32.75
ENSG00000285945	0.0	0.0	0.0	0.0	5.05	0.0	0.0	0.0	0.0	2.24
HES5	1.64	0.0	8.18	0.0	2.52	31.09	3.02	1.73	2.34	13.01
ENSG00000233755	0.0	21.88	0.68	12.13	0.0	26.31	1.51	4.6	1.17	4.04
MT1XP1	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1.15	0.0	0.9
ENSG00000271742	0.0	43.76	1.36	24.26	17.66	0.0	3.02	1.73	3.51	3.14
ARHGEF19-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DYNLL1P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SZRD1	361.98	603.86	451.7	735.88	782.08	923.22	590.93	739.26	633.89	179.92
PDIK1L	116.47	231.92	139.66	363.9	446.54	629.04	80.1	112.76	105.75	115.31
NECAP2	190.83	275.68	218.69	238.55	257.33	464.0	389.92	357.84	344.7	63.26
IGSF21-AS1	0.0	10.94	0.0	0.0	2.52	0.0	0.0	1.15	0.0	1.35
ENSG00000225643	0.55	0.0	1.36	0.0	0.0	2.39	1.51	4.03	1.17	0.0
ENSG00000284666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228943	0.0	0.0	0.68	0.0	0.0	0.0	2.27	0.0	0.0	0.45
PPIAP34	0.0	4.38	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0
ENSG00000284309	0.55	19.69	0.0	0.0	5.05	0.0	0.76	0.0	0.58	0.0
LAPTM5	0.55	45.95	2.04	0.0	0.0	0.0	21.16	25.31	29.21	1.79
SLC30A2	0.55	13.13	0.0	24.26	15.14	0.0	0.0	4.03	2.34	4.94
PHACTR4	529.85	916.73	662.9	3129.5	2038.44	2281.75	639.29	779.53	631.55	372.85
IFITM3P7	0.0	19.69	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0
ENSG00000235263	0.0	21.88	0.0	36.39	12.61	11.96	0.76	3.45	1.17	0.0
ENSG00000228176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000231251	0.55	0.0	6.13	40.43	7.57	7.18	5.29	2.88	0.0	1.35
CNKSR1	14.76	185.97	36.79	97.04	158.94	258.31	37.03	43.15	36.22	23.33
FAM110D	2.73	45.95	4.77	24.26	20.18	16.74	6.05	8.63	4.67	6.28
ICMT	249.34	557.91	322.93	1403.02	817.4	1588.13	364.23	430.9	369.23	175.43
MED18	54.68	107.21	55.87	194.08	131.19	224.83	60.45	69.04	70.69	37.69
ENSG00000215899	0.0	0.0	0.0	0.0	5.05	0.0	0.0	1.73	1.17	1.35
ENSG00000271398	0.0	30.63	5.45	0.0	17.66	4.78	1.51	3.45	2.34	2.24
ENSG00000225011	0.0	6.56	0.0	0.0	0.0	0.0	0.0	0.58	0.58	0.0
ENSG00000235069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000284676	0.0	54.7	0.68	12.13	22.71	19.13	3.78	6.9	1.17	2.24
MMEL1-AS1	6.01	4.38	4.09	0.0	0.0	0.0	1.51	5.18	3.51	7.18
LINC01648	0.0	30.63	2.04	60.65	37.84	0.0	1.51	4.6	1.75	1.79
SLC9A1	236.22	415.7	352.91	432.63	421.31	377.9	736.02	999.29	691.14	95.57
LDLRAP1	36.64	52.51	49.73	32.35	22.71	7.18	120.15	184.67	167.67	4.04
RNF207-AS1	0.55	0.0	8.18	0.0	7.57	0.0	0.76	1.15	1.17	0.0
ATP5IF1	1007.2	995.49	1220.19	3085.03	3463.84	4958.14	1094.96	895.74	1124.06	1146.8
ENSG00000229044	0.0	0.0	2.04	0.0	0.0	0.0	0.0	1.15	0.58	2.24
SDC3	3621.45	3859.46	4438.62	32326.06	15356.44	11418.3	3476.05	4554.07	4719.4	3763.01
PAFAH2	45.38	129.09	47.69	206.21	136.23	478.35	64.23	81.12	73.03	27.37
ENSG00000214812	0.0	4.38	0.0	4.04	0.0	0.0	5.29	0.58	0.58	0.9
DNAJC8	1751.4	1533.72	1943.73	12643.35	5255.05	5697.19	2006.29	2002.04	2404.69	1719.31
ENSG00000229447	2.73	4.38	8.86	20.22	45.41	2.39	9.07	10.93	9.35	2.69
ENSG00000229607	0.0	10.94	0.0	12.13	7.57	0.0	0.0	0.58	0.0	1.35
SESN2	614.6	975.8	637.01	3784.51	1776.07	3896.19	624.18	838.79	723.86	342.79
SERINC2	140.53	247.23	181.9	590.32	272.47	198.52	219.14	256.01	177.02	65.95
