	A1BG (1)	A1CF (29974)	A2M (2)	A2ML1 (144568)	A3GALT2 (127550)	A4GALT (53947)	A4GNT (51146)	AAAS (8086)	AACS (65985)	AADAC (13)	AADACL2 (344752)	AADACL3 (126767)	AADACL4 (343066)	AADAT (51166)	AAED1 (195827)	AAGAB (79719)	AAK1 (22848)	AAMDC (28971)	AAMP (14)	AANAT (15)	AAR2 (25980)	AARD (441376)	AARS (16)	AARS2 (57505)	AARSD1 (80755)	AASDH (132949)	AASDHPPT (60496)	AASS (10157)	AATF (26574)	AATK (9625)	ABAT (18)	ABCA1 (19)	ABCA10 (10349)	ABCA12 (26154)	ABCA13 (154664)	ABCA2 (20)	ABCA3 (21)	ABCA4 (24)	ABCA5 (23461)	ABCA6 (23460)	ABCA7 (10347)	ABCA8 (10351)	ABCA9 (10350)	ABCB1 (5243)	ABCB10 (23456)	ABCB11 (8647)	ABCB4 (5244)	ABCB5 (340273)	ABCB6 (10058)	ABCB7 (22)	ABCB8 (11194)	ABCB9 (23457)	ABCC1 (4363)	ABCC10 (89845)	ABCC11 (85320)	ABCC12 (94160)	ABCC2 (1244)	ABCC3 (8714)	ABCC4 (10257)	ABCC5 (10057)	ABCC6 (368)	ABCC8 (6833)	ABCC9 (10060)	ABCD1 (215)	ABCD2 (225)	ABCD3 (5825)	ABCD4 (5826)	ABCE1 (6059)	ABCF1 (23)	ABCF2 (10061)	ABCF3 (55324)	ABCG1 (9619)	ABCG2 (9429)	ABCG4 (64137)	ABCG5 (64240)	ABCG8 (64241)	ABHD1 (84696)	ABHD10 (55347)	ABHD11 (83451)	ABHD12 (26090)	ABHD12B (145447)	ABHD13 (84945)	ABHD14A (25864)	ABHD14B (84836)	ABHD15 (116236)	ABHD16A (7920)	ABHD16B (140701)	ABHD17A (81926)	ABHD17B (51104)	ABHD17C (58489)	ABHD18 (80167)	ABHD2 (11057)	ABHD3 (171586)	ABHD4 (63874)	ABHD5 (51099)	ABHD6 (57406)	ABHD8 (79575)	ABI1 (10006)	ABI2 (10152)
A1BG (1)	1.0	-0.07058328785020972	0.08650500265792428	-0.012562684181137514	0.050280812665264255	0.06239242598109443	0.03259058795774262	0.0033725159027941493	0.026598097477306674	0.019058637349230214	0.003660078292180031	-0.01253801575339311	0.022367278157726496	-0.01740860101300597	-0.045115220372168384	-0.10174886580161734	0.017616303722562357	0.03695474881844823	0.06805303012133075	0.05465271841357586	0.021768599307895115	-0.0425879454236705	0.010155174589983012	-0.10476072895503562	0.09834377986281775	-0.01928372024712431	-0.03811806549229964	-0.12347881644050399	-0.03984214806538848	-0.03417554860587553	-0.10984222105731774	0.046170630455338785	-0.02515971748070737	0.04833264013726822	-0.0402362259254056	0.10740061371849519	0.05265984684420278	0.024946881343364133	0.06599685801937097	-0.024468062247085285	-0.01768466262657433	0.03770795318828668	0.01521310169178975	0.0068374209382663	-0.05120864216741163	-0.04763783353710945	0.03593366946498911	-0.027943046333436986	-0.07883333104871633	0.021531313525576187	0.09287589682840258	-0.0027779724339566762	-0.021163905879233624	0.07751635977987992	0.00808605642601875	-0.025175168716868087	-0.03094028475129094	0.05221323254065577	-0.0067933636394521685	-0.027164398716949045	0.039106022856168494	-0.1472638752903348	0.0456528832236334	-0.038446784173490775	0.029475318207886105	0.13237466088084318	0.0429567542053105	0.08399827673641316	-0.023421109190576	0.019558158914520625	-0.020040878405624227	-0.024016826134801442	-0.08570054808310856	0.13149790541576448	0.018355855340345607	-0.014428945382151325	0.058758583208862424	-0.0005493598410208426	-0.12224473258244516	-0.04642909815106958	0.09203975166847848	0.04025673335296724	0.012816944435831725	0.019475774073866237	0.0011732413302465536	-0.04578057139802383	0.03153247622352177	0.08704616294533292	-0.06593757700865788	0.007503293458910915	-0.042276626841971116	-0.0478022083634278	0.11024800116269665	-0.07360077908733614	-0.05388458553242044	0.04518562909145119	0.0009285466293475325	-0.012221330947753442	-0.000744311362579431
A1CF (29974)	-0.07058328785020972	1.0	0.04491490314855806	-0.0027803080118504655	0.01408340552174224	-0.1038065099614461	0.009107336354799518	0.049814867201020206	-0.07025992946352261	0.020685603359539076	0.024877812409740636	0.028954146271871293	-0.08274957848934213	-0.03659270748904487	0.018977265918794214	0.06000099037742067	0.07431777955693365	0.03984474399731215	-0.09097297599167693	-0.09650783966288275	0.021748373501617572	-0.004882252901835986	-0.004300045738171838	0.12231746696748759	0.04482673082963501	0.07724392738339642	0.03562790490917237	-0.00474626295633601	-0.03178811020827622	0.0005168839663131941	0.021619273378706703	-0.06421676582816017	0.03889468261432017	-0.10011493010756929	0.12157624162141431	-0.01502057333472136	-0.09558493256648778	0.050867660463571676	0.05174058591337738	0.061286507927094454	-0.0765567264707957	-0.0043124369640715875	-0.04688560553149107	-0.04101015819623725	-0.035386798747835985	0.04537259564216921	-0.04142426301191268	-0.022428812754650272	-0.09511577053674157	0.03105856113054234	-0.048870057282507796	-0.054712319352566104	0.13320904239328069	0.013850838359698872	0.0341586006139295	-0.05758474063884735	0.09486969336961604	0.09318711848417519	-0.00935675096234757	0.07382821235546158	0.03353987208531464	0.07207353416014788	0.08759097591663643	-0.027222978937005645	0.038351649472244356	0.019655268838154025	0.02300992294788448	-0.005924883462637876	0.03344797719873861	-0.055459903431917285	-0.004210472354494606	-0.026527230985454155	0.07673829408853197	0.018268364781921106	0.044742101088622345	0.010694779294751072	-0.036640495563300304	0.08717535749929099	0.011455477626153086	0.09619559097760484	0.009774143896475558	0.03387915437762681	-0.05957261689332458	-0.015628969541792916	0.004282177756918048	0.03096916887463974	-0.006068871641503445	-0.017379474086709642	0.07963017300020098	-0.08444515741379606	-0.004721860386398021	-0.05442573748910652	0.026099738140741253	0.085903742050325	0.048622449627812814	0.015827264779959688	0.04524901037622014	0.03761602672140895	0.015201954652607163
A2M (2)	0.08650500265792428	0.04491490314855806	1.0	0.10401161970026386	0.004795823448628326	-0.07264911877783682	0.0016573370246494839	-0.04009768367664827	0.006869314645873573	0.0436194424277952	0.0458276585287199	0.11231833661777486	0.005213746385601511	0.06816760785959403	0.03631426367150367	0.023877601836864597	-0.09650834404692192	0.012021599258655214	-0.05825932045379705	-0.005435043021128421	0.05849432874073716	0.0867360238094825	0.04147626700093532	0.07463851906626201	0.009290751317134959	0.017041915194466337	-0.01921156201050012	-0.061584964282664544	-0.04945563441547213	0.003800358395262337	0.03073192347936948	0.019609857405269767	0.0028679468793868837	0.04729865513090939	-0.04485914058868596	0.06048097358950323	-0.026195824476562483	-0.013649880526598664	0.008124617194958036	0.033493353183935495	-0.021401553793341684	0.058552497272734115	0.02159148555374676	-0.09661295797734994	0.04087864682457463	-0.05285180975125857	-0.005465830204603995	-0.09474298099152867	-0.1158201419426971	0.08033526918792959	-0.07003231819940252	-0.006266095255299318	0.02436546871053104	-0.0277288240476792	-0.01218242303180034	0.005241872428110532	-0.0015671836954325297	-0.029863862704654246	-0.017544537397067503	0.05087384421127063	-0.011445835528013447	-0.03312241866395564	0.12367368767876018	-0.06913104283919717	0.057848950285648904	-0.01668134784492479	-0.025192331569122702	0.020355673123168112	-0.027214591679627777	-0.008324384692328988	-0.013501677234212903	0.03821438438808507	0.03292134193293991	0.017710224286061657	-0.007830290992160517	-0.06156934627895473	0.04044527066022258	0.0015381828516969182	-0.005500542551264387	-0.15368068155376663	0.12760311209007053	-0.032325485661483216	0.06291579207633788	0.005918649977743561	-0.017764465850173182	-0.01098618572576746	-0.015129107187389456	-0.04405592998433518	0.004322550846889915	0.0016575031736518536	-0.10009152646921388	-0.03425005047240743	0.030897741972715227	-0.020164431789367058	0.007476770209622446	-0.007061929448531689	-0.03221290736090409	0.0244658302823264	-0.07177935909888083
A2ML1 (144568)	-0.012562684181137514	-0.0027803080118504655	0.10401161970026386	1.0	-0.07196674727642637	-0.04846706468695821	-0.05400497377739264	-0.05982310968636407	0.022574223735770504	-0.026372855675382178	-0.03159234710293213	0.049843678155888846	-0.0038098531414503148	-0.05676377200252186	0.023759284075771207	-0.11012858537922317	-0.05740240769517807	0.09864440056605688	0.023914054554338815	-0.0010741755179679096	0.0311192861998794	0.005858087140609857	0.03943754605611223	-0.06687978829030966	-0.030693047418847316	-0.03874422225752111	-0.06487969107614854	0.010669383909104662	-0.07884577505226485	-0.08113136436426314	0.024243285415859177	0.007703714709131441	-0.006356550545139145	3.654296805298512e-05	-0.07011083327793184	0.023891864818825548	0.033244253542025384	-0.09878420129827034	-0.08548424252364599	-0.1494745246368085	-0.026008366782664195	-0.09571351565907767	-0.08455383695636522	0.07479409144059851	0.04109447298801817	0.10544514663335758	-0.09949027227483352	-0.09716515517510844	-0.027388814787495726	0.03976020204512478	-0.0058502324851608676	-0.011690773992067676	0.06901919890011304	0.06799221529075351	0.011031400994388289	0.09803074056259709	-0.03483477992527153	0.010819273392177425	-0.0016182028619341616	0.03572478019628937	0.07652018849254982	-0.037041033969085264	0.15695163544165797	-0.11436210468129654	-0.0557406889183568	-0.02918109523474747	0.01372689699225991	-0.13594683382953923	0.04199691484953182	-0.015401159808127052	0.011671808056713551	0.08920865822076755	0.0501660749901912	-0.008326336664290241	0.009235283881467566	-0.12262769326827529	-0.04879710235428387	-0.08982799307617567	-0.020457999369355863	-0.06878237428807926	-0.009267012841731332	-0.004125356850517363	0.050503073157355194	-0.019180732389351158	-0.03235532886513107	0.05581961463438982	-0.1679081044878561	-0.024249375951808323	0.03812797888168704	-0.1131923669167552	-0.04255141354662176	0.033337311002622626	-0.02993904150793784	0.04112946628424171	0.012938071266393689	0.02854446543371796	0.09232686882616435	-0.003526288531906252	0.005321710006176072
A3GALT2 (127550)	0.050280812665264255	0.01408340552174224	0.004795823448628326	-0.07196674727642637	1.0	-0.03126855201925224	-0.018755168856773627	-0.03891469149783715	-0.01899749240734517	0.07357380480033246	0.021358454234499284	0.03347293989998787	0.06746157168808392	0.03303065645494804	-0.14982034465025285	-0.03281719997477942	-0.08404363979080737	-0.04099591626261176	-0.02395440888658885	0.08412315597503907	-0.015601793516367823	0.02825161590140433	-0.002076102105305144	-0.03624843217820627	0.023846861289679493	-0.02695079740196266	-0.024928856541860313	-0.02985028038050791	0.09346685572758034	0.04241782214570292	-0.013830092194565215	0.05801723272354679	-0.026622686327837763	-0.014206135855876535	-0.04407717924917942	0.05215599898328312	-0.044512840969837444	0.021336834003702627	0.08707401400783735	0.0999744726016359	-0.030951056080062402	-0.038004645072186816	0.061833194136735006	-0.048186837878672464	-0.07158001888603589	-0.00032606041576695	-0.06867074299070107	0.06466175503431368	-0.04842746323436574	0.06850478110866809	0.027414840518090178	0.0726116283525169	0.008001826916697045	-0.017383026073348448	0.02478748179293916	-0.047868096289693234	-0.0549015243133906	-0.0949438471469254	-0.023233727666464175	0.029180217660231298	-0.02942246788588921	0.04544716508293151	-0.07976197285585516	0.06435616786515573	-0.06871760633930353	-0.023903180058619435	0.0011755675600897564	-0.02162006042114508	-0.006853855846772327	0.031195646268391462	-0.08125709655744313	-0.04799362205287674	-0.07053438875149612	0.05474822507882379	0.021364444716219764	0.12696851618249214	0.015918945262783923	-0.0273420739582662	0.048850504240388545	0.07169436785886693	0.08291944864878209	-0.04891503947067476	-0.05506274665745687	0.05181981321479015	0.033997260547047214	0.02065247017372057	0.046926636818362746	-0.035165465542986045	-0.11780917993244495	0.0015075246242905861	-0.04147282966478271	-0.023982144679044057	-0.01678492284660098	0.011084520040179856	0.04020264614332324	0.024369055184211324	-0.05304339378846451	-0.06631103924989909	-0.046324639165291746
A4GALT (53947)	0.06239242598109443	-0.1038065099614461	-0.07264911877783682	-0.04846706468695821	-0.03126855201925224	1.0	-0.07922245742882389	0.027046856499826973	-0.09580064868619217	0.04027846437883237	0.015667939820743472	0.014348958326891774	0.09119969959937729	-0.11992560013217296	-0.020347616901252325	0.01229165462128485	-0.02483001123417131	-0.06342583578522575	0.06808958204517036	0.07886552132462037	-0.04582973435218574	0.0005002389421949385	0.004692045130964214	-0.01661386946326426	-0.025456499825805688	-0.05554297765544127	0.015445561514172108	-0.016187013228500736	0.03156741435344401	0.06956742879290054	0.02751462008747956	-0.010642800948214456	0.09769431845309164	-0.13123271579222417	0.003888353971756598	-0.036996434022843284	0.10987695257741696	-0.004470075068423683	0.05072565996907157	0.09091906781898666	0.001314058119770508	0.02977970411606984	0.048769170277717606	0.022167501605729056	-0.03081009454164822	0.004785592067860354	-0.021533146334560094	0.017361336767824097	-0.007476567254329437	0.03935661181619513	0.014697668638553145	0.04993627435162067	0.06919120465688453	0.027948306158242883	-0.05135505853190702	-0.04462858072734933	0.0009916753377254364	0.04466411588568298	0.05697106714918274	-0.008336915423755514	0.0005313811869783765	-0.024805052063069332	-0.03837241787011578	0.053553842297382935	-0.018227246652653847	-0.050603067438585767	-0.002969630328470958	0.006197960854711023	0.01623922875129227	0.03451864891665992	-0.015158510194571977	0.04977672950051157	0.0001301127892880861	0.048680841774825755	-0.011936725092086735	0.01920715772383124	0.008024297542318013	0.03727954143394175	-0.08940337532453789	0.08101243931937084	0.02192210015992447	-0.024435483002658666	-0.0801537296930799	-0.10097944852000472	0.01943404031580799	-0.017610790802037053	0.0962011258498363	0.04872142504804908	-0.0021231057577945555	0.06235634962008235	0.02996654991672791	-0.0030711439650632395	0.052181874425446646	-0.025335644103183536	-0.05818027128704822	-0.0033230600090951635	-0.02553626813653584	0.09783154374430321	0.019095454556610148
A4GNT (51146)	0.03259058795774262	0.009107336354799518	0.0016573370246494839	-0.05400497377739264	-0.018755168856773627	-0.07922245742882389	1.0	0.0038497921241351205	0.009192012466655458	0.05525697969246894	-0.04055165432673421	0.08514472356092789	0.06854733478797202	0.03157399464164796	0.057136821593073144	0.03184134950401997	0.09216693056495522	0.07312888541704467	-0.06088796158264341	-0.049632110591301126	0.050520097183089294	-0.11895969045153827	-0.08466631728936508	-0.0026463010482176566	0.043570804871009214	0.0717877842895478	0.04978496210193304	0.10535174543685107	-0.0330944701313134	-0.09227879981100726	0.06315022647036327	0.07577550786008895	-0.025292003592190793	0.08807922084921602	-0.10114578152136992	-0.013791537566157688	-0.07850887492616697	-0.07615396038505792	-0.05763990854054564	-0.0693860704655901	0.04151067149721966	0.11380417345121938	0.0406879846464302	-0.02102302376936772	-0.00038815283003192373	0.016676966037556865	0.1260352573523019	0.03012069043648838	-0.09352990256121758	-0.00457321762106509	-0.01858247235757061	0.04668265954562653	-0.007312801721072638	-0.06288218787634085	0.10268777572884966	0.06314377976782765	-0.0910689160703332	-0.05972485477243859	-0.025569969789710875	-0.021369747585947455	0.031104117880717853	0.015747283638323714	0.028043877453591784	-0.08743558424872465	0.0985264793704293	-0.04133448324036861	-0.023639771236215572	-0.010251937761515843	-0.07002938556802832	-0.05660514780718357	0.08716826778169691	0.006941684017754421	-0.06388658177414439	0.018110849543981445	0.17067085799659332	0.07297069795464386	0.006911881910342781	0.06766262037993181	-0.01004611460570008	-0.03752121615375158	0.0522521328452131	-0.01219702618725713	0.03639570041895461	0.04049892262136411	-0.05576295760303056	-0.03314028065441093	-0.16220602561417216	-0.10453309347858598	-0.01911504337880953	-0.019498652071187016	-0.0035653787541729534	-0.06376575109698565	-0.08017031156114404	0.03663191974951455	0.09789577220668695	0.04627604142676718	-0.039320599927472534	-0.03864430646709168	-0.1305076706186606
AAAS (8086)	0.0033725159027941493	0.049814867201020206	-0.04009768367664827	-0.05982310968636407	-0.03891469149783715	0.027046856499826973	0.0038497921241351205	1.0	0.07135467237823521	-0.028865590867919115	0.009035607341526806	0.059669687854276315	-0.02075545993484115	-0.09088040340948345	-0.07397728356004003	0.031867632693405666	0.1172615016770959	-0.015235888080834087	-0.11087658291379722	-0.03879746835121715	-0.013390559113901749	0.001348340406934232	-0.06242625347370365	-0.06331572382227428	0.07937475098698318	0.0909935530757343	-0.015333915329074924	0.06343017967622751	-0.03746668525751917	0.019265316732291805	-0.011729304476688634	0.0019784455943482435	-0.05452440515443865	-0.008138559262692973	0.06171193595572691	0.02020006233218257	-0.0044265224037423855	-0.004705495158990956	-0.03675852408165092	-0.0496516136738254	0.05082261113087754	-0.03721710727965332	0.0028163772565122256	0.012754242530387294	-0.10863091163591976	-2.987667312820637e-05	-0.050325239213807056	-0.023238904486638963	-0.048577005197489205	-0.07205677839535382	-0.013145278041554955	0.11993754915726641	0.08252169162405616	-0.021464066810321314	0.025309396102650362	-0.034296644368745896	-0.04121580396032495	0.01965772712816776	-0.005636343158869493	0.024916808647524193	-0.0034754610187569756	0.013559886099432384	-0.008274186462700376	0.013907971365959842	0.04448034865605611	0.0016516064918017154	-0.002794339373152313	-0.012949917812594317	-0.022567913623910512	-0.0217644031948324	-0.058505736344805916	-0.061810292283686084	-0.03506219508772785	0.004572381334044882	-0.016374148108059452	-0.023883170182531728	0.01459521771313324	0.022984181149589684	-0.045344804841793214	0.048286401058274656	0.022163855434704036	-0.012545568259527977	0.006756271871886001	0.011604327071206386	0.03492196689686282	0.04366588761701916	-0.02236910856458146	0.06288527976358553	-0.02071034374900066	-0.05405832356209634	0.027735735621227813	-0.005174945114585404	0.03781605722238451	-0.03889138226122586	0.06259200611802879	0.03364598107417874	0.03922717963491208	-0.04512634852552643	0.030905259852399832
AACS (65985)	0.026598097477306674	-0.07025992946352261	0.006869314645873573	0.022574223735770504	-0.01899749240734517	-0.09580064868619217	0.009192012466655458	0.07135467237823521	1.0	-0.0806389416735822	-0.04413144212550506	0.07607833429518789	0.00870598191329676	0.030635840876386752	0.022355996087262447	-0.041311270487344946	0.03058379720358309	-0.12722552613650517	0.00738383502861098	-0.062404206972409226	-0.07966830898202984	-0.05901792670169249	-0.010484463761335397	-0.06228724461116199	-0.06963154195068526	0.043709473455248275	-0.0032306029481280075	0.07145619424718928	-0.025390423005712322	-0.061585755919601866	-0.0981227406346697	0.013341049371765556	-0.0024269387039534186	0.06643304118249116	-0.046497768552794236	-0.023804601829135533	-0.036501596662806404	-0.09430079171341771	-0.013705675295539661	-0.04057880818012104	-0.0339010943068123	-0.04826028094874292	0.016869704356757418	-0.040061177416673435	-0.06939415844756963	-0.0010610375145138676	0.024894788266250852	-0.008616176471071567	0.05336557783945973	0.05495906845133086	-0.053776393877881856	0.11371128879747246	0.004916303293275156	0.011861928812883915	-0.03870659640707205	-0.05891867668758021	-0.016856323616636682	-0.012596036214734976	-0.009279197858969	0.11207720021128355	0.05327094805315999	-0.08355692701561444	-0.008219882807048398	0.028570431988240184	0.11406345242925292	0.02681228473069351	-0.048931982251156865	0.08945525459753395	-0.03369696740172659	0.036662945459376074	-0.06943598852380696	-0.023119418157835588	-0.004837342234063642	-0.051654709248926026	-0.005037871343072237	0.05878746301263606	0.06895988262720479	-0.044612222632936696	0.08840003729047266	-0.10074044383810407	0.1276580804568079	0.0019028065386183578	-0.04117160428574633	0.045191705421222264	-0.1088902439231687	0.05526377827230439	0.07024485492253874	-0.05716701578084629	-0.016043143861904096	-0.018217488164630785	-0.002158271728126616	0.08883377299020481	0.07166242270041026	-0.03147825215041498	0.022402047597914636	-0.06080550969748459	-0.008033108735279319	-0.02637084865445833	0.06110048310703131
AADAC (13)	0.019058637349230214	0.020685603359539076	0.0436194424277952	-0.026372855675382178	0.07357380480033246	0.04027846437883237	0.05525697969246894	-0.028865590867919115	-0.0806389416735822	1.0	0.016175551896222898	0.06033215337792137	0.01920424726795376	-0.09313479579065637	-0.07435131816529834	0.03571675424011379	-0.015816176580211515	0.06412564843116991	-0.028915727488954986	-0.0024452497981216816	0.022273168288675742	-0.01584730968120896	-0.055051224528911855	0.004229838596906168	0.07489704878090823	0.07573527153744614	-0.015879256936359252	-0.06717526577861467	0.017817910126530022	-0.11197433704382738	0.07537317430589753	0.01792573309592588	0.01015203498296356	-0.07740356422655029	0.030407305501400504	0.005527950320268815	0.022259438459408122	0.09996747430754918	0.08006778978087828	0.08837944065181064	-0.0848919458367607	0.031210328479165023	0.0160877755558176	0.0678145691348868	-0.021841235574479898	0.06968616979937943	-0.017243150038640104	-0.047414861416608625	-0.0694704751843033	-0.007243880350308677	-0.010344235885497408	-0.045419291262415576	0.09216361064652764	-0.03693357365560669	0.0377016700766699	0.012322802214615592	0.02766999671940776	0.0385613013011538	0.01387183507943527	-0.010534125323381726	0.013834904361204258	0.026585376639999676	-0.014446829457887648	0.004652352747711073	-0.11316545410708613	0.0357140450699208	0.059333280588169314	-0.014776984183257737	-0.05110280165238382	-0.003274790584614328	0.07866136948558147	0.014532745424477762	0.0782102523440498	0.037957457299301944	0.00013930822561781264	0.018182280949468103	-0.026628747075074604	0.1331392180545585	-0.018918533333869673	0.06299212284998626	0.0043424330720324466	-0.016716668830943835	0.051317521467444185	-0.008251035035172325	0.08638017507986072	-0.02744880558919827	-0.07993134820826779	0.019678157206463057	-0.04889485471880713	-0.05660499697297495	0.07267708679056552	-0.17834245470924698	0.02413965160747029	-0.07029048566648727	0.002625432830238448	-0.015900166426274693	0.014828170186568946	-0.019750651421032685	-0.0213301524101482
