Gene	A	B	C	D	E	F
Gene_1	41	15	52	34	19	31
Gene_2	34	11	66	22	20	34
Gene_3	84	38	18	31	12	9
Gene_4	54	44	25	28	19	0
Gene_5	88	81	47	0	0	0
Gene_6	68	33	8	42	10	0
Gene_7	53	41	19	29	15	0
Gene_8	0	11	119	0	0	47
Gene_9	47	31	10	30	14	0
Gene_10	42	74	41	10	0	0
Gene_11	21	26	49	6	21	7
Gene_12	0	0	74	0	0	49
Gene_13	45	40	12	23	9	0
Gene_14	5	0	73	0	0	47
Gene_15	0	0	129	0	0	31
Gene_16	37	18	55	0	12	10
Gene_17	26	33	67	6	0	12
Gene_18	44	15	38	26	0	6
Gene_19	21	29	86	9	0	6
Gene_20	34	19	20	25	11	0
Gene_21	62	21	13	15	6	0
Gene_22	0	6	39	9	14	20
Gene_23	18	5	81	9	0	16
Gene_24	19	20	25	19	13	0
Gene_25	0	0	90.54	0	0	27.92
Gene_26	17	22	83	6	0	7
Gene_27	18	13	32	13	6	14
Gene_28	47	33	37	7	0	0
Gene_29	31	16	12	20	11	0
Gene_30	30	30	8	16	8	0
Gene_31	23	41	33	13	0	0
Gene_32	44	28	16	16	0	0
Gene_33	25	23	17	15	7	0
Gene_34	0	0	89	0	0	19
Gene_35	38	23	0	6	11	0
