Gene	A	B	D
Gene_1	41	15	34
Gene_2	34	11	22
Gene_3	84	38	31
Gene_4	54	44	28
Gene_5	88	81	0
Gene_6	68	33	42
Gene_7	53	41	29
Gene_8	0	11	0
Gene_9	47	31	30
Gene_10	42	74	10
Gene_11	21	26	6
Gene_12	0	0	0
Gene_13	45	40	23
Gene_14	5	0	0
Gene_15	0	0	0
Gene_16	37	18	0
Gene_17	26	33	6
Gene_18	44	15	26
Gene_19	21	29	9
Gene_20	34	19	25
Gene_21	62	21	15
Gene_22	0	6	9
Gene_23	18	5	9
Gene_24	19	20	19
Gene_25	0	0	0
Gene_26	17	22	6
Gene_27	18	13	13
Gene_28	47	33	7
Gene_29	31	16	20
Gene_30	30	30	16
Gene_31	23	41	13
Gene_32	44	28	16
Gene_33	25	23	15
Gene_34	0	0	0
Gene_35	38	23	6
