Feature.ID	baseMean	log2(brain/UHR)	lfcSE	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
A1BG	71.5558	-0.379989	0.284196	0.162941	0.216342	92	106	44	58	77.36	86.03	54.83	68.01	6.27	6.42	5.79	6.09
A1CF	22.4852	-4.7493	1.03927	3.10353e-06	7.63632e-06	51	55	1	1	42.89	44.64	1.25	1.17	5.3	5.36	1.25	1.19
A2BP1	547.886	7.86047	0.441007	3.23373e-70	4.59425e-69	5	6	898	907	4.2	4.87	1119	1063.47	2.45	2.6	10.12	10.04
A2LD1	14.34	-0.0689087	0.543365	0.879061	0.902622	15	21	10	13	12.61	17.04	12.46	15.24	3.68	4.07	3.66	3.92
A2M	1759.95	-1.5607	0.0732694	3.81671e-101	7.94401e-100	3129	3241	696	777	2631.16	2630.29	867.29	911.05	11.36	11.36	9.76	9.83
A2ML1	9.68612	2.27867	0.918447	0.00206312	0.0038282	3	3	13	15	2.52	2.43	16.2	17.59	1.66	1.62	3.85	3.96
A4GALT	80.5472	-0.518587	0.268931	0.0450329	0.0677948	110	122	55	53	92.5	99.01	68.54	62.14	6.53	6.62	6.1	5.97
AAA1	2.6629	-0.576333	0.993697	0.273241	0.340044	4	6	1	1	3.36	4.87	1.25	1.17	1.58	1.95	0.78	0.74
AAAS	274.089	-1.01338	0.15693	6.06321e-11	2.04666e-10	429	462	153	145	360.74	374.94	190.65	170.01	8.49	8.55	7.58	7.41
AACS	321.47	0.590636	0.13947	1.89292e-05	4.32519e-05	296	323	316	325	248.91	262.14	393.77	381.07	7.96	8.04	8.62	8.57
AACSL	3.69936	-1.03832	1.17155	0.109522	0.151947	7	8	1	1	5.89	6.49	1.25	1.17	2.31	2.42	0.91	0.86
AADACL4	1.22066	-0.00535702	0.920198	0.988754	NA	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
AADAT	27.142	-0.157931	0.426533	0.681946	0.735655	38	32	19	23	31.95	25.97	23.68	26.97	4.98	4.7	4.58	4.75
AAGAB	203.589	-0.671211	0.178153	0.000126899	0.00026959	279	330	128	130	234.61	267.82	159.5	152.43	7.87	8.06	7.32	7.26
AAK1	648.363	2.43489	0.116196	3.21638e-98	6.44966e-97	235	253	832	984	197.61	205.33	1036.76	1153.76	7.63	7.69	10.01	10.17
AAMP	696.577	0.208499	0.102744	0.0414869	0.0628771	746	819	565	674	627.31	664.67	704.05	790.28	9.29	9.38	9.46	9.63
AANAT	4.49153	0.101931	0.760789	0.843038	0.873282	6	4	4	4	5.05	3.25	4.98	4.69	2.29	1.83	2.27	2.21
AARS	2093.86	0.296496	0.0669185	9.00986e-06	2.1274e-05	2217	2333	1790	2036	1864.27	1893.39	2230.52	2387.24	10.86	10.89	11.12	11.22
AARS2	306.679	-0.592499	0.15191	7.88455e-05	0.000170793	450	446	172	232	378.4	361.96	214.33	272.02	8.56	8.5	7.75	8.09
AARSD1	191.127	0.348822	0.179224	0.0480729	0.0719996	186	220	165	191	156.41	178.55	205.61	223.95	7.29	7.48	7.68	7.8
AASDH	41.2261	-0.231342	0.357473	0.488139	0.558009	50	59	31	31	42.04	47.88	38.63	36.35	5.39	5.57	5.28	5.19
AASDHPPT	218.126	0.897739	0.167946	5.78776e-08	1.62613e-07	182	184	227	245	153.04	149.33	282.87	287.27	7.26	7.23	8.14	8.16
AASS	80.5904	-0.435515	0.270383	0.093989	0.132142	122	104	55	57	102.59	84.4	68.54	66.83	6.67	6.4	6.1	6.07
AATF	340.319	-1.01965	0.140444	2.2119e-13	8.43147e-13	546	561	177	193	459.13	455.29	220.56	226.3	8.84	8.83	7.79	7.83
AATK	1819.83	5.17876	0.114705	0	0	126	110	2769	3099	105.95	89.27	3450.46	3633.63	6.74	6.5	11.75	11.82
ABAT	1071.69	3.59953	0.106664	1.6839e-250	1.17712e-248	209	185	1563	1717	175.75	150.14	1947.66	2013.21	7.46	7.24	10.92	10.97
ABCA1	116.759	-1.10952	0.241939	2.29931e-06	5.72089e-06	212	177	60	60	178.27	143.65	74.77	70.35	7.47	7.16	6.23	6.15
ABCA10	6.14814	2.91194	1.33471	0.00426541	0.00761275	1	1	9	10	0.84	0.81	11.21	11.73	0.6	0.56	3.18	3.24
ABCA11P	28.8679	0.00292713	0.415516	0.99572	0.996402	31	39	20	28	26.07	31.65	24.92	32.83	4.71	4.98	4.65	5.03
ABCA12	10.7183	-2.44656	0.958397	0.00189734	0.00353969	24	22	2	2	20.18	17.85	2.49	2.35	4.18	4.02	1.74	1.67
ABCA13	2.24246	-0.402804	0.947318	0.402793	0.474864	2	6	1	1	1.68	4.87	1.25	1.17	0.86	1.83	0.67	0.62
ABCA17P	16.4871	2.36674	0.689489	0.000100337	0.000214854	5	6	24	23	4.2	4.87	29.91	26.97	2.29	2.46	4.79	4.65
ABCA2	6305.64	3.1506	0.0548342	0	0	1508	1580	8897	9881	1268.07	1282.28	11086.57	11585.63	10.31	10.33	13.44	13.5
ABCA3	1155.2	2.99199	0.0974873	1.18999e-207	6.30802e-206	299	324	1565	1839	251.43	262.95	1950.15	2156.26	7.98	8.04	10.93	11.07
ABCA4	15.0815	-0.514892	0.56865	0.278084	0.345655	27	18	10	9	22.7	14.61	12.46	10.55	4.45	3.87	3.66	3.46
ABCA5	98.0112	1.27432	0.253539	2.16223e-07	5.81701e-07	63	73	106	126	52.98	59.24	132.09	147.74	5.74	5.9	7.04	7.19
ABCA6	10.7474	4.05862	1.16699	0.00012949	0.000274699	1	1	20	14	0.84	0.81	24.92	16.42	0.67	0.63	4.38	3.83
ABCA7	373.565	-0.361319	0.136203	0.00736251	0.0127198	521	498	240	301	438.11	404.16	299.06	352.93	8.77	8.66	8.23	8.46
ABCA8	92.6014	3.69421	0.34525	1.82992e-27	1.12936e-26	19	12	143	142	15.98	9.74	178.19	166.5	4.06	3.41	7.45	7.35
ABCA9	17.0153	4.35013	0.956157	1.60629e-06	4.04826e-06	1	2	31	23	0.84	1.62	38.63	26.97	0.77	1.22	5.09	4.6
ABCB1	70.7583	1.9487	0.31358	1.20723e-10	4.0004e-10	37	31	86	102	31.11	25.16	107.16	119.6	4.99	4.69	6.72	6.88
ABCB10	87.0785	-0.538706	0.258588	0.030855	0.0478844	125	127	56	60	105.11	103.07	69.78	70.35	6.71	6.68	6.13	6.14
ABCB11	1.42356	-0.0903662	0.913497	0.826445	NA	1	3	1	1	0.84	2.43	1.25	1.17	0.16	0.89	0.39	0.36
ABCB4	8.38745	-1.9104	1.02918	0.0120686	0.0201345	13	22	1	3	10.93	17.85	1.25	3.52	3.33	3.95	1.16	2.01
ABCB5	8.86698	-3.04053	1.19607	0.00221229	0.00409028	20	20	1	1	16.82	16.23	1.25	1.17	3.86	3.82	1.1	1.05
ABCB6	411.389	-0.821201	0.128271	1.05209e-10	3.49887e-10	607	669	240	250	510.42	542.94	299.06	293.13	8.99	9.08	8.23	8.2
ABCB7	104.15	-1.58679	0.262717	5.01229e-10	1.60543e-09	173	209	41	43	145.48	169.62	51.09	50.42	7.17	7.39	5.69	5.68
ABCB8	389.014	0.225535	0.127482	0.0745911	0.107418	439	428	335	360	369.15	347.35	417.44	422.11	8.53	8.44	8.7	8.72
ABCB9	211.025	1.98253	0.183456	7.68379e-28	4.79956e-27	98	106	259	301	82.41	86.03	322.74	352.93	6.38	6.44	8.33	8.46
ABCC1	514.272	-2.88279	0.142243	4.98526e-92	9.3253e-91	1061	1135	94	108	892.19	921.13	117.13	126.63	9.8	9.84	6.88	7
ABCC10	226.337	0.0662424	0.165279	0.685314	0.738652	274	261	175	209	230.41	211.82	218.07	245.06	7.85	7.73	7.77	7.94
ABCC11	5.8684	0.56354	0.822931	0.304213	0.37379	4	5	11	2	3.36	4.06	13.71	2.35	1.87	2.07	3.49	1.55
ABCC12	6.99073	3.18621	1.30278	0.00225294	0.0041593	1	1	7	15	0.84	0.81	8.72	17.59	0.6	0.57	2.9	3.8
ABCC13	1.22066	-0.00535702	0.920198	0.988754	NA	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
ABCC2	201.102	-6.27756	0.522445	6.36649e-33	4.54645e-32	480	482	3	5	403.63	391.18	3.74	5.86	8.64	8.59	2.42	2.85
ABCC3	108.947	-4.77715	0.459791	1.34325e-25	7.94358e-25	244	266	9	3	205.18	215.88	11.21	3.52	7.65	7.72	3.61	2.32
ABCC4	111.19	-3.06686	0.308287	4.9919e-24	2.83273e-23	230	253	20	18	193.41	205.33	24.92	21.11	7.58	7.66	4.69	4.47
ABCC5	451.685	1.29978	0.128265	1.72323e-24	9.90042e-24	294	335	481	587	247.22	271.88	599.38	688.27	7.95	8.09	9.23	9.42
ABCC6	46.8921	-3.10445	0.482434	2.48243e-11	8.56406e-11	108	97	6	9	90.82	78.72	7.48	10.55	6.46	6.26	3.1	3.51
ABCC6P1	5.1636	-1.76802	1.32802	0.0329803	0.0508991	13	9	1	1	10.93	7.3	1.25	1.17	3.15	2.67	0.99	0.94
ABCC6P2	1.844	-0.257704	0.918179	0.567686	NA	3	3	1	1	2.52	2.43	1.25	1.17	1.12	1.09	0.6	0.56
ABCC8	286.242	7.35753	0.517819	3.86339e-45	3.6211e-44	4	4	460	482	3.36	3.25	573.21	565.15	2.18	2.13	9.14	9.12
