Feature.ID	baseMean	log2(brain/UHR)	lfcSE	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
A1BG	71.5558	-0.376857	0.283072	0.162941	0.216342	92	106	44	58	77.36	86.03	54.83	68.01	6.27	6.42	5.79	6.09
A1CF	22.4852	-4.54484	1.10116	3.10353e-06	7.63632e-06	51	55	1	1	42.89	44.64	1.25	1.17	5.3	5.36	1.25	1.19
A2BP1	547.886	7.76137	0.443564	3.23373e-70	4.59425e-69	5	6	898	907	4.2	4.87	1119	1063.47	2.45	2.6	10.12	10.04
A2LD1	14.34	-0.0713702	0.548775	0.879061	0.902622	15	21	10	13	12.61	17.04	12.46	15.24	3.68	4.07	3.66	3.92
A2M	1759.95	-1.55914	0.0732832	3.81671e-101	7.94401e-100	3129	3241	696	777	2631.16	2630.29	867.29	911.05	11.36	11.36	9.76	9.83
A2ML1	9.68612	2.18746	0.945979	0.00206312	0.0038282	3	3	13	15	2.52	2.43	16.2	17.59	1.66	1.62	3.85	3.96
A4GALT	80.5472	-0.514334	0.267595	0.0450329	0.0677948	110	122	55	53	92.5	99.01	68.54	62.14	6.53	6.62	6.1	5.97
AAA1	2.6629	-0.783802	1.16498	0.273241	0.340044	4	6	1	1	3.36	4.87	1.25	1.17	1.58	1.95	0.78	0.74
AAAS	274.089	-1.00857	0.15642	6.06321e-11	2.04666e-10	429	462	153	145	360.74	374.94	190.65	170.01	8.49	8.55	7.58	7.41
AACS	321.47	0.588754	0.139176	1.89292e-05	4.32519e-05	296	323	316	325	248.91	262.14	393.77	381.07	7.96	8.04	8.62	8.57
AACSL	3.69936	-1.21353	1.21969	0.109522	0.151947	7	8	1	1	5.89	6.49	1.25	1.17	2.31	2.42	0.91	0.86
AADACL4	1.22066	-0.00980782	1.21882	0.988754	NA	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
AADAT	27.142	-0.158239	0.425621	0.681946	0.735655	38	32	19	23	31.95	25.97	23.68	26.97	4.98	4.7	4.58	4.75
AAGAB	203.589	-0.668186	0.177504	0.000126899	0.00026959	279	330	128	130	234.61	267.82	159.5	152.43	7.87	8.06	7.32	7.26
AAK1	648.363	2.43339	0.116482	3.21638e-98	6.44966e-97	235	253	832	984	197.61	205.33	1036.76	1153.76	7.63	7.69	10.01	10.17
AAMP	696.577	0.207573	0.102774	0.0414869	0.0628771	746	819	565	674	627.31	664.67	704.05	790.28	9.29	9.38	9.46	9.63
AANAT	4.49153	0.11791	0.821958	0.843038	0.873282	6	4	4	4	5.05	3.25	4.98	4.69	2.29	1.83	2.27	2.21
AARS	2093.86	0.296143	0.0669552	9.00986e-06	2.1274e-05	2217	2333	1790	2036	1864.27	1893.39	2230.52	2387.24	10.86	10.89	11.12	11.22
AARS2	306.679	-0.590662	0.151595	7.88455e-05	0.000170793	450	446	172	232	378.4	361.96	214.33	272.02	8.56	8.5	7.75	8.09
AARSD1	191.127	0.346652	0.179145	0.0480729	0.0719996	186	220	165	191	156.41	178.55	205.61	223.95	7.29	7.48	7.68	7.8
AASDH	41.2261	-0.229962	0.355787	0.488139	0.558009	50	59	31	31	42.04	47.88	38.63	36.35	5.39	5.57	5.28	5.19
AASDHPPT	218.126	0.89278	0.167248	5.78776e-08	1.62613e-07	182	184	227	245	153.04	149.33	282.87	287.27	7.26	7.23	8.14	8.16
