Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
A1BG	71.5558	-0.409967	0.293831	-1.39525	0.162941	0.234541	92	106	44	58	77.36	86.03	54.83	68.01	6.27	6.42	5.79	6.09
A1CF	22.4852	-5.17871	1.1104	-4.66385	3.10353e-06	8.2787e-06	51	55	1	1	42.89	44.64	1.25	1.17	5.3	5.36	1.25	1.19
A2BP1	547.886	7.90796	0.446409	17.7146	3.23373e-70	4.98073e-69	5	6	898	907	4.2	4.87	1119	1063.47	2.45	2.6	10.12	10.04
A2LD1	14.34	-0.0976328	0.641645	-0.15216	0.879061	0.924657	15	21	10	13	12.61	17.04	12.46	15.24	3.68	4.07	3.66	3.92
A2M	1759.95	-1.56446	0.0732736	-21.351	3.81671e-101	8.61228e-100	3129	3241	696	777	2631.16	2630.29	867.29	911.05	11.36	11.36	9.76	9.83
A2ML1	9.68612	2.76961	0.898934	3.08099	0.00206312	0.00415023	3	3	13	15	2.52	2.43	16.2	17.59	1.66	1.62	3.85	3.96
A4GALT	80.5472	-0.552589	0.275696	-2.00435	0.0450329	0.0734978	110	122	55	53	92.5	99.01	68.54	62.14	6.53	6.62	6.1	5.97
AAA1	2.6629	-1.76914	1.61472	-1.09563	0.273241	0.36865	4	6	1	1	3.36	4.87	1.25	1.17	1.58	1.95	0.78	0.74
AAAS	274.089	-1.02973	0.157399	-6.54217	6.06321e-11	2.21882e-10	429	462	153	145	360.74	374.94	190.65	170.01	8.49	8.55	7.58	7.41
AACS	321.47	0.599985	0.140276	4.27716	1.89292e-05	4.68904e-05	296	323	316	325	248.91	262.14	393.77	381.07	7.96	8.04	8.62	8.57
AACSL	3.69936	-2.35679	1.47268	-1.60035	0.109522	0.164729	7	8	1	1	5.89	6.49	1.25	1.17	2.31	2.42	0.91	0.86
AADACL4	1.22066	-0.0300908	2.13482	-0.0140952	0.988754	0.990479	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
AADAT	27.142	-0.191807	0.46804	-0.409809	0.681946	0.767573	38	32	19	23	31.95	25.97	23.68	26.97	4.98	4.7	4.58	4.75
AAGAB	203.589	-0.688556	0.179667	-3.8324	0.000126899	0.000292268	279	330	128	130	234.61	267.82	159.5	152.43	7.87	8.06	7.32	7.26
AAK1	648.363	2.44291	0.116142	21.0338	3.21638e-98	6.99222e-97	235	253	832	984	197.61	205.33	1036.76	1153.76	7.63	7.69	10.01	10.17
AAMP	696.577	0.210488	0.10325	2.03863	0.0414869	0.0681665	746	819	565	674	627.31	664.67	704.05	790.28	9.29	9.38	9.46	9.63
AANAT	4.49153	0.223885	1.13069	0.198008	0.843038	0.89417	6	4	4	4	5.05	3.25	4.98	4.69	2.29	1.83	2.27	2.21
AARS	2093.86	0.297675	0.0670489	4.43967	9.00986e-06	2.30636e-05	2217	2333	1790	2036	1864.27	1893.39	2230.52	2387.24	10.86	10.89	11.12	11.22
AARS2	306.679	-0.604051	0.153006	-3.94788	7.88455e-05	0.00018516	450	446	172	232	378.4	361.96	214.33	272.02	8.56	8.5	7.75	8.09
AARSD1	191.127	0.35901	0.181619	1.97672	0.0480729	0.0780564	186	220	165	191	156.41	178.55	205.61	223.95	7.29	7.48	7.68	7.8
AASDH	41.2261	-0.263363	0.379884	-0.693273	0.488139	0.597168	50	59	31	31	42.04	47.88	38.63	36.35	5.39	5.57	5.28	5.19
AASDHPPT	218.126	0.915202	0.168693	5.42524	5.78776e-08	1.76293e-07	182	184	227	245	153.04	149.33	282.87	287.27	7.26	7.23	8.14	8.16
AASS	80.5904	-0.465644	0.278043	-1.67472	0.093989	0.143258	122	104	55	57	102.59	84.4	68.54	66.83	6.67	6.4	6.1	6.07
AATF	340.319	-1.03275	0.140792	-7.33532	2.2119e-13	9.14074e-13	546	561	177	193	459.13	455.29	220.56	226.3	8.84	8.83	7.79	7.83
AATK	1819.83	5.18332	0.114733	45.1774	0	0	126	110	2769	3099	105.95	89.27	3450.46	3633.63	6.74	6.5	11.75	11.82
ABAT	1071.69	3.60483	0.106637	33.8047	1.6839e-250	1.27614e-248	209	185	1563	1717	175.75	150.14	1947.66	2013.21	7.46	7.24	10.92	10.97
ABCA1	116.759	-1.1495	0.243272	-4.72516	2.29931e-06	6.20214e-06	212	177	60	60	178.27	143.65	74.77	70.35	7.47	7.16	6.23	6.15
ABCA10	6.14814	3.79578	1.3282	2.85784	0.00426541	0.00825315	1	1	9	10	0.84	0.81	11.21	11.73	0.6	0.56	3.18	3.24
ABCA11P	28.8679	0.00244143	0.455174	0.00536374	0.99572	0.996349	31	39	20	28	26.07	31.65	24.92	32.83	4.71	4.98	4.65	5.03
ABCA12	10.7183	-2.97579	0.958123	-3.10585	0.00189734	0.00383745	24	22	2	2	20.18	17.85	2.49	2.35	4.18	4.02	1.74	1.67
ABCA13	2.24246	-1.44129	1.72271	-0.836644	0.402793	0.512881	2	6	1	1	1.68	4.87	1.25	1.17	0.86	1.83	0.67	0.62
ABCA17P	16.4871	2.64618	0.680292	3.88978	0.000100337	0.000232927	5	6	24	23	4.2	4.87	29.91	26.97	2.29	2.46	4.79	4.65
ABCA2	6305.64	3.15219	0.0548277	57.4927	0	0	1508	1580	8897	9881	1268.07	1282.28	11086.57	11585.63	10.31	10.33	13.44	13.5
ABCA3	1155.2	2.99707	0.0974628	30.7509	1.18999e-207	6.83866e-206	299	324	1565	1839	251.43	262.95	1950.15	2156.26	7.98	8.04	10.93	11.07
ABCA4	15.0815	-0.697372	0.642957	-1.08463	0.278084	0.374732	27	18	10	9	22.7	14.61	12.46	10.55	4.45	3.87	3.66	3.46
ABCA5	98.0112	1.31832	0.254265	5.18482	2.16223e-07	6.30634e-07	63	73	106	126	52.98	59.24	132.09	147.74	5.74	5.9	7.04	7.19
ABCA6	10.7474	4.64289	1.21306	3.82743	0.00012949	0.000297807	1	1	20	14	0.84	0.81	24.92	16.42	0.67	0.63	4.38	3.83
ABCA7	373.565	-0.367824	0.137249	-2.67999	0.00736251	0.0137898	521	498	240	301	438.11	404.16	299.06	352.93	8.77	8.66	8.23	8.46
ABCA8	92.6014	3.74887	0.345268	10.8579	1.82992e-27	1.22437e-26	19	12	143	142	15.98	9.74	178.19	166.5	4.06	3.41	7.45	7.35
ABCA9	17.0153	4.7257	0.985026	4.79754	1.60629e-06	4.3888e-06	1	2	31	23	0.84	1.62	38.63	26.97	0.77	1.22	5.09	4.6
ABCB1	70.7583	2.01279	0.312621	6.43842	1.20723e-10	4.33692e-10	37	31	86	102	31.11	25.16	107.16	119.6	4.99	4.69	6.72	6.88
ABCB10	87.0785	-0.570897	0.264434	-2.15894	0.030855	0.0519125	125	127	56	60	105.11	103.07	69.78	70.35	6.71	6.68	6.13	6.14
ABCB11	1.42356	-0.441859	2.0152	-0.219263	0.826445	0.879651	1	3	1	1	0.84	2.43	1.25	1.17	0.16	0.89	0.39	0.36
ABCB4	8.38745	-2.58215	1.02869	-2.51013	0.0120686	0.0218283	13	22	1	3	10.93	17.85	1.25	3.52	3.33	3.95	1.16	2.01
ABCB5	8.86698	-3.77338	1.23307	-3.06015	0.00221229	0.00443436	20	20	1	1	16.82	16.23	1.25	1.17	3.86	3.82	1.1	1.05
ABCB6	411.389	-0.831243	0.12869	-6.45927	1.05209e-10	3.7932e-10	607	669	240	250	510.42	542.94	299.06	293.13	8.99	9.08	8.23	8.2
ABCB7	104.15	-1.63477	0.262879	-6.21872	5.01229e-10	1.74049e-09	173	209	41	43	145.48	169.62	51.09	50.42	7.17	7.39	5.69	5.68
ABCB8	389.014	0.228961	0.128415	1.78297	0.0745911	0.116454	439	428	335	360	369.15	347.35	417.44	422.11	8.53	8.44	8.7	8.72
ABCB9	211.025	2.00439	0.18327	10.9368	7.68379e-28	5.20331e-27	98	106	259	301	82.41	86.03	322.74	352.93	6.38	6.44	8.33	8.46
ABCC1	514.272	-2.89395	0.142233	-20.3465	4.98526e-92	1.01098e-90	1061	1135	94	108	892.19	921.13	117.13	126.63	9.8	9.84	6.88	7
ABCC10	226.337	0.0678713	0.167491	0.405223	0.685314	0.768906	274	261	175	209	230.41	211.82	218.07	245.06	7.85	7.73	7.77	7.94
ABCC11	5.8684	1.10298	1.07352	1.02744	0.304213	0.404667	4	5	11	2	3.36	4.06	13.71	2.35	1.87	2.07	3.49	1.55
ABCC12	6.99073	3.99697	1.30847	3.05469	0.00225294	0.00450919	1	1	7	15	0.84	0.81	8.72	17.59	0.6	0.57	2.9	3.8
ABCC13	1.22066	-0.0300908	2.13482	-0.0140952	0.988754	0.990479	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
ABCC2	201.102	-6.36191	0.532305	-11.9516	6.36649e-33	4.92891e-32	480	482	3	5	403.63	391.18	3.74	5.86	8.64	8.59	2.42	2.85
ABCC3	108.947	-4.85784	0.464499	-10.4582	1.34325e-25	8.61181e-25	244	266	9	3	205.18	215.88	11.21	3.52	7.65	7.72	3.61	2.32
ABCC4	111.19	-3.11775	0.308385	-10.1099	4.9919e-24	3.07102e-23	230	253	20	18	193.41	205.33	24.92	21.11	7.58	7.66	4.69	4.47
ABCC5	451.685	1.31098	0.128356	10.2136	1.72323e-24	1.07333e-23	294	335	481	587	247.22	271.88	599.38	688.27	7.95	8.09	9.23	9.42
ABCC6	46.8921	-3.22712	0.483507	-6.6744	2.48243e-11	9.28448e-11	108	97	6	9	90.82	78.72	7.48	10.55	6.46	6.26	3.1	3.51
