Feature.ID	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
A1BG	92	106	44	58	77.36	86.03	54.83	68.01
A1CF	51	55	1	1	42.89	44.64	1.25	1.17
A2BP1	5	6	898	907	4.2	4.87	1119	1063.47
A2LD1	15	21	10	13	12.61	17.04	12.46	15.24
A2M	3129	3241	696	777	2631.16	2630.29	867.29	911.05
A2ML1	3	3	13	15	2.52	2.43	16.2	17.59
A4GALT	110	122	55	53	92.5	99.01	68.54	62.14
AAA1	4	6	1	1	3.36	4.87	1.25	1.17
AAAS	429	462	153	145	360.74	374.94	190.65	170.01
AACS	296	323	316	325	248.91	262.14	393.77	381.07
AACSL	7	8	1	1	5.89	6.49	1.25	1.17
AADACL4	1	2	1	1	0.84	1.62	1.25	1.17
AADAT	38	32	19	23	31.95	25.97	23.68	26.97
AAGAB	279	330	128	130	234.61	267.82	159.5	152.43
AAK1	235	253	832	984	197.61	205.33	1036.76	1153.76
AAMP	746	819	565	674	627.31	664.67	704.05	790.28
AANAT	6	4	4	4	5.05	3.25	4.98	4.69
AARS	2217	2333	1790	2036	1864.27	1893.39	2230.52	2387.24
AARS2	450	446	172	232	378.4	361.96	214.33	272.02
AARSD1	186	220	165	191	156.41	178.55	205.61	223.95
AASDH	50	59	31	31	42.04	47.88	38.63	36.35
AASDHPPT	182	184	227	245	153.04	149.33	282.87	287.27
AASS	122	104	55	57	102.59	84.4	68.54	66.83
AATF	546	561	177	193	459.13	455.29	220.56	226.3
AATK	126	110	2769	3099	105.95	89.27	3450.46	3633.63
ABAT	209	185	1563	1717	175.75	150.14	1947.66	2013.21
ABCA1	212	177	60	60	178.27	143.65	74.77	70.35
ABCA10	1	1	9	10	0.84	0.81	11.21	11.73
ABCA11P	31	39	20	28	26.07	31.65	24.92	32.83
ABCA12	24	22	2	2	20.18	17.85	2.49	2.35
ABCA13	2	6	1	1	1.68	4.87	1.25	1.17
ABCA17P	5	6	24	23	4.2	4.87	29.91	26.97
ABCA2	1508	1580	8897	9881	1268.07	1282.28	11086.57	11585.63
ABCA3	299	324	1565	1839	251.43	262.95	1950.15	2156.26
ABCA4	27	18	10	9	22.7	14.61	12.46	10.55
ABCA5	63	73	106	126	52.98	59.24	132.09	147.74
ABCA6	1	1	20	14	0.84	0.81	24.92	16.42
ABCA7	521	498	240	301	438.11	404.16	299.06	352.93
ABCA8	19	12	143	142	15.98	9.74	178.19	166.5
ABCA9	1	2	31	23	0.84	1.62	38.63	26.97
ABCB1	37	31	86	102	31.11	25.16	107.16	119.6
ABCB10	125	127	56	60	105.11	103.07	69.78	70.35
ABCB11	1	3	1	1	0.84	2.43	1.25	1.17
ABCB4	13	22	1	3	10.93	17.85	1.25	3.52
ABCB5	20	20	1	1	16.82	16.23	1.25	1.17
ABCB6	607	669	240	250	510.42	542.94	299.06	293.13
ABCB7	173	209	41	43	145.48	169.62	51.09	50.42
ABCB8	439	428	335	360	369.15	347.35	417.44	422.11
ABCB9	98	106	259	301	82.41	86.03	322.74	352.93
ABCC1	1061	1135	94	108	892.19	921.13	117.13	126.63
ABCC10	274	261	175	209	230.41	211.82	218.07	245.06
ABCC11	4	5	11	2	3.36	4.06	13.71	2.35
ABCC12	1	1	7	15	0.84	0.81	8.72	17.59
ABCC13	1	2	1	1	0.84	1.62	1.25	1.17
ABCC2	480	482	3	5	403.63	391.18	3.74	5.86
ABCC3	244	266	9	3	205.18	215.88	11.21	3.52
ABCC4	230	253	20	18	193.41	205.33	24.92	21.11
ABCC5	294	335	481	587	247.22	271.88	599.38	688.27
ABCC6	108	97	6	9	90.82	78.72	7.48	10.55
ABCC6P1	13	9	1	1	10.93	7.3	1.25	1.17
ABCC6P2	3	3	1	1	2.52	2.43	1.25	1.17
ABCC8	4	4	460	482	3.36	3.25	573.21	565.15
ABCC9	2	7	33	37	1.68	5.68	41.12	43.38
ABCD1	367	387	51	37	308.61	314.08	63.55	43.38
ABCD2	2	6	58	52	1.68	4.87	72.27	60.97
ABCD3	208	211	100	102	174.91	171.24	124.61	119.6
ABCD4	206	216	130	172	173.22	175.3	161.99	201.67
ABCE1	179	212	65	51	150.52	172.05	81	59.8
