Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
A1BG	75	-0.947135	0.297306	-3.18494	0.00144784	0.00250045	92	106	44	58	92	106	44	58	6.51	6.71	5.49	5.87
A1CF	27	-5.11814	0.85261	-5.20209	1.97061e-07	4.78767e-07	51	55	1	1	51	55	1	1	5.52	5.62	1.22	1.22
A2BP1	454	7.19782	0.421235	16.2844	1.27439e-59	1.85016e-58	5	6	898	907	5	6	898	907	2.79	2.97	9.79	9.8
A2LD1	14.75	-0.616944	0.615492	-1.00186	0.316412	0.372259	15	21	10	13	15	21	10	13	3.9	4.32	3.4	3.72
A2M	1960.75	-2.11033	0.0953573	-22.1296	1.64087e-108	5.61829e-107	3129	3241	696	777	3129	3241	696	777	11.61	11.66	9.45	9.61
A2ML1	8.5	2.02228	0.838332	2.37966	0.0173284	0.026068	3	3	13	15	3	3	13	15	1.94	1.94	3.52	3.7
A4GALT	85	-1.09332	0.276791	-3.9488	7.85454e-05	0.000155606	110	122	55	53	110	122	55	53	6.77	6.91	5.8	5.75
AAA1	3	-1.81527	1.20153	-1.46848	0.141973	0.182003	4	6	1	1	4	6	1	1	1.73	2.12	0.74	0.74
AAAS	297.25	-1.5752	0.16449	-9.57441	1.02439e-21	5.25757e-21	429	462	153	145	429	462	153	145	8.74	8.84	7.27	7.19
AACS	315	0.0502489	0.153325	0.327729	0.743117	0.782297	296	323	316	325	296	323	316	325	8.21	8.34	8.3	8.34
AACSL	4.25	-2.36773	1.12137	-2.01876	0.0435117	0.0614273	7	8	1	1	7	8	1	1	2.46	2.61	0.87	0.87
AADACL4	1.25	-0.384343	1.40118	-0.273871	0.784184	NA	1	2	1	1	1	2	1	1	0.19	0.57	0.19	0.19
AADAT	28	-0.718736	0.458696	-1.56633	0.11727	0.15284	38	32	19	23	38	32	19	23	5.21	4.98	4.29	4.54
AAGAB	216.75	-1.23404	0.187812	-6.56964	5.04378e-11	1.54823e-10	279	330	128	130	279	330	128	130	8.12	8.36	7.01	7.03
AAK1	576	1.89165	0.138198	13.6859	1.23255e-42	1.21436e-41	235	253	832	984	235	253	832	984	7.88	7.99	9.7	9.94
AAMP	701	-0.33638	0.125151	-2.6878	0.00719245	0.0113877	746	819	565	674	746	819	565	674	9.54	9.68	9.14	9.4
AANAT	4.5	-0.280275	0.991242	-0.282665	0.777433	0.813028	6	4	4	4	6	4	4	4	2.45	2.05	2.05	2.05
AARS	2094	-0.249773	0.0946281	-2.63952	0.00830241	0.0130293	2217	2333	1790	2036	2217	2333	1790	2036	11.11	11.19	10.81	10.99
AARS2	325	-1.14546	0.166928	-6.86144	6.81718e-12	2.20205e-11	450	446	172	232	450	446	172	232	8.81	8.8	7.44	7.86
AARSD1	190.5	-0.188775	0.194704	-0.969544	0.332274	0.388672	186	220	165	191	186	220	165	191	7.54	7.78	7.37	7.58
AASDH	42.75	-0.800507	0.376917	-2.12318	0.0337384	0.0485253	50	59	31	31	50	59	31	31	5.63	5.86	4.98	4.98
AASDHPPT	209.5	0.365561	0.180985	2.01981	0.0434026	0.0613168	182	184	227	245	182	184	227	245	7.51	7.53	7.82	7.93
AASS	84.5	-1.00376	0.27808	-3.60873	0.000307695	0.000574552	122	104	55	57	122	104	55	57	6.91	6.69	5.8	5.85
AATF	369.25	-1.57695	0.150426	-10.4816	1.04976e-25	6.18239e-25	546	561	177	193	546	561	177	193	9.09	9.13	7.48	7.6
AATK	1526	4.62645	0.133884	34.5154	4.71045e-261	1.00554e-258	126	110	2769	3099	126	110	2769	3099	7	6.8	11.43	11.59
ABAT	918.5	3.05182	0.126376	24.1394	9.64263e-129	4.36468e-127	209	185	1563	1717	209	185	1563	1717	7.72	7.54	10.6	10.74
ABCA1	127.25	-1.68524	0.242217	-6.95377	3.55663e-12	1.16871e-11	212	177	60	60	212	177	60	60	7.71	7.45	5.93	5.93
ABCA10	5.25	2.69679	1.07733	2.36764	0.017902	0.026868	1	1	9	10	1	1	9	10	0.93	0.93	2.84	2.96
ABCA11P	29.5	-0.53134	0.450647	-1.17884	0.238461	0.288519	31	39	20	28	31	39	20	28	4.95	5.25	4.37	4.81
ABCA12	12.5	-3.21114	0.820723	-3.7554	0.000173068	0.000330958	24	22	2	2	24	22	2	2	4.37	4.26	1.62	1.62
ABCA13	2.5	-1.51385	1.25308	-1.1839	0.236452	0.286269	2	6	1	1	2	6	1	1	1.03	1.98	0.61	0.61
ABCA17P	14.5	1.98202	0.664367	2.96089	0.00306749	0.00508874	5	6	24	23	5	6	24	23	2.57	2.77	4.46	4.4
ABCA2	5466.5	2.60211	0.0856081	30.3946	6.46996e-203	7.03598e-201	1508	1580	8897	9881	1508	1580	8897	9881	10.56	10.63	13.12	13.27
ABCA3	1006.75	2.44573	0.122094	20.0282	3.12529e-89	7.87745e-88	299	324	1565	1839	299	324	1565	1839	8.23	8.35	10.61	10.84
ABCA4	16	-1.18864	0.607973	-1.95136	0.051014	0.0712219	27	18	10	9	27	18	10	9	4.66	4.13	3.4	3.28
ABCA5	92	0.764153	0.267364	2.85774	0.00426666	0.00695726	63	73	106	126	63	73	106	126	5.99	6.2	6.72	6.96
ABCA6	9	3.51469	0.983348	3.28515	0.00101926	0.001792	1	1	20	14	1	1	20	14	1.04	1.04	4	3.55
ABCA7	390	-0.911047	0.151404	-6.01708	1.77593e-09	4.97209e-09	521	498	240	301	521	498	240	301	9.02	8.96	7.91	8.24
ABCA8	79	3.15367	0.353887	8.86077	7.94603e-19	3.65606e-18	19	12	143	142	19	12	143	142	4.32	3.74	7.12	7.11
ABCA9	14.25	3.75789	0.851405	4.12952	3.63522e-05	7.40185e-05	1	2	31	23	1	2	31	23	1.16	1.6	4.72	4.33
ABCB1	64	1.44912	0.325118	4.4538	8.43637e-06	1.81344e-05	37	31	86	102	37	31	86	102	5.24	5	6.41	6.64
ABCB10	92	-1.11013	0.266168	-4.16961	3.05126e-05	6.25112e-05	125	127	56	60	125	127	56	60	6.95	6.97	5.83	5.92
ABCB11	1.5	-0.686355	1.36716	-0.499681	0.6173	NA	1	3	1	1	1	3	1	1	0.31	0.99	0.31	0.31
ABCB4	9.75	-2.81245	0.874322	-3.11311	0.00185129	0.00315221	13	22	1	3	13	22	1	3	3.52	4.18	1.13	1.9
ABCB5	10.5	-3.74828	0.957501	-3.56605	0.000362404	0.000671632	20	20	1	1	20	20	1	1	4.05	4.05	1.07	1.07
ABCB6	441.5	-1.37764	0.140642	-9.79443	1.18969e-22	6.35103e-22	607	669	240	250	607	669	240	250	9.24	9.38	7.91	7.97
ABCB7	116.5	-2.16763	0.262944	-8.23404	1.81009e-16	7.48584e-16	173	209	41	43	173	209	41	43	7.42	7.68	5.39	5.46
ABCB8	390.5	-0.318291	0.140918	-2.25869	0.0239029	0.0352049	439	428	335	360	439	428	335	360	8.78	8.74	8.39	8.49
ABCB9	191	1.45017	0.199662	7.26131	3.8337e-13	1.33109e-12	98	106	259	301	98	106	259	301	6.63	6.74	8.01	8.22
ABCC1	599.5	-3.43332	0.1518	-22.5961	4.73515e-113	1.76456e-111	1061	1135	94	108	1061	1135	94	108	10.04	10.14	6.58	6.77
ABCC10	229.75	-0.476677	0.178606	-2.66883	0.00761168	0.012014	274	261	175	209	274	261	175	209	8.09	8.03	7.46	7.71
ABCC11	5.5	0.465968	0.96522	0.482428	0.629502	0.680867	4	5	11	2	4	5	11	2	2.08	2.3	3.16	1.5
ABCC12	6	2.89072	1.06069	2.56299	0.0103776	0.0160658	1	1	7	15	1	1	7	15	0.93	0.93	2.59	3.48
ABCC13	1.25	-0.384343	1.40118	-0.273871	0.784184	NA	1	2	1	1	1	2	1	1	0.19	0.57	0.19	0.19
ABCC2	242.5	-6.70452	0.486881	-12.97	1.80962e-38	1.6038e-37	480	482	3	5	480	482	3	5	8.87	8.88	2.28	2.73
ABCC3	130.5	-5.2831	0.438904	-11.6763	1.68517e-31	1.20406e-30	244	266	9	3	244	266	9	3	7.89	8.01	3.36	2.25
