Feature.ID	UHR_1	UHR_2	brain_1	brain_2
A1BG	77.36	86.03	54.83	68.01
A1CF	42.89	44.64	1.25	1.17
A2BP1	4.2	4.87	1119	1063.47
A2LD1	12.61	17.04	12.46	15.24
A2M	2631.16	2630.29	867.29	911.05
A2ML1	2.52	2.43	16.2	17.59
A4GALT	92.5	99.01	68.54	62.14
AAA1	3.36	4.87	1.25	1.17
AAAS	360.74	374.94	190.65	170.01
AACS	248.91	262.14	393.77	381.07
AACSL	5.89	6.49	1.25	1.17
AADACL4	0.84	1.62	1.25	1.17
AADAT	31.95	25.97	23.68	26.97
AAGAB	234.61	267.82	159.5	152.43
AAK1	197.61	205.33	1036.76	1153.76
AAMP	627.31	664.67	704.05	790.28
AANAT	5.05	3.25	4.98	4.69
AARS	1864.27	1893.39	2230.52	2387.24
AARS2	378.4	361.96	214.33	272.02
AARSD1	156.41	178.55	205.61	223.95
AASDH	42.04	47.88	38.63	36.35
AASDHPPT	153.04	149.33	282.87	287.27
AASS	102.59	84.4	68.54	66.83
AATF	459.13	455.29	220.56	226.3
AATK	105.95	89.27	3450.46	3633.63
ABAT	175.75	150.14	1947.66	2013.21
ABCA1	178.27	143.65	74.77	70.35
ABCA10	0.84	0.81	11.21	11.73
ABCA11P	26.07	31.65	24.92	32.83
ABCA12	20.18	17.85	2.49	2.35
ABCA13	1.68	4.87	1.25	1.17
ABCA17P	4.2	4.87	29.91	26.97
ABCA2	1268.07	1282.28	11086.57	11585.63
ABCA3	251.43	262.95	1950.15	2156.26
ABCA4	22.7	14.61	12.46	10.55
ABCA5	52.98	59.24	132.09	147.74
ABCA6	0.84	0.81	24.92	16.42
ABCA7	438.11	404.16	299.06	352.93
ABCA8	15.98	9.74	178.19	166.5
ABCA9	0.84	1.62	38.63	26.97
ABCB1	31.11	25.16	107.16	119.6
ABCB10	105.11	103.07	69.78	70.35
ABCB11	0.84	2.43	1.25	1.17
ABCB4	10.93	17.85	1.25	3.52
ABCB5	16.82	16.23	1.25	1.17
ABCB6	510.42	542.94	299.06	293.13
ABCB7	145.48	169.62	51.09	50.42
ABCB8	369.15	347.35	417.44	422.11
ABCB9	82.41	86.03	322.74	352.93
ABCC1	892.19	921.13	117.13	126.63
ABCC10	230.41	211.82	218.07	245.06
ABCC11	3.36	4.06	13.71	2.35
ABCC12	0.84	0.81	8.72	17.59
ABCC13	0.84	1.62	1.25	1.17
ABCC2	403.63	391.18	3.74	5.86
ABCC3	205.18	215.88	11.21	3.52
ABCC4	193.41	205.33	24.92	21.11
ABCC5	247.22	271.88	599.38	688.27
ABCC6	90.82	78.72	7.48	10.55
ABCC6P1	10.93	7.3	1.25	1.17
ABCC6P2	2.52	2.43	1.25	1.17
ABCC8	3.36	3.25	573.21	565.15
ABCC9	1.68	5.68	41.12	43.38
ABCD1	308.61	314.08	63.55	43.38
ABCD2	1.68	4.87	72.27	60.97
ABCD3	174.91	171.24	124.61	119.6
ABCD4	173.22	175.3	161.99	201.67
ABCE1	150.52	172.05	81	59.8
ABCF1	961.14	929.25	365.11	372.86
ABCF2	497.81	494.25	348.91	359.96
ABCF3	334.68	320.57	508.41	515.91
ABCG1	158.09	174.49	241.74	220.43
ABCG2	31.95	42.2	95.95	97.32
ABCG4	5.89	5.68	347.66	370.52
ABCG5	20.18	19.48	3.74	4.69
ABCG8	16.82	21.91	6.23	8.21
ABHD1	5.89	7.3	3.74	3.52
ABHD10	124.45	118.49	183.18	201.67
ABHD11	162.29	132.29	83.49	97.32
ABHD12	569.29	536.45	1079.12	1115.06
ABHD12B	3.36	2.43	7.48	14.07
ABHD13	45.41	49.51	53.58	51.59
ABHD14A	103.43	128.23	503.43	560.46
ABHD14B	490.24	494.25	139.56	123.11
ABHD15	129.5	108.75	26.17	45.73
ABHD2	591.15	568.1	1089.09	991.95
ABHD3	121.09	101.45	48.6	37.52
ABHD4	226.2	241.04	159.5	178.22
ABHD5	79.04	90.08	72.27	66.83
ABHD6	84.93	73.04	340.19	359.96
ABHD8	216.11	207.76	1223.67	1329.63
ABI1	192.57	180.98	305.3	324.79
ABI2	373.36	403.35	819.94	786.76
ABI3	15.98	11.36	38.63	44.56
