Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
A1BG	71.5558	-0.406674	0.291444	-1.39525	0.162941	0.216342	92	106	44	58	77.36	86.03	54.83	68.01	6.27	6.42	5.79	6.09
A1CF	22.4852	-4.69565	0.899504	-4.66385	3.10353e-06	7.63632e-06	51	55	1	1	42.89	44.64	1.25	1.17	5.3	5.36	1.25	1.19
A2BP1	547.886	7.76887	0.419872	17.7146	3.23373e-70	4.59425e-69	5	6	898	907	4.2	4.87	1119	1063.47	2.45	2.6	10.12	10.04
A2LD1	14.34	-0.094003	0.617735	-0.15216	0.879061	0.902622	15	21	10	13	12.61	17.04	12.46	15.24	3.68	4.07	3.66	3.92
A2M	1759.95	-1.56368	0.073234	-21.351	3.81671e-101	7.94401e-100	3129	3241	696	777	2631.16	2630.29	867.29	911.05	11.36	11.36	9.76	9.83
A2ML1	9.68612	2.57642	0.823743	3.08099	0.00206312	0.0038282	3	3	13	15	2.52	2.43	16.2	17.59	1.66	1.62	3.85	3.96
A4GALT	80.5472	-0.548675	0.273709	-2.00435	0.0450329	0.0677948	110	122	55	53	92.5	99.01	68.54	62.14	6.53	6.62	6.1	5.97
AAA1	2.6629	-1.42601	1.27641	-1.09563	0.273241	0.340044	4	6	1	1	3.36	4.87	1.25	1.17	1.58	1.95	0.78	0.74
AAAS	274.089	-1.02734	0.157017	-6.54217	6.06321e-11	2.04666e-10	429	462	153	145	360.74	374.94	190.65	170.01	8.49	8.55	7.58	7.41
AACS	321.47	0.598879	0.140018	4.27716	1.89292e-05	4.32519e-05	296	323	316	325	248.91	262.14	393.77	381.07	7.96	8.04	8.62	8.57
AACSL	3.69936	-1.96755	1.19066	-1.60035	0.109522	0.151947	7	8	1	1	5.89	6.49	1.25	1.17	2.31	2.42	0.91	0.86
