Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
A1BG	71.5558	-0.408313	0.292477	-1.39605	0.162699	0.215874	92	106	44	58	77.36	86.03	54.83	68.01
A1CF	22.4852	-4.91232	0.985834	-4.9829	6.26367e-07	1.62074e-06	51	55	1	1	42.89	44.64	1.25	1.17
A2BP1	547.886	7.83626	0.432432	18.1214	2.16118e-73	3.20542e-72	5	6	898	907	4.2	4.87	1119	1063.47
A2LD1	14.34	-0.0957844	0.629124	-0.15225	0.878989	0.902548	15	21	10	13	12.61	17.04	12.46	15.24
A2M	1759.95	-1.56407	0.0732573	-21.3504	3.86813e-101	8.01301e-100	3129	3241	696	777	2631.16	2630.29	867.29	911.05
A2ML1	9.68612	2.66902	0.858688	3.10825	0.00188199	0.00349989	3	3	13	15	2.52	2.43	16.2	17.59
A4GALT	80.5472	-0.550627	0.274545	-2.0056	0.0448991	0.0675122	110	122	55	53	92.5	99.01	68.54	62.14
AAA1	2.6629	-1.57797	1.42108	-1.1104	0.266825	0.333289	4	6	1	1	3.36	4.87	1.25	1.17
AAAS	274.089	-1.02854	0.157135	-6.54555	5.92779e-11	1.9868e-10	429	462	153	145	360.74	374.94	190.65	170.01
AACS	321.47	0.599431	0.140085	4.27906	1.87683e-05	4.27008e-05	296	323	316	325	248.91	262.14	393.77	381.07
AACSL	3.69936	-2.14227	1.31109	-1.63396	0.102267	0.142444	7	8	1	1	5.89	6.49	1.25	1.17
AADACL4	1.22066	-0.0247955	1.75776	-0.0141064	0.988745	NA	1	2	1	1	0.84	1.62	1.25	1.17
AADAT	27.142	-0.189854	0.46299	-0.410061	0.681761	0.735455	38	32	19	23	31.95	25.97	23.68	26.97
AAGAB	203.589	-0.687516	0.179303	-3.83438	0.000125883	0.000266305	279	330	128	130	234.61	267.82	159.5	152.43
AAK1	648.363	2.44136	0.116031	21.0406	2.78682e-98	5.56287e-97	235	253	832	984	197.61	205.33	1036.76	1153.76
AAMP	696.577	0.210383	0.103169	2.03921	0.0414288	0.0626592	746	819	565	674	627.31	664.67	704.05	790.28
AANAT	4.49153	0.211212	1.06617	0.198103	0.842964	0.873223	6	4	4	4	5.05	3.25	4.98	4.69
AARS	2093.86	0.297612	0.0670434	4.43909	9.03404e-06	2.12112e-05	2217	2333	1790	2036	1864.27	1893.39	2230.52	2387.24
AARS2	306.679	-0.603387	0.152765	-3.94977	7.8227e-05	0.000168766	450	446	172	232	378.4	361.96	214.33	272.02
AARSD1	191.127	0.358456	0.18125	1.97769	0.047964	0.0717824	186	220	165	191	156.41	178.55	205.61	223.95
AASDH	41.2261	-0.261594	0.377097	-0.693705	0.487868	0.557557	50	59	31	31	42.04	47.88	38.63	36.35
AASDHPPT	218.126	0.913982	0.168385	5.42794	5.70068e-08	1.58819e-07	182	184	227	245	153.04	149.33	282.87	287.27
AASS	80.5904	-0.463961	0.276868	-1.67575	0.0937881	0.131817	122	104	55	57	102.59	84.4	68.54	66.83
AATF	340.319	-1.03179	0.140598	-7.33861	2.15815e-13	8.16275e-13	546	561	177	193	459.13	455.29	220.56	226.3
