Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
A1BG	71.5558	-0.406673	0.291333	-1.39577	0.162783	0.234314	92	106	44	58	77.36	86.03	54.83	68.01
A1CF	22.4852	-4.69542	0.899304	-4.66427	3.09716e-06	8.26053e-06	51	55	1	1	42.89	44.64	1.25	1.17
A2BP1	547.886	7.76876	0.419847	17.7149	3.22033e-70	4.95207e-69	5	6	898	907	4.2	4.87	1119	1063.47
A2LD1	14.34	-0.0940026	0.617487	-0.152221	0.879013	0.924606	15	21	10	13	12.61	17.04	12.46	15.24
A2M	1759.95	-1.56368	0.0732426	-21.3485	4.02917e-101	9.08091e-100	3129	3241	696	777	2631.16	2630.29	867.29	911.05
A2ML1	9.68612	2.57638	0.823469	3.08193	0.00205663	0.00413715	3	3	13	15	2.52	2.43	16.2	17.59
A4GALT	80.5472	-0.548676	0.273608	-2.00509	0.0449537	0.0733685	110	122	55	53	92.5	99.01	68.54	62.14
AAA1	2.6629	-1.42597	1.27594	-1.09598	0.273086	0.36844	4	6	1	1	3.36	4.87	1.25	1.17
AAAS	274.089	-1.02734	0.156973	-6.54402	5.98885e-11	2.19203e-10	429	462	153	145	360.74	374.94	190.65	170.01
AACS	321.47	0.598878	0.139979	4.27835	1.88282e-05	4.66342e-05	296	323	316	325	248.91	262.14	393.77	381.07
AACSL	3.69936	-1.96749	1.19024	-1.60081	0.10942	0.164575	7	8	1	1	5.89	6.49	1.25	1.17
AADACL4	1.22066	-0.0210806	1.49456	-0.0141017	0.988749	0.990472	1	2	1	1	0.84	1.62	1.25	1.17
AADAT	27.142	-0.187942	0.458392	-0.409968	0.681829	0.767441	38	32	19	23	31.95	25.97	23.68	26.97
AAGAB	203.589	-0.686477	0.179056	-3.8336	0.00012628	0.000290811	279	330	128	130	234.61	267.82	159.5	152.43
AAK1	648.363	2.43982	0.115959	21.0367	3.02951e-98	6.58597e-97	235	253	832	984	197.61	205.33	1036.76	1153.76
AAMP	696.577	0.210278	0.103131	2.03893	0.0414569	0.0681055	746	819	565	674	627.31	664.67	704.05	790.28
AANAT	4.49153	0.199886	1.00934	0.198088	0.842976	0.894117	6	4	4	4	5.05	3.25	4.98	4.69
AARS	2093.86	0.297549	0.0670336	4.43881	9.04596e-06	2.31467e-05	2217	2333	1790	2036	1864.27	1893.39	2230.52	2387.24
AARS2	306.679	-0.602726	0.152622	-3.949	7.84778e-05	0.00018432	450	446	172	232	378.4	361.96	214.33	272.02
AARSD1	191.127	0.357902	0.180999	1.97738	0.0479987	0.077937	186	220	165	191	156.41	178.55	205.61	223.95
AASDH	41.2261	-0.259844	0.374631	-0.693545	0.487968	0.596998	50	59	31	31	42.04	47.88	38.63	36.35
AASDHPPT	218.126	0.912764	0.168187	5.42695	5.73256e-08	1.74639e-07	182	184	227	245	153.04	149.33	282.87	287.27
AASS	80.5904	-0.462289	0.275912	-1.67534	0.0938683	0.143074	122	104	55	57	102.59	84.4	68.54	66.83
AATF	340.319	-1.03083	0.140482	-7.33719	2.1812e-13	9.01581e-13	546	561	177	193	459.13	455.29	220.56	226.3
AATK	1819.83	5.17693	0.11446	45.1748	0	0	126	110	2769	3099	105.95	89.27	3450.46	3633.63
ABAT	1071.69	3.60099	0.106477	33.8055	1.6374e-250	1.2409e-248	209	185	1563	1717	175.75	150.14	1947.66	2013.21
ABCA1	116.759	-1.14315	0.241775	-4.72672	2.28175e-06	6.15477e-06	212	177	60	60	178.27	143.65	74.77	70.35
ABCA10	6.14814	3.28255	1.08103	2.85847	0.00425686	0.00823661	1	1	9	10	0.84	0.81	11.21	11.73
ABCA11P	28.8679	0.00239599	0.446314	0.00536834	0.995717	0.996345	31	39	20	28	26.07	31.65	24.92	32.83
ABCA12	10.7183	-2.74497	0.858094	-3.10661	0.00189244	0.00382713	24	22	2	2	20.18	17.85	2.49	2.35
ABCA13	2.24246	-1.13014	1.33224	-0.836929	0.402632	0.512676	2	6	1	1	1.68	4.87	1.25	1.17
ABCA17P	16.4871	2.53664	0.646543	3.89099	9.98342e-05	0.000231761	5	6	24	23	4.2	4.87	29.91	26.97
ABCA2	6305.64	3.1513	0.0548397	57.4617	0	0	1508	1580	8897	9881	1268.07	1282.28	11086.57	11585.63
ABCA3	1155.2	2.99439	0.0973566	30.7512	1.17906e-207	6.77586e-206	299	324	1565	1839	251.43	262.95	1950.15	2156.26
ABCA4	15.0815	-0.671321	0.618162	-1.08505	0.277899	0.374482	27	18	10	9	22.7	14.61	12.46	10.55
ABCA5	98.0112	1.31037	0.252595	5.18666	2.14096e-07	6.24431e-07	63	73	106	126	52.98	59.24	132.09	147.74
ABCA6	10.7474	4.12063	0.986984	3.82804	0.00012917	0.000297035	1	1	20	14	0.84	0.81	24.92	16.42
ABCA7	373.565	-0.367175	0.136969	-2.68067	0.00734748	0.0137617	521	498	240	301	438.11	404.16	299.06	352.93
ABCA8	92.6014	3.70753	0.339439	10.8603	1.78194e-27	1.19226e-26	19	12	143	142	15.98	9.74	178.19	166.5
ABCA9	17.0153	4.35377	0.848661	4.79828	1.60035e-06	4.37194e-06	1	2	31	23	0.84	1.62	38.63	26.97
ABCB1	70.7583	1.9945	0.309401	6.44061	1.18995e-10	4.27564e-10	37	31	86	102	31.11	25.16	107.16	119.6
ABCB10	87.0785	-0.567175	0.262583	-2.15972	0.030794	0.05181	125	127	56	60	105.11	103.07	69.78	70.35
ABCB11	1.42356	-0.320144	1.45616	-0.219346	0.826381	0.879594	1	3	1	1	0.84	2.43	1.25	1.17
ABCB4	8.38745	-2.35319	0.91569	-2.51085	0.0120442	0.0217842	13	22	1	3	10.93	17.85	1.25	3.52
ABCB5	8.86698	-3.32975	1.01366	-3.0607	0.00220817	0.00442612	20	20	1	1	16.82	16.23	1.25	1.17
ABCB6	411.389	-0.829953	0.128454	-6.46078	1.04162e-10	3.75544e-10	607	669	240	250	510.42	542.94	299.06	293.13
ABCB7	104.15	-1.62424	0.260914	-6.22067	4.9503e-10	1.71927e-09	173	209	41	43	145.48	169.62	51.09	50.42
ABCB8	389.014	0.228607	0.128185	1.78342	0.0745171	0.116338	439	428	335	360	369.15	347.35	417.44	422.11
ABCB9	211.025	1.99809	0.182587	10.94	7.42317e-28	5.02682e-27	98	106	259	301	82.41	86.03	322.74	352.93
ABCC1	514.272	-2.88847	0.141847	-20.3493	4.70803e-92	9.54757e-91	1061	1135	94	108	892.19	921.13	117.13	126.63
ABCC10	226.337	0.0676938	0.166999	0.405356	0.685216	0.768796	274	261	175	209	230.41	211.82	218.07	245.06
ABCC11	5.8684	0.995187	0.967182	1.02784	0.304027	0.40442	4	5	11	2	3.36	4.06	13.71	2.35
ABCC12	6.99073	3.47292	1.06445	3.05533	0.0022481	0.00449952	1	1	7	15	0.84	0.81	8.72	17.59
ABCC13	1.22066	-0.0210806	1.49456	-0.0141017	0.988749	0.990472	1	2	1	1	0.84	1.62	1.25	1.17
ABCC2	201.102	-6.20429	0.495547	-11.9521	6.33154e-33	4.89787e-32	480	482	3	5	403.63	391.18	3.74	5.86
ABCC3	108.947	-4.76322	0.445177	-10.4594	1.32756e-25	8.51126e-25	244	266	9	3	205.18	215.88	11.21	3.52
ABCC4	111.19	-3.09023	0.304366	-10.1121	4.88158e-24	3.00315e-23	230	253	20	18	193.41	205.33	24.92	21.11
ABCC5	451.685	1.30896	0.128125	10.2159	1.68394e-24	1.0492e-23	294	335	481	587	247.22	271.88	599.38	688.27
ABCC6	46.8921	-3.15841	0.468222	-6.67589	2.45735e-11	9.19066e-11	108	97	6	9	90.82	78.72	7.48	10.55
ABCC6P1	5.1636	-2.49493	1.11729	-2.13285	0.0329368	0.0551081	13	9	1	1	10.93	7.3	1.25	1.17
ABCC6P2	1.844	-0.792981	1.37615	-0.571665	0.567549	0.67754	3	3	1	1	2.52	2.43	1.25	1.17
ABCC8	286.242	7.24952	0.48696	14.0991	3.84407e-45	3.904e-44	4	4	460	482	3.36	3.25	573.21	565.15
ABCC9	22.9668	3.37363	0.626836	5.29507	1.18971e-07	3.54433e-07	2	7	33	37	1.68	5.68	41.12	43.38
ABCD1	182.405	-2.53531	0.223182	-11.3451	7.8413e-30	5.61375e-29	367	387	51	37	308.61	314.08	63.55	43.38
ABCD2	34.949	4.18288	0.592187	6.88369	5.83235e-12	2.25082e-11	2	6	58	52	1.68	4.87	72.27	60.97
ABCD3	147.589	-0.501639	0.203398	-2.46614	0.0136576	0.0244444	208	211	100	102	174.91	171.24	124.61	119.6
ABCD4	178.047	0.0628357	0.189536	0.331524	0.740249	0.818394	206	216	130	172	173.22	175.3	161.99	201.67
ABCE1	115.842	-1.19285	0.244747	-4.8722	1.10363e-06	3.05535e-06	179	212	65	51	150.52	172.05	81	59.8
ABCF1	657.09	-1.35528	0.107063	-12.6578	1.01319e-36	8.53536e-36	1143	1145	293	318	961.14	929.25	365.11	372.86
ABCF2	425.232	-0.483893	0.123902	-3.90538	9.40783e-05	0.000219013	592	609	280	307	497.81	494.25	348.91	359.96
ABCF3	419.891	0.643913	0.123785	5.20187	1.9729e-07	5.77273e-07	398	395	408	440	334.68	320.57	508.41	515.91
ABCG1	198.688	0.472252	0.176933	2.66911	0.00760524	0.0142081	188	215	194	188	158.09	174.49	241.74	220.43
ABCG2	66.8561	1.36823	0.306592	4.46133	8.14539e-06	2.09296e-05	38	52	77	83	31.95	42.2	95.95	97.32
ABCG4	182.436	5.86266	0.40203	14.2271	6.2239e-46	6.4308e-45	7	7	279	316	5.89	5.68	347.66	370.52
ABCG5	12.0219	-2.10334	0.752289	-2.76277	0.00573132	0.0108988	24	24	3	4	20.18	19.48	3.74	4.69
