Feature.ID	baseMean	log2(brain/UHR)	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
A1BG	71.5557983134632	-0.406672666429659	-1.39577230854851	0.162783071724405	0.234314006079578	92	106	44	58	77.36	86.03	54.83	68.01
A1CF	22.4851545034703	-4.69541896351956	-4.66426923817084	3.09715663162784e-06	8.26053189102985e-06	51	55	1	1	42.89	44.64	1.25	1.17
A2BP1	547.886455781602	7.76876399873633	17.7148591182199	3.22032729665996e-70	4.9520667612826e-69	5	6	898	907	4.2	4.87	1119	1063.47
A2LD1	14.3400305832807	-0.0940026430249539	-0.152220701897948	0.879012866476321	0.924606433649224	15	21	10	13	12.61	17.04	12.46	15.24
A2M	1759.94786374802	-1.56367568457596	-21.3484697689258	4.02916837218898e-101	9.08090530518706e-100	3129	3241	696	777	2631.16	2630.29	867.29	911.05
A2ML1	9.68611660136678	2.57638472295113	3.08193089096962	0.00205662579317316	0.0041371534310109	3	3	13	15	2.52	2.43	16.2	17.59
A4GALT	80.5472433132271	-0.548675604709757	-2.00508704170731	0.0449537425536989	0.0733685191640034	110	122	55	53	92.5	99.01	68.54	62.14
AAA1	2.6629041627345	-1.42596929044052	-1.09598423241678	0.273085674777859	0.368440010328707	4	6	1	1	3.36	4.87	1.25	1.17
AAAS	274.089453632315	-1.02734178709072	-6.54401576977384	5.98884779332321e-11	2.19203122425619e-10	429	462	153	145	360.74	374.94	190.65	170.01
AACS	321.469524444663	0.598878228706073	4.27835180735549	1.88282275940745e-05	4.66341855852195e-05	296	323	316	325	248.91	262.14	393.77	381.07
AACSL	3.69936086035865	-1.96748770914454	-1.60080734211478	0.109419596923624	0.16457496423509	7	8	1	1	5.89	6.49	1.25	1.17
AADACL4	1.22066307892648	-0.0210806190976561	-0.0141016536678546	0.98874888115114	0.990471779176035	1	2	1	1	0.84	1.62	1.25	1.17
AADAT	27.1420194226492	-0.187941738835572	-0.409968192498361	0.681829280513443	0.767441217392113	38	32	19	23	31.95	25.97	23.68	26.97
AAGAB	203.588994121792	-0.68647690234623	-3.83360280010783	0.000126279991429899	0.000290810895518104	279	330	128	130	234.61	267.82	159.5	152.43
AAK1	648.362619384914	2.43981830750589	21.0366648622472	3.02950604686207e-98	6.5859730312469e-97	235	253	832	984	197.61	205.33	1036.76	1153.76
AAMP	696.576794306234	0.210277585451297	2.0389307868497	0.0414569357555718	0.0681055213699358	746	819	565	674	627.31	664.67	704.05	790.28
AANAT	4.49153175096506	0.199886302414848	0.198087963624412	0.842976241878683	0.894116988570108	6	4	4	4	5.05	3.25	4.98	4.69
AARS	2093.85577953336	0.297548755104258	4.4388053455641	9.0459581383687e-06	2.31466526376176e-05	2217	2333	1790	2036	1864.27	1893.39	2230.52	2387.24
AARS2	306.679095768002	-0.602726285948797	-3.94900173215166	7.84777838653389e-05	0.000184319595590379	450	446	172	232	378.4	361.96	214.33	272.02
AARSD1	191.127327672265	0.357902449907158	1.97737980578983	0.0479987148805759	0.0779369658095019	186	220	165	191	156.41	178.55	205.61	223.95
