Gene	UHR_1	UHR_2	brain_1	brain_2
A1BG	92	106	44	58
A1CF	51	55	1	1
A2BP1	5	6	898	907
A2LD1	15	21	10	13
A2M	3129	3241	696	777
A2ML1	3	3	13	15
A4GALT	110	122	55	53
AAA1	4	6	1	1
AAAS	429	462	153	145
AACS	296	323	316	325
AACSL	7	8	1	1
AADACL4	1	2	1	1
AADAT	38	32	19	23
AAGAB	279	330	128	130
AAK1	235	253	832	984
AAMP	746	819	565	674
AANAT	6	4	4	4
AARS	2217	2333	1790	2036
AARS2	450	446	172	232
AARSD1	186	220	165	191
AASDH	50	59	31	31
AASDHPPT	182	184	227	245
AASS	122	104	55	57
AATF	546	561	177	193
AATK	126	110	2769	3099
ABAT	209	185	1563	1717
ABCA1	212	177	60	60
ABCA10	1	1	9	10
ABCA11P	31	39	20	28
ABCA12	24	22	2	2
ABCA13	2	6	1	1
ABCA17P	5	6	24	23
ABCA2	1508	1580	8897	9881
ABCA3	299	324	1565	1839
ABCA4	27	18	10	9
ABCA5	63	73	106	126
ABCA6	1	1	20	14
ABCA7	521	498	240	301
ABCA8	19	12	143	142
ABCA9	1	2	31	23
ABCB1	37	31	86	102
ABCB10	125	127	56	60
ABCB11	1	3	1	1
ABCB4	13	22	1	3
ABCB5	20	20	1	1
ABCB6	607	669	240	250
ABCB7	173	209	41	43
ABCB8	439	428	335	360
ABCB9	98	106	259	301
ABCC1	1061	1135	94	108
ABCC10	274	261	175	209
ABCC11	4	5	11	2
ABCC12	1	1	7	15
ABCC13	1	2	1	1
ABCC2	480	482	3	5
ABCC3	244	266	9	3
ABCC4	230	253	20	18
ABCC5	294	335	481	587
ABCC6	108	97	6	9
ABCC6P1	13	9	1	1
ABCC6P2	3	3	1	1
ABCC8	4	4	460	482
ABCC9	2	7	33	37
ABCD1	367	387	51	37
ABCD2	2	6	58	52
ABCD3	208	211	100	102
ABCD4	206	216	130	172
ABCE1	179	212	65	51
ABCF1	1143	1145	293	318
ABCF2	592	609	280	307
ABCF3	398	395	408	440
ABCG1	188	215	194	188
ABCG2	38	52	77	83
ABCG4	7	7	279	316
ABCG5	24	24	3	4
ABCG8	20	27	5	7
ABHD1	7	9	3	3
ABHD10	148	146	147	172
ABHD11	193	163	67	83
ABHD12	677	661	866	951
ABHD12B	4	3	6	12
ABHD13	54	61	43	44
ABHD14A	123	158	404	478
ABHD14B	583	609	112	105
ABHD15	154	134	21	39
ABHD2	703	700	874	846
ABHD3	144	125	39	32
ABHD4	269	297	128	152
ABHD5	94	111	58	57
ABHD6	101	90	273	307
ABHD8	257	256	982	1134
ABI1	229	223	245	277
ABI2	444	497	658	671
ABI3	19	14	31	38
ABI3BP	18	21	12	10
ABL1	1482	1705	551	585
ABL2	337	366	270	260
ABLIM1	472	492	2689	2925
ABLIM2	8	11	579	618
ABLIM3	200	204	413	479
ABO	37	34	4	5
ABP1	6	4	1	1
ABR	803	845	2633	3164
ABRA	2	1	4	2
ABT1	281	271	81	116
ABTB1	149	129	749	898
ABTB2	220	219	154	192
ACAA1	410	436	387	417
ACAA2	287	273	83	79
ACACA	965	922	628	589
ACACB	103	127	202	196
ACAD10	242	277	89	93
ACAD11	190	207	104	132
ACAD8	180	192	185	201
ACAD9	362	354	205	205
ACADL	3	2	2	8
ACADM	132	170	103	101
ACADS	216	206	95	103
ACADSB	128	138	95	99
ACADVL	1916	1961	802	887
ACAN	8	8	24	32
ACAP1	87	75	23	19
ACAP2	197	186	113	100
ACAP3	877	878	2103	2441
ACAT1	313	341	115	134
ACAT2	404	427	130	132
ACBD3	310	342	138	150
ACBD4	163	124	139	175
ACBD5	149	134	180	225
ACBD6	383	408	123	148
ACBD7	30	39	144	161
ACCN1	2	3	197	215
ACCN2	152	151	413	472
ACCN3	75	93	173	192
ACCN4	64	80	77	89
ACCN5	1	1	2	3
ACCS	72	63	9	14
ACCSL	1	1	2	1
ACD	330	331	159	207
ACE	82	85	45	86
ACE2	4	5	1	1
ACER2	11	13	10	16
ACER3	82	81	79	95
ACHE	40	31	411	458
ACIN1	1905	2025	784	846
ACLY	2252	2348	650	725
ACMSD	2	2	2	5
ACN9	85	90	23	25
ACO1	425	449	142	183
ACO2	576	603	1011	1199
ACOT1	12	20	17	16
ACOT11	24	19	26	26
ACOT12	1	3	1	1
ACOT13	140	174	94	79
ACOT2	83	95	30	39
ACOT4	10	10	23	18
ACOT6	1	1	4	2
ACOT7	729	724	1004	1120
ACOT8	141	152	160	165
ACOT9	135	155	27	49
ACOX1	304	334	266	285
ACOX2	31	45	13	16
ACOX3	86	92	56	82
ACOXL	4	7	3	1
ACP1	555	608	189	204
ACP2	293	281	236	275
ACP5	117	132	7	4
ACP6	125	148	28	22
ACPL2	136	151	73	69
ACPP	4	6	1	1
ACPT	3	6	2	3
ACR	1	2	3	3
ACRBP	10	10	10	13
ACRC	12	13	12	25
ACRV1	6	4	3	8
ACSBG1	22	14	284	323
ACSBG2	3	4	3	5
ACSF2	254	262	67	104
ACSF3	324	337	129	155
ACSL1	164	188	252	247
ACSL3	640	700	340	348
ACSL4	483	508	151	183
ACSL5	100	109	57	46
ACSL6	4	7	318	321
ACSM1	9	15	2	1
ACSM2A	4	5	1	1
ACSM2B	4	6	1	1
ACSM3	243	264	3	2
ACSM4	1	3	1	1
ACSM5	5	2	9	13
ACSS1	340	293	433	449
ACSS2	448	448	244	244
ACSS3	85	98	49	43
ACTA1	16	37	22	18
ACTA2	110	104	223	221
ACTB	23034	22907	10483	11883
ACTBL2	5	2	2	1
ACTC1	16	9	10	14
ACTG1	23475	24215	5753	6431
ACTG2	85	63	30	34
ACTL6A	282	260	17	17
ACTL6B	3	1	384	436
ACTL7A	1	1	1	2
ACTL7B	1	1	2	1
ACTL8	60	44	3	3
ACTN1	2580	2603	702	801
ACTN2	8	11	285	316
ACTN3	3	2	5	7
ACTN4	4148	4284	1539	1650
ACTR10	82	103	119	135
ACTR1A	765	803	1152	1352
ACTR1B	748	780	1067	1148
ACTR2	761	766	472	530
ACTR3	733	751	338	386
ACTR3B	101	100	163	198
ACTR3C	5	2	2	5
ACTR5	151	153	36	62
ACTR6	54	51	54	64
ACTR8	163	147	104	126
ACVR1	134	152	73	91
ACVR1B	251	293	530	524
ACVR1C	6	13	37	38
ACVR2A	53	57	62	49
ACVR2B	405	465	148	155
ACVRL1	16	19	130	143
ACY1	374	392	52	66
ACY3	18	25	23	22
ACYP1	65	66	55	65
ACYP2	24	38	131	160
ADA	668	702	26	25
ADAD2	3	3	11	11
ADAL	70	77	30	32
ADAM10	549	570	236	229
ADAM11	84	89	1237	1358
ADAM12	88	96	7	7
ADAM15	1217	1285	471	523
ADAM17	212	231	75	95
ADAM19	101	106	131	112
ADAM20	1	1	3	3
ADAM21	2	4	2	5
ADAM22	23	25	202	214
ADAM23	131	124	245	286
ADAM28	5	5	10	14
ADAM29	1	2	2	1
ADAM32	1	2	3	4
ADAM33	44	44	55	52
ADAM8	42	63	24	27
ADAM9	469	486	161	170
ADAMTS1	724	756	310	362
ADAMTS10	55	73	152	130
ADAMTS12	48	59	4	1
ADAMTS13	114	120	154	182
ADAMTS14	219	221	67	65
ADAMTS15	94	111	8	6
ADAMTS16	9	9	48	55
ADAMTS17	28	44	16	25
ADAMTS18	2	5	100	110
ADAMTS19	22	16	4	8
ADAMTS2	88	87	46	47
ADAMTS20	8	9	1	1
ADAMTS3	46	57	12	9
ADAMTS4	80	74	382	459
ADAMTS5	36	34	37	56
ADAMTS6	15	18	2	5
ADAMTS7	121	95	12	12
ADAMTS8	12	10	109	107
ADAMTS9	100	97	99	124
ADAMTSL1	109	126	39	41
ADAMTSL2	37	35	255	283
ADAMTSL3	6	3	24	31
ADAMTSL4	580	599	25	23
ADAMTSL5	86	98	15	21
ADAP1	100	121	1094	1225
ADAP2	18	16	22	19
ADAR	2109	2166	1581	1631
ADARB1	650	632	978	1103
ADARB2	3	1	162	184
ADAT1	102	92	31	29
ADAT2	94	133	18	21
ADAT3	74	76	32	38
ADC	40	43	186	192
ADCK1	78	82	73	61
ADCK2	318	311	236	254
ADCK4	185	173	161	165
ADCK5	131	139	76	112
ADCY1	1039	1066	2510	2930
ADCY10	2	2	2	2
ADCY2	20	23	613	651
ADCY3	498	529	450	563
ADCY4	2	1	31	49
ADCY5	33	33	515	583
