PC1	PC2	PC3	PC4
GFAP	-0.0391702626364974	0.0010109677759022	-0.0113670400199927	-0.191658005805983
CAMK2A	-0.0378448186394451	0.000500740258125567	0.0277414545664556	-0.0594894952028031
GPM6A	-0.0351291580314018	-3.64922729346879e-05	0.0175827108649596	0.0295623203238233
SPARCL1	-0.0341261762336206	0.00127062705804749	0.00648158775128128	0.00467793850296513
CNTN2	-0.0339068066694459	-0.000523918350986407	-0.00913717832824414	0.00479739513079454
DIRAS2	-0.0338301075315466	0.00150999389354596	0.00675735397595733	0.00492006440306085
SNAP25	-0.0337425436282687	0.001273785634791	-0.0132380463691507	-0.0119523378384502
MT3	-0.0337460727428368	0.00141755317893185	-0.000703017943052306	0.0102085138989626
MOBP	-0.0334927358804289	-0.00022947894119351	-0.0113061250422466	-0.0118727114180551
NTRK2	-0.0333336208210542	-0.000486730952748826	-0.00798886839303924	-0.000667981748018126
FAIM2	-0.0332298358493156	-0.000117422761818369	-0.0118478184981506	0.00449850169029917
FAM107A	-0.0331032161386923	4.13331565697524e-05	0.00790915065942955	-0.000382804797390537
IQSEC3	-0.0330440520620111	0.000281648818646608	0.00674543850498017	0.0103144632673908
GABRD	-0.0325915283573272	0.00160767355378734	-0.028398851556206	-0.00103581315758383
KCNJ9	-0.0324168989703452	0.00156643741342718	-0.0112902492411532	-0.00566730671777013
RTN1	-0.0323332932596635	-0.000531171838836705	0.0251144761378229	-0.00525127039705371
SNAP91	-0.0322380322374335	-0.00161904397712388	-0.024354290515975	-0.00634921618613984
HMP19	-0.0321431841631485	0.000523546013808189	0.0175858207838917	0.0105388978475118
PTGDS	-0.032180229172133	-0.000232990334013529	0.00353881818737777	-0.00598690345491287
AQP4	-0.0319239393702415	-0.000451136714964884	-0.00798951797112687	-0.00567536840680467
SLC6A1	-0.0317268937349995	-0.00012847533502274	0.0168926126508771	0.0160230767657416
PHYHIP	-0.0316135627677171	-0.000191168576850436	-0.0175876923411995	0.0107248083796154
SCN2B	-0.0316324572446526	-7.63875536557681e-05	-0.00798625173456631	-0.0057809129069293
CHGA	-0.0315628010743355	-0.000345349009281747	-0.000720851649068981	0.00512235260185675
SILV	0.0315537486560644	-0.00219070838618759	0.000737736151162183	0.0112692075746909
CEND1	-0.0315082229397518	0.000230464020196475	-0.00643205012812265	-0.000248204915611182
APOB	0.0314765773033876	-0.0121725099978353	0.00104490165921219	0.000756040618680907
STMN4	-0.0314903635509992	-0.000507126470991424	-0.000595994231511597	0.0105081213175256
PNMAL2	-0.0314433796684143	-0.000801249490673095	-0.0147438098915784	0.0108438861164836
NEUROD2	-0.0314468460308598	-0.00137088674446308	-0.000479341847368881	0.00539373658992237
RUNDC3A	-0.0313922620208816	0.000908396040923862	0.00488791574013842	-0.000229971761222452
FAT2	-0.031261705463338	-0.000399189435685023	0.00319381531895275	0.0053182506050773
MAG	-0.0311000585795765	-0.000839400835509649	-0.000802782768721981	0.0107368296716059
ELAVL3	-0.0309937083111731	-0.000877749609454824	0.00955279512052864	0.00532961765847558
ALB	0.0308146110163488	-0.00213800649732901	0.00066369150150107	0.000278147003169751
SCRT1	-0.0307947086831156	-0.000503253858257995	-0.0006954672935999	-0.000170177876850126
AHSG	0.0307735765133863	-0.0013461226754088	0.000183895265272289	0.011176566239089
SLC17A7	-0.0306407896610157	2.03285033387916e-05	-0.0185952398173751	-1.33810168171194e-05
KRT8	0.0306402085551612	-0.00878000500422605	-0.000985224792890857	0.000586689495922657
SV2B	-0.0305502928067709	-0.000157093539665142	-0.000742180169651417	-0.000202052425720293
ATP2B2	-0.0304794234236383	9.82819658415647e-05	-0.00378600567580566	-4.65990122291867e-05
MOG	-0.0304135762024066	-5.34717717436932e-06	-0.000467420045487041	0.010809192788273
CABP1	-0.0302372897266555	-0.000892452874033721	0.0140013769020328	0.000526393190794349
SH3GL2	-0.0301829712078791	-0.00054100172841275	0.00769769241979884	-0.0165287278874642
GABRB2	-0.0301205524440606	0.000345235453491597	-0.000464378564729112	-0.000103530848319404
STMN2	-0.0300606986047971	-0.000883414204802294	-0.0113145614437259	-0.0054513149485068
CAMK2B	-0.0299316945908958	-0.000461393802920624	-0.00457006354363168	-0.00534532646642781
RPH3A	-0.029877925172059	0.000882130030697554	0.00190264116139141	-0.00541090131126708
MKI67	0.0298569112543657	-0.00355913743045679	0.000739653389165094	0.00556336191720342
SLC24A2	-0.0297702225617926	0.0002732597762244	-0.00798430874369763	0.00530297134451138
HPCAL4	-0.0296346906691732	-0.000200302154255267	-0.00410431950362114	-0.0109671411243421
KCNC1	-0.0295995736930997	0.00120528621070654	-0.00075003477816483	0.00545754917355674
AFP	0.0295543628134059	0.00376357708335106	0.00151049773600589	7.58931269908888e-05
GABRA1	-0.029538305406011	0.000716366664172601	-0.000461347755030589	-0.0108704439066209
MYT1L	-0.029486103311657	-0.00126874211906566	-0.013638867987686	0.00545707802245174
SYT4	-0.0293569411651611	0.000684148249336467	-0.011300540870716	-0.00017313937837022
HBE1	0.0293739624199657	0.00227685361884532	-0.000274355193481728	0.0107375145345893
NEUROD1	-0.0293375478106318	7.61468523658551e-05	-0.000467413050240076	-0.00523210946477431
MAP2	-0.0293125998340965	0.00174502124856205	0.00214911627222779	-0.0108046697116374
NDRG4	-0.0291846959677085	0.000499725078506683	0.00976075336025252	0.0113304029541641
RIMS1	-0.0289898792299336	0.00284500798664539	0.010272065417211	-0.0106810364034969
NKX6-2	-0.0289324836930141	-0.00379480770573334	-0.000503523881165135	0.0114267446336898
SLC12A5	-0.028878316986873	-0.000304319675369613	-0.0115458683122933	0.00039521348431543
GRIA1	-0.028747884529175	-0.0018221191718301	0.0231641049795912	0.00621971652510965
HPCA	-0.0288011107173365	0.00146862530074694	-0.0108578645758431	0.00013764718338375
PRAME	0.0287917912307036	0.000167382716955135	-0.000453451138956983	0.010834727488103
CELF3	-0.0287595654046437	0.000156707333999971	-0.0136261786322049	-0.000155923742588013
KCNA1	-0.0287557314608307	-0.00191878999911408	-0.000486282239556681	0.0111612840545685
MYBL2	0.0286518371533181	-0.00959131745983842	0.000263673619739379	0.00538753464133261
