Gene	Sample.A	Sample.B	Sample.C	Sample.D	Sample.E	Sample.F
ENSMUSG00000102693	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0
ENSMUSG00000051951	0	0	0	0	0	0
ENSMUSG00000102851	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0
ENSMUSG00000103147	0	0	0	0	0	0
ENSMUSG00000103161	0	0	0	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0
ENSMUSG00000102348	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0
ENSMUSG00000025900	0	0	0	0	0	0
ENSMUSG00000102948	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0
ENSMUSG00000025902	0	0	0	0	0	0
ENSMUSG00000104238	0	0	0	0	0	0
ENSMUSG00000102269	0	0	0	1	3	1
ENSMUSG00000096126	0	0	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	0	0
ENSMUSG00000102735	0	0	0	0	0	0
ENSMUSG00000098104	11	3	2	1	10	5
ENSMUSG00000102175	0	0	1	1	0	1
ENSMUSG00000088000	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	0	0
ENSMUSG00000103922	3	7	3	3	4	4
ENSMUSG00000033845	3145	1771	1257	1233	2922	1738
ENSMUSG00000102275	24	16	14	10	29	10
ENSMUSG00000025903	1030	813	894	482	678	1119
ENSMUSG00000104217	0	1	0	0	3	0
ENSMUSG00000033813	2352	2036	1409	1274	1588	2293
ENSMUSG00000062588	4	10	3	9	13	5
ENSMUSG00000103280	0	0	0	0	0	0
ENSMUSG00000002459	7	1	1	2	0	0
ENSMUSG00000091305	0	0	0	0	0	0
ENSMUSG00000102653	0	0	0	0	0	0
ENSMUSG00000085623	0	0	0	0	0	0
ENSMUSG00000091665	0	0	0	0	0	0
ENSMUSG00000033793	2642	4621	1561	3361	1640	4823
ENSMUSG00000104352	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0
ENSMUSG00000025905	0	0	0	0	0	0
ENSMUSG00000103936	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0
ENSMUSG00000033774	0	0	0	0	0	0
ENSMUSG00000103090	0	0	0	0	0	0
ENSMUSG00000025907	862	659	1077	482	520	851
ENSMUSG00000090031	36	36	48	42	26	52
ENSMUSG00000087247	0	0	0	0	0	0
ENSMUSG00000103355	0	0	0	0	0	0
ENSMUSG00000102706	0	0	0	0	0	0
ENSMUSG00000103845	0	10	2	2	1	3
ENSMUSG00000033740	550	212	777	153	436	230
ENSMUSG00000103329	0	0	0	0	0	0
ENSMUSG00000104385	1	0	0	0	0	0
ENSMUSG00000102135	45	13	13	21	12	16
ENSMUSG00000103282	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0
ENSMUSG00000051285	755	551	732	335	487	675
ENSMUSG00000098201	2	0	1	0	0	1
ENSMUSG00000103509	0	43	66	24	39	35
ENSMUSG00000048538	1	5	0	3	1	8
ENSMUSG00000103709	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0
ENSMUSG00000097797	16	6	13	4	29	8
ENSMUSG00000103498	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0
ENSMUSG00000103903	1	0	0	0	0	1
ENSMUSG00000103557	0	0	0	0	0	0
ENSMUSG00000025909	2	0	3	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0
ENSMUSG00000086235	1	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0	0
ENSMUSG00000093970	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0
