Feature.ID	WT.1.norm	WT.2.norm	WT.3.norm	GeneA.KO.1.norm	GeneA.KO.2.norm	GeneA.KO.3.norm	GeneB.KO.1.norm	GeneB.KO.2.norm	GeneB.KO.3.norm
ENSG00000223972	0	0	0	0	0	0	0	0	0
ENSG00000227232	0	0	0	0	0	0	0	0	0
ENSG00000278267	0	0	0	0	0	0	0	0	0
ENSG00000243485	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0.9331	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0
ENSG00000268903	0	0	0	0	0	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0	0	0	0
ENSG00000241860	0	0	0.9256	0	0	0	0	1.2217	0
ENSG00000222623	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0	0	0	0
ENSG00000279457	5.4574	14.0499	10.1817	7.4644	17.858	9.9723	11.4494	10.995	9.7569
ENSG00000273874	0	0	0	0	0	0	0	0	0
ENSG00000228463	1.0915	1.8733	1.8512	1.8661	0	0	1.0409	1.2217	2.661
ENSG00000236679	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000237094	0	0	0	0.9331	0.8504	3.3241	3.1226	4.8867	3.548
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0	0	0	0.887
ENSG00000235146	0	0	0	0	0	0	0	0	0
ENSG00000225972	26.1955	21.5432	20.3634	30.7907	33.1648	29.9168	17.6945	28.0983	19.5139
ENSG00000225630	2133.8431	2479.3463	2119.6424	1700.9505	1873.3855	2001.1029	1679.9372	2062.1742	1861.7999
ENSG00000237973	191.009	260.3922	191.6009	159.5516	219.3979	222.7141	207.1298	291.9784	243.0363
ENSG00000278791	0	0	0	0	0	0	0	0	0
ENSG00000229344	13.0978	9.3666	21.289	14.9288	17.0076	15.5124	19.7762	23.2117	14.1919
ENSG00000240409	5.4574	1.8733	8.3305	8.3975	7.6534	5.5402	7.286	2.4433	6.209
ENSG00000248527	1921.0045	2771.5851	2723.1388	1716.8123	1386.9686	2500.8245	2018.2146	2655.9044	2313.2797
ENSG00000198744	15.2807	14.9866	11.1073	13.0627	14.4564	16.6205	12.4902	6.1083	16.8529
ENSG00000268663	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0
ENSG00000228327	5.4574	9.3666	7.4049	12.1297	12.7557	13.2964	5.2043	6.1083	15.9659
ENSG00000223181	0	0	0	0	0	0	0	0	0
