Ensembl	WT.1	WT.2	WT.3	GeneA.KO.1	GeneA.KO.2	GeneA.KO.3	GeneB.KO.1	GeneB.KO.2	GeneB.KO.3
ENSG00000223972	0	0	0	0	0	0	0	0	0
ENSG00000227232	0	0	0	0	0	0	0	0	0
ENSG00000278267	0	0	0	0	0	0	0	0	0
ENSG00000243485	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	1	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0
ENSG00000268903	0	0	0	0	0	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0	0	0	0
ENSG00000241860	0	0	1	0	0	0	0	1	0
ENSG00000222623	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0	0	0	0
ENSG00000279457	5	15	11	8	21	9	11	9	11
ENSG00000273874	0	0	0	0	0	0	0	0	0
ENSG00000228463	1	2	2	2	0	0	1	1	3
ENSG00000236679	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000237094	0	0	0	1	1	3	3	4	4
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0	0	0	1
ENSG00000235146	0	0	0	0	0	0	0	0	0
ENSG00000225972	24	23	22	33	39	27	17	23	22
ENSG00000225630	1955	2647	2290	1823	2203	1806	1614	1688	2099
ENSG00000237973	175	278	207	171	258	201	199	239	274
ENSG00000278791	0	0	0	0	0	0	0	0	0
ENSG00000229344	12	10	23	16	20	14	19	19	16
ENSG00000240409	5	2	9	9	9	5	7	2	7
ENSG00000248527	1760	2959	2942	1840	1631	2257	1939	2174	2608
ENSG00000198744	14	16	12	14	17	15	12	5	19
ENSG00000268663	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0
ENSG00000228327	5	10	8	13	15	12	5	5	18
ENSG00000223181	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0
ENSG00000237491	10	27	24	11	22	10	4	11	9
ENSG00000230092	1	4	0	1	2	0	1	2	2
ENSG00000177757	0	1	0	1	2	1	3	2	1
ENSG00000228794	306	415	475	319	333	281	262	227	376
ENSG00000225880	7	13	11	9	16	2	2	7	4
ENSG00000230368	0	0	0	0	0	0	0	0	0
ENSG00000234711	0	0	0	0	1	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0
ENSG00000272438	1	2	4	1	1	3	2	2	7
ENSG00000230699	22	13	49	17	11	22	14	9	30
