Name	GTEX-1117F-0226-SM-5GZZ7	GTEX-111CU-1826-SM-5GZYN	GTEX-111FC-0226-SM-5N9B8	GTEX-111VG-2326-SM-5N9BK	GTEX-111YS-2426-SM-5GZZQ	GTEX-1122O-2026-SM-5NQ91	GTEX-1128S-2126-SM-5H12U	GTEX-113IC-0226-SM-5HL5C	GTEX-117YX-2226-SM-5EGJJ	GTEX-11DXW-0326-SM-5H11W	GTEX-11DXX-2326-SM-5Q5A2	GTEX-11DZ1-0226-SM-5A5KF	GTEX-11EI6-0226-SM-5EQ64	GTEX-11EM3-2326-SM-5H12B	GTEX-11EMC-2826-SM-5PNY6	GTEX-11EQ8-0226-SM-5EQ5G	GTEX-11EQ9-2526-SM-5HL66	GTEX-11GS4-2626-SM-5A5LD	GTEX-11GSO-2326-SM-5A5LX
ENSG00000223972.4	3	4	1	1	0	2	1	3	5	1	0	1	3	1	1	3	3	6	4
ENSG00000227232.4	616	395	826	364	301	419	340	451	424	331	304	430	508	414	911	505	394	439	334
ENSG00000243485.2	2	1	1	0	1	0	2	3	1	1	1	0	0	1	0	1	0	0	1
ENSG00000237613.2	1	0	1	1	0	0	2	3	2	0	1	2	0	2	1	2	0	2	2
ENSG00000268020.2	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	1	1
ENSG00000240361.1	0	2	2	0	0	1	0	0	0	1	0	0	1	1	1	2	0	3	0
ENSG00000186092.4	0	0	0	0	2	0	0	0	1	1	0	0	2	1	1	0	0	0	5
ENSG00000238009.2	8	3	12	12	2	4	10	9	3	14	9	6	4	1	12	9	15	8	13
ENSG00000233750.3	11	29	9	18	5	5	7	4	11	18	11	12	9	9	18	14	16	9	7
ENSG00000237683.5	264	300	114	1364	227	276	518	52	91	105	558	354	91	195	587	253	161	203	822
ENSG00000268903.1	0	2	1	1	1	1	2	0	0	1	0	0	1	3	3	5	0	1	4
ENSG00000239906.1	5	0	0	16	4	9	9	0	0	2	16	10	1	8	12	0	0	1	27
ENSG00000241860.2	57	31	24	104	31	69	104	18	65	18	116	34	23	82	146	68	34	56	67
ENSG00000222623.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000241599.1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0
ENSG00000228463.4	52	113	168	7	100	46	25	29	44	256	35	152	79	159	511	44	165	124	393
ENSG00000237094.7	18	15	47	42	54	42	23	33	20	26	20	38	15	17	128	22	16	52	56
ENSG00000250575.1	1	1	2	2	6	0	3	0	3	0	0	0	1	1	2	3	2	2	3
ENSG00000233653.3	5	6	5	2	2	1	2	4	4	4	2	7	11	8	3	13	5	6	7
ENSG00000224813.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249.1	0	1	0	0	0	3	0	1	0	0	0	0	0	2	1	2	1	1	2
ENSG00000269732.1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
ENSG00000256186.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000236601.1	0	0	0	1	1	0	0	2	1	1	0	1	1	0	0	0	0	2	0
ENSG00000236743.1	3	0	4	2	2	1	2	2	2	2	0	1	2	2	2	2	0	1	1
ENSG00000236679.2	3	3	1	0	2	2	1	0	5	2	2	6	1	2	5	1	2	4	3
ENSG00000231709.1	1	0	4	2	2	1	5	2	5	7	7	4	0	3	16	1	4	2	9
ENSG00000235146.2	0	0	0	3	2	0	0	0	1	0	0	0	1	2	0	2	1	1	2
ENSG00000239664.2	0	0	1	1	0	0	0	2	3	0	0	1	0	0	0	0	1	0	1
ENSG00000230021.3	4	5	2	2	8	4	2	1	3	1	1	5	2	3	2	6	4	5	3
ENSG00000223659.1	1	3	0	0	4	1	0	0	1	0	0	2	2	0	0	0	1	1	1
ENSG00000225972.1	65	88	95	75	129	122	60	24400	189	121	77	120	127	121	96	81	100	117	116
ENSG00000225630.1	6047	16015	23170	13401	42175	41083	20320	11021	28992	25561	19833	514	20327	35879	25172	15105	27922	31060	15221
ENSG00000237973.1	813	790	1594	1263	1991	2699	1290	74701	1697	1106	1528	2670	1787	2236	1340	1215	1983	2097	1614
