Feature.ID	Pearson correlation	Pearson p-value	Pearson FDR
ENSG00000223972.4	1	0	0
ENSG00000177757.1	0.594	0.007329	0.3408
ENSG00000233653.3	0.4929	0.03201	0.79
ENSG00000230415.1	0.4248	0.06981	0.9629
ENSG00000256186.1	0.39	0.09877	0.9629
ENSG00000235249.1	0.3861	0.1025	0.9629
ENSG00000269308.1	0.3793	0.1093	0.9629
ENSG00000162572.15	0.3164	0.187	0.9629
ENSG00000224956.5	0.3115	0.1943	0.9629
ENSG00000239664.2	0.2883	0.2313	0.9629
ENSG00000240361.1	0.2807	0.2445	0.9629
ENSG00000260179.1	0.2757	0.2532	0.9629
ENSG00000231702.2	0.273	0.2581	0.9629
ENSG00000230092.3	0.2708	0.2621	0.9629
ENSG00000187642.5	0.2551	0.2919	0.9629
ENSG00000185097.2	0.2482	0.3057	0.9629
ENSG00000223823.1	0.237	0.3287	0.9629
ENSG00000268663.1	0.2265	0.3511	0.9629
ENSG00000230021.3	0.2256	0.3531	0.9629
ENSG00000188157.9	0.2124	0.3826	0.9629
ENSG00000223659.1	0.2105	0.3871	0.9629
ENSG00000198744.5	0.2055	0.3986	0.9629
ENSG00000240409.1	0.2002	0.4111	0.9629
ENSG00000225972.1	0.1928	0.4292	0.9629
ENSG00000235373.1	0.1852	0.4478	0.9629
ENSG00000237613.2	0.1807	0.459	0.9629
ENSG00000217801.5	0.1722	0.481	0.9629
ENSG00000227232.4	0.1719	0.4817	0.9629
ENSG00000237330.2	0.1706	0.4849	0.9629
ENSG00000188290.6	0.1648	0.5001	0.9629
ENSG00000236679.2	0.1613	0.5093	0.9629
ENSG00000236601.1	0.158	0.5182	0.9629
ENSG00000131584.14	0.1558	0.5241	0.9629
ENSG00000230699.2	0.1505	0.5386	0.9629
ENSG00000272512.1	0.1488	0.5431	0.9629
ENSG00000229344.1	0.1436	0.5575	0.9629
ENSG00000269732.1	0.1426	0.5602	0.9629
ENSG00000187583.6	0.1379	0.5733	0.9629
ENSG00000272141.1	0.1351	0.5813	0.9629
ENSG00000229376.3	0.1318	0.5908	0.9629
ENSG00000230368.2	0.1304	0.5946	0.9629
ENSG00000187634.6	0.1286	0.5999	0.9629
ENSG00000131591.13	0.1205	0.6232	0.9629
ENSG00000224969.1	0.1162	0.6356	0.9629
ENSG00000235146.2	0.1141	0.6418	0.9629
ENSG00000237491.4	0.1121	0.6479	0.9629
ENSG00000250575.1	0.1016	0.679	0.9629
ENSG00000268020.2	0.1014	0.6795	0.9629
ENSG00000237973.1	0.09359	0.7031	0.9629
ENSG00000127054.14	0.08973	0.7149	0.9629
ENSG00000233750.3	0.08686	0.7237	0.9629
ENSG00000184163.3	0.08525	0.7286	0.9629
ENSG00000187608.5	0.07461	0.7614	0.969
ENSG00000223764.2	0.06798	0.7821	0.969
ENSG00000273443.1	0.06414	0.7942	0.969
ENSG00000228463.4	0.05997	0.8073	0.969
ENSG00000240731.1	0.05093	0.836	0.969
ENSG00000187961.9	0.04529	0.8539	0.969
ENSG00000269831.1	0.0417	0.8654	0.969
ENSG00000238009.2	0.03924	0.8733	0.969
ENSG00000268903.1	0.03908	0.8738	0.969
ENSG00000169962.4	0.03365	0.8912	0.9751
ENSG00000229905.1	0.01896	0.9386	0.991
ENSG00000228794.4	0.01395	0.9548	0.991
ENSG00000240618.1	0.007687	0.9751	0.991
ENSG00000225630.1	0.007106	0.977	0.991
ENSG00000186092.4	0.005572	0.9819	0.991
ENSG00000198976.1	-0.002782	0.991	0.991
ENSG00000186891.9	-0.01458	0.9528	0.991
ENSG00000205231.1	-0.028	0.9094	0.9834
ENSG00000243485.2	-0.03863	0.8752	0.969
ENSG00000272438.1	-0.05763	0.8147	0.969
ENSG00000162571.9	-0.05795	0.8137	0.969
ENSG00000228327.2	-0.07116	0.7722	0.969
ENSG00000224051.2	-0.08314	0.7351	0.9629
ENSG00000236743.1	-0.08836	0.7191	0.9629
ENSG00000207730.1	-0.09531	0.6979	0.9629
ENSG00000225880.4	-0.1159	0.6365	0.9629
ENSG00000169972.7	-0.1317	0.591	0.9629
ENSG00000222623.1	-0.1518	0.535	0.9629
ENSG00000160087.16	-0.159	0.5154	0.9629
ENSG00000176022.3	-0.1598	0.5134	0.9629
ENSG00000241860.2	-0.1676	0.4928	0.9629
ENSG00000078808.12	-0.1821	0.4556	0.9629
ENSG00000186827.6	-0.1849	0.4485	0.9629
ENSG00000237094.7	-0.2112	0.3854	0.9629
ENSG00000234711.1	-0.2382	0.3261	0.9629
ENSG00000248527.1	-0.2383	0.3258	0.9629
ENSG00000237683.5	-0.2989	0.2138	0.9629
ENSG00000188976.6	-0.3149	0.1892	0.9629
ENSG00000231709.1	-0.3473	0.1452	0.9629
ENSG00000241599.1	-0.4376	0.06099	0.9629
ENSG00000239906.1	-0.4881	0.03398	0.79
ENSG00000224813.2	NA	NA	NA
ENSG00000223181.1	NA	NA	NA
ENSG00000240453.1	NA	NA	NA
ENSG00000241180.1	NA	NA	NA
ENSG00000268179.1	NA	NA	NA
ENSG00000207607.1	NA	NA	NA
