Feature.ID	Pearson correlation	Pearson p-value	Pearson FDR
ENSG00000223972.4	1	0	0
ENSG00000256186.1	0.534	0.01851	0.8607
ENSG00000229344.1	0.4572	0.04908	0.9914
ENSG00000177757.1	0.4357	0.06223	0.9914
ENSG00000233653.3	0.3701	0.1189	0.9914
ENSG00000269308.1	0.3685	0.1206	0.9914
ENSG00000240361.1	0.3623	0.1274	0.9914
ENSG00000239664.2	0.3262	0.1729	0.9914
ENSG00000236601.1	0.2997	0.2126	0.9914
ENSG00000240409.1	0.2809	0.2441	0.9914
ENSG00000260179.1	0.2683	0.2668	0.9914
ENSG00000236679.2	0.2578	0.2867	0.9914
ENSG00000235249.1	0.257	0.2883	0.9914
ENSG00000229905.1	0.2541	0.2939	0.9914
ENSG00000237613.2	0.2467	0.3086	0.9914
ENSG00000268663.1	0.2376	0.3273	0.9914
ENSG00000231702.2	0.2361	0.3306	0.9914
ENSG00000185097.2	0.233	0.337	0.9914
ENSG00000198744.5	0.2289	0.3459	0.9914
ENSG00000230415.1	0.2028	0.405	0.9914
ENSG00000230021.3	0.181	0.4582	0.9914
ENSG00000188157.9	0.1764	0.4702	0.9914
ENSG00000229376.3	0.1565	0.5222	0.9914
ENSG00000187642.5	0.1537	0.5299	0.9914
ENSG00000237330.2	0.1489	0.5428	0.9914
ENSG00000230092.3	0.1475	0.5468	0.9914
ENSG00000223823.1	0.1447	0.5544	0.9914
ENSG00000224956.5	0.1436	0.5575	0.9914
ENSG00000162572.15	0.1423	0.5611	0.9914
ENSG00000223659.1	0.1291	0.5984	0.9914
ENSG00000272512.1	0.128	0.6016	0.9914
ENSG00000272141.1	0.1232	0.6152	0.9914
ENSG00000205231.1	0.1216	0.62	0.9914
ENSG00000186092.4	0.1201	0.6242	0.9914
ENSG00000224969.1	0.1137	0.6429	0.9914
ENSG00000188290.6	0.1079	0.6602	0.9914
ENSG00000225972.1	0.107	0.6628	0.9914
ENSG00000235373.1	0.1039	0.672	0.9914
ENSG00000237973.1	0.1032	0.6742	0.9914
ENSG00000230368.2	0.08611	0.726	0.9914
ENSG00000131584.14	0.08433	0.7314	0.9914
ENSG00000269732.1	0.08	0.7448	0.9914
ENSG00000187583.6	0.07737	0.7529	0.9914
ENSG00000233750.3	0.07318	0.7659	0.9914
ENSG00000235146.2	0.06893	0.7792	0.9914
ENSG00000268020.2	0.06356	0.796	0.9914
ENSG00000269831.1	0.05802	0.8135	0.9914
ENSG00000268903.1	0.04842	0.8439	0.9914
ENSG00000250575.1	0.03385	0.8906	0.9914
ENSG00000187608.5	0.0264	0.9146	0.9914
ENSG00000230699.2	0.01402	0.9546	0.9914
ENSG00000187634.6	0.005958	0.9807	0.9914
ENSG00000217801.5	-0.001899	0.9938	0.9938
ENSG00000127054.14	-0.008028	0.974	0.9914
ENSG00000184163.3	-0.008245	0.9733	0.9914
ENSG00000243485.2	-0.008274	0.9732	0.9914
ENSG00000223764.2	-0.009403	0.9695	0.9914
ENSG00000131591.13	-0.01288	0.9583	0.9914
ENSG00000273443.1	-0.01292	0.9581	0.9914
ENSG00000240618.1	-0.01481	0.952	0.9914
ENSG00000228794.4	-0.01578	0.9489	0.9914
ENSG00000187961.9	-0.02193	0.929	0.9914
ENSG00000227232.4	-0.03131	0.8987	0.9914
ENSG00000272438.1	-0.04125	0.8668	0.9914
ENSG00000228463.4	-0.04922	0.8414	0.9914
ENSG00000198976.1	-0.05473	0.8239	0.9914
ENSG00000240731.1	-0.05847	0.812	0.9914
ENSG00000207730.1	-0.06909	0.7787	0.9914
ENSG00000225630.1	-0.07152	0.7711	0.9914
ENSG00000169962.4	-0.08355	0.7338	0.9914
ENSG00000238009.2	-0.08749	0.7217	0.9914
ENSG00000237491.4	-0.09511	0.6985	0.9914
ENSG00000228327.2	-0.1076	0.661	0.9914
ENSG00000224051.2	-0.11	0.6541	0.9914
ENSG00000162571.9	-0.122	0.6188	0.9914
ENSG00000186891.9	-0.1614	0.5091	0.9914
ENSG00000237094.7	-0.1673	0.4935	0.9914
ENSG00000248527.1	-0.1725	0.4802	0.9914
ENSG00000222623.1	-0.1805	0.4596	0.9914
ENSG00000078808.12	-0.1965	0.42	0.9914
ENSG00000169972.7	-0.197	0.4188	0.9914
ENSG00000236743.1	-0.1996	0.4127	0.9914
ENSG00000160087.16	-0.2093	0.3898	0.9914
ENSG00000234711.1	-0.2109	0.3861	0.9914
ENSG00000176022.3	-0.2371	0.3284	0.9914
ENSG00000237683.5	-0.2439	0.3144	0.9914
ENSG00000225880.4	-0.2472	0.3075	0.9914
ENSG00000231709.1	-0.2541	0.2938	0.9914
ENSG00000241860.2	-0.261	0.2805	0.9914
ENSG00000186827.6	-0.2618	0.279	0.9914
ENSG00000239906.1	-0.284	0.2386	0.9914
ENSG00000188976.6	-0.3034	0.2066	0.9914
ENSG00000241599.1	-0.383	0.1055	0.9914
ENSG00000224813.2	NA	NA	NA
ENSG00000223181.1	NA	NA	NA
ENSG00000240453.1	NA	NA	NA
ENSG00000241180.1	NA	NA	NA
ENSG00000268179.1	NA	NA	NA
ENSG00000207607.1	NA	NA	NA
