Geneid	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Gene1	361.14	400.8	322.75	433.94	250.27	365.47	15.61	23.95	49.18	30
Gene2	33.51	37.57	15.55	239.42	85.2	192.74	10.93	7.73	1.17	9.43
Gene3	1.24	0	0	1.15	0	2.11	0	0	0	0
Gene4	18.62	9.39	14.58	48.34	23.07	43.18	0	0.77	0	0.86
Gene5	1.24	0	0	27.62	11.54	6.32	71.82	35.54	12.88	16.28
Gene6	85.63	85.59	71.94	19.57	26.62	7.37	43.72	118.97	104.22	40.28
Gene7	729.73	292.25	457.87	410.92	676.27	277	6204.52	2494.49	15298.61	4051.11
Gene8	3.72	4.17	1.94	4.6	3.55	1.05	754.1	1063	2581.97	2529.91
Gene9	1744.9	4365.96	2530.45	348.76	2408.65	300.17	143.64	284.29	580.8	363.37
Gene10	555.98	467.6	372.33	1552.75	1132.44	1105.9	330.99	221.72	97.19	164.55
