pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GO_CARDIAC_CHAMBER_DEVELOPMENT	0.0334029227557411	0.227538577217457	0.413090924512004	1.35729707779751	31	144	ADGRG6 NOTCH1 WNT5A SEMA3C JAG1 TMEM65 COL11A1 HEG1 CPE NRG1 TBX3 FZD2 CPLANE1 SHOX2 GRHL2 HIF1A MEF2C TGFBR1 TNNC1 NPRL3 ANK2 ACVR1 RARB RBPJ MYH10 FHL2 AP2B1 ZMPSTE24 PLXND1 LTBP1 FZD1 RXRA SOX11 TGFB2 HECTD1 NRP1 ADAMTS6 MDM4 TRIP11 MKS1 MED1 TGFBR2 NKX2-5 LUZP1 SOS1 SMARCD3 ROBO1 NOTCH2 SAV1 NRP2 ENG
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	0.00100200400801603	0.0574801489705572	0.406385972724015	1.38894112704305	0	463	WNT7B MDFIC STK39 PAK3 SYK THBS1 PTK2B PDGFC NGF WNT5A KITLG DDR2 DUSP9 EREG FLT1 CCND1 PIK3R5 FZD4 ACSL1 GHR TAB3 FGFR1 ADCY7 CSF1 SASH1 RIPK3 STK3 ROR2 ADCY3 FGF2 F2R PLCE1 NRG1 PRKAR2B PTK2 LRRK2 ATP2B4 PAK1 P2RX7 MAP2K1 BDNF TGFA CCDC88A IRS1 IRAK1 FGF1 PIK3CB ADCY9 MAP3K20 MINK1 SLK S1PR2 IKBKG MAP2K6 FGF10 MRE11 RIPK1 NOX4 ADCY6 TGFBR1 RAP1A STRADA DLG1 PDGFA MAPK3 PDE5A LPAR1 RIPK2 SPAG9 PEA15 LRP8 ACE NPM1 TPD52L1 DDX3X TAOK1 CALM1 TNFRSF11A PRKAR2A TIAM1 MAGED1 ADAM8 MAP3K21 ARRB1 RANBP2 NCKAP1L PRKACB KSR1 GREM1 MOB1B CEMIP MAP2K4 VLDLR PRNP SIRT1 ETAA1 XRCC6 DAZAP2 HSP90AA1 MAP3K14 ZNF622 PSMD10 TGFB2 TCIM GDF15 PKD2 PPP2CA WNK1 MAP4K4 KIDINS220 TOM1L1 NCAPG2 MAPK1 CRK PAK2 BMP2 MAP3K15 SYAP1 PKD1 ERN1 ZEB2 MALT1 DLG3 TNFSF15 TIRAP PARP8 PRKAA1 ADAM9 TGFBR2 NRK FBXW7 MAP3K3 MADD MMD DAG1 MAP2K3 OSBPL8 ADAM17 PIK3CA RALB RICTOR
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	0.001085776330076	0.0574801489705572	0.59825623539346	1.91317820355934	0	109	SPARC CCL2 XDH THBS1 CAV1 WNT5A SULF1 SOX2 EREG CD109 FLT1 MCC PPARG RUNX3 PTEN CAV2 NLRC3 SOX9 NUPR1 EFNB2 CDK6 MEF2C CASK TGFBR1 DLG1 NR2F2 SNAI2 RIDA BRCA2 MAGED1 PTPRM IFT74 CDKN2B AR WDR77 RB1 TGFB2 PAX6 SYNJ2BP CDC73 DUSP10 WDR13
GO_FOREBRAIN_NEURON_DEVELOPMENT	0.0302593659942363	0.216173361522199	0.634497690043227	1.54075244703051	20	19	FOXG1 SEMA3A WNT5A PLXNA3 ATP7A
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.0245700245700246	0.196069031639501	0.516472797730664	1.47069928620809	19	46	ANK3 COL4A1 KALRN COL4A5 F2R SIX1 LRRK2 CACNB2 NEDD4 APP NRDC PDZRN3 GPHN TNC
GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	0.0205562273276904	0.179999935279759	0.515692440262854	1.48510637991141	16	49	DAB2 INHBA BTBD11 VIM ROR2 CCN3 TGFBR1 SPTBN1 SMAD5 WWTR1 TOB1 SLC33A1 TGFB2 GDF15 BMP2
GO_CYTOPLASMIC_TRANSLATION	0.0229007633587786	0.190826734405578	-0.379781229662386	-1.49668487219279	2	73	RPL36 RPL32 RPL41 RPS21 RPL11 RPLP1 RPL18 EIF3K RPS28 RPL35A RPS23 RPL15 RPL10A RPL6 RPS26 TMA7 EIF3I EIF2D RPL18A METTL3 RPL22 RPL19 YBX3 DPH7
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	0.00442477876106195	0.0888213258048754	0.501180798737772	1.56951300954324	3	90	CCL2 CAV1 CACNA2D1 STAC MYLK PLCG2 CXCL12 F2R CACNB2 P2RX7 LGALS3 STIM2 TSPO CASK ANK2 ATP2B1 CALM1 ANXA2 AKAP6 CEMIP KCNE3 TRPC1 PKD2
GO_DENDRITE_DEVELOPMENT	0.00102040816326531	0.0574801489705572	0.468776605882948	1.55891970177123	0	219	SEMA3A PAK3 SDC2 MAP2 NTN1 MAP6 MATN2 ADAM10 KALRN EEF2K DLG5 ZNF365 FMR1 HPRT1 RAP2A MAPK6 ACSL4 ACTR2 VAMP7 MAP1B PTEN LRRK2 MAP1A SLC9A6 ASAP1 MINK1 ITGB1 NEDD4L NEDD4 UBE3A MEF2C DHX36 SIPA1L1 PREX2 PHACTR1 MECP2 LPAR1 LRP8 APP PLK2 CDKL5 DNM1L RBFOX2 TIAM1 COBL CAMK2B NGEF VLDLR TMEM106B FARP1 RAB21 LAMC2 PAFAH1B1 KIDINS220 NRP1 GSK3B CRK PAK2 KLHL1 ARHGAP44 OBSL1 HDAC2 ANKRD27 CAMSAP2
GO_MEMORY	0.013129102844639	0.143834010628321	0.455731542228889	1.4502047814421	11	102	CCK RASGRF1 NGF NQO2 KALRN PLCB1 PTEN MAP1A BDNF RPS6KB1 PPP1R1B SGK1 MECP2 PPP3CB PLK2 ITGA5 ATAD1 VLDLR PRNP
