pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0256410256410256	0.067476383265857	-0.31427969341053	-1.40896091273375	0	179	TRAF1 LAMB3 CCL20 FOSB DUSP2 CEBPD IER3 ID2 NFKBIA PPP1R15A ICAM1 FOS EFNA1 NR4A1 CEBPB EGR1 TRIP10 HES1 ABCA1 PER1 IER2 CCRL2 BCL3 GEM VEGFA IER5 TNFSF9 DUSP1 ATF3 CDKN1A MAP3K8 STAT5A ZC3H12A ZBTB10 PDE4B LITAF NFIL3 SLC16A6 GADD45B DRAM1 PTGER4 MXD1 BCL6
HALLMARK_HYPOXIA	0.00103950103950104	0.00801667468334135	0.454522402803922	1.49830663151352	0	173	IGFBP3 COL5A1 S100A4 CAVIN3 SDC3 SDC2 CAV1 HOXB9 ANGPTL4 PKP1 LOX ACKR3 PDK1 MYH9 CHST2 P4HA2 ETS1 PRKCA EXT1 TGFBI GBE1 AK4 CSRP2 PAM KLF6 NEDD4L DTNA CP GPC4 TPBG BCL2 PGM1 ERO1A ATP7A RBPJ PGK1 UGP2 CCN2 ANXA2 ENO3 VLDLR FAM162A TNFAIP3 GPC1
HALLMARK_MITOTIC_SPINDLE	0.00308959835221421	0.0168918918918919	0.456750018152901	1.51737235415211	2	193	MARCKS ABR MYH9 SYNPO OPHN1 ARAP3 VCL NIN RASA1 GSN MYO1E CCDC88A TUBA4A ARHGAP5 TRIO FLNA CDC42BPA TTK KIF4A DST PCGF5 PALLD DOCK4 RASAL2 CDC42EP1 SPTBN1 CDC27 DLG1 SMC1A SHROOM1 SHROOM2 KIF15 DYNLL2 ARHGDIA SSH2 MYH10 TBCD ARFGEF1 SORBS2 BRCA2 TIAM1 SEPTIN9 CDC42EP2 ARHGEF12 PCM1 MID1IP1 CEP250 RASA2 RANBP9 ANLN FARP1 MYO9B CLIP1 LATS1 PAFAH1B1 SMC4 PKD2 TOP2A PCNT BUB1 MID1 HOOK3 KIF1B NUMA1 KIF11 KIF3C EPB41L2 CSNK1D KIFAP3 TLK1 KIF3B APC NF1 SOS1 KLC1 RICTOR LLGL1 FLNB RFC1 ABI1 CDC42 NOTCH2
HALLMARK_DNA_REPAIR	0.0161290322580645	0.0576036866359447	-0.425530289414894	-1.83016658427794	0	135	POLR2J POLR1C POLE4 ERCC1 ZNRD1 DAD1 NELFE GTF2H3 ERCC3 RFC2 RAD52 EDF1 STX3 APRT TP53 NPR2 POLR2I POLR2D PDE4B GPX4 RPA3 VPS37B GTF2H5 ELL RPA2 POLR2H POLR2C POLD1 PCNA BRF2 TAF6 GMPR2 TAF10 DUT CLP1 DDB2 NFX1 SAC3D1 GTF2F1 ADA GTF3C5 RAE1 POLR3C FEN1 NELFCD POLR2G RFC5 SEC61A1 POLH SDCBP VPS28 SUPT5H DDB1 ERCC2 NUDT9 ITPA UMPS TARBP2 POLR2E ARL6IP1 BCAM POLL DGUOK
HALLMARK_APOPTOSIS	0.0106496272630458	0.0443734469293575	0.439945447063054	1.42358491727721	9	139	ANXA1 TIMP3 IGFBP6 CAV1 TIMP2 EREG CCND1 CD44 RHOB CYLD F2R CD38 PTK2 GSN PAK1 XIAP LGALS3 IGF2R PMAIP1 EMP1 CASP3 TSPO CTNNB1 ANKH IFNGR1 BIRC3 CTH SQSTM1 PEA15 LMNA APP KRT18 DNM1L
HALLMARK_NOTCH_SIGNALING	0.0406091370558376	0.096688421561518	0.552501664644436	1.45799745014618	31	31	NOTCH1 WNT5A JAG1 CCND1 PRKCA DTX4 ARRB1 SKP1 FZD7 FZD1 MAML2
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0208116545265349	0.0632111251580278	0.40189770891984	1.3253842347362	19	180	MLPH ENDOD1 KRT8 KRT19 AREG CCND1 RETREG1 SLC1A4 CD44 RPS6KA2 SEMA3B MAST4 CXCL12 DYNLT3 BLVRB CANT1 NRIP1 TMEM164 RHOBTB3 DLC1 GAB2 TUBB2B PRSS23 ADCY9 OLFM1 PMAIP1 TPBG SH3BP5 BCL2 DEPTOR PLAAT3 NAV2 ABHD2 AKAP1 TPD52L1 WWC1 KRT18 FRK TIAM1 FHL2 TOB1 KLF10 AR FARP1 SLC26A2 CLDN7 ADD3 SLC24A3
HALLMARK_ANDROGEN_RESPONSE	0.00337837837837838	0.0168918918918919	0.51064395749858	1.57201214270202	2	86	STK39 PTK2B KRT8 SELENOP PMEPA1 KRT19 CCND1 IQGAP2 RPS6KA3 TNFAIP8 SMS HMGCS1 DNAJB9 UBE2J1 CDK6 ITGAV ANKH SGK1 INPP4B IDI1 ABHD2 HMGCR GNAI3 PGM3 PTPN21 NGLY1 SEC24D ACSL3 XRCC6 PLPP1 SLC26A2 ACTN1
HALLMARK_MYOGENESIS	0.0010482180293501	0.00801667468334135	0.486188117573228	1.59262496922097	0	164	IGFBP3 SPARC NCAM1 ITGB4 NOTCH1 COL4A2 MYLK AK1 AKT2 MYH9 ACSL1 MRAS COL6A2 FGF2 ADAM12 GSN PKIA KIFC3 COL3A1 ADCY9 ITGB1 DTNA COL1A1 MEF2C SSPN FST TNNC1 NAV2 MYO1C SORBS3 WWTR1 ATP6AP1 APP TPD52L1 LSP1 SOD3 AGL SGCD PDE4DIP ENO3 CAMK2B PRNP RB1 COL6A3 DMPK
HALLMARK_PROTEIN_SECRETION	0.00112233445566779	0.00801667468334135	0.544474753802857	1.68536949999609	0	89	CTSC RPS6KA3 ADAM10 OCRL VAMP7 CAV2 BNIP3 PAM IGF2R DST YIPF6 GALC SSPN CLTC ATP6V1H RAB9A ATP7A TMX1 VAMP3 LAMP2 CLCN3 KRT18 DNM1L DOP1A ARFGEF1 SCAMP1 AP2B1 ARCN1 COPB2 TMED2 SEC24D AP1G1 NAPG SGMS1 STAM YKT6 MON2 RAB2A GOLGA4 TOM1L1 KIF1B MAPK1 SCRN1
