A	Coef.REF - HET	Coef.REF - KO	Coef.REF - WT	Coef.HET - REF	Coef.HET - KO	Coef.HET - WT	Coef.KO - REF	Coef.KO - HET	Coef.KO - WT	Coef.WT - REF	Coef.WT - HET	Coef.WT - KO	t.REF - HET	t.REF - KO	t.REF - WT	t.HET - REF	t.HET - KO	t.HET - WT	t.KO - REF	t.KO - HET	t.KO - WT	t.WT - REF	t.WT - HET	t.WT - KO	p.value.REF - HET	p.value.REF - KO	p.value.REF - WT	p.value.HET - REF	p.value.HET - KO	p.value.HET - WT	p.value.KO - REF	p.value.KO - HET	p.value.KO - WT	p.value.WT - REF	p.value.WT - HET	p.value.WT - KO	p.value.adj.REF - HET	p.value.adj.REF - KO	p.value.adj.REF - WT	p.value.adj.HET - REF	p.value.adj.HET - KO	p.value.adj.HET - WT	p.value.adj.KO - REF	p.value.adj.KO - HET	p.value.adj.KO - WT	p.value.adj.WT - REF	p.value.adj.WT - HET	p.value.adj.WT - KO	F	F.p.value
ABCB1	-0.0394629	4.36710638	2.9073136	0.78549511	-4.36710638	-1.45979279	-3.58161128	-2.9073136	1.45979279	-2.12181849	-0.78549511	3.58161128	2.12181849	1.9905103	1.3251424	0.3580256	-1.9905103	-0.9409724	-2.3086819	-1.3251424	0.9409724	-1.3677096	-0.3580256	2.3086819	1.3677096	0.0819708036	0.2219778866	0.7296533587	0.0819708036	0.3744550953	0.0500207786	0.2219778866	0.3744550953	0.2088501726	0.7296533587	0.0500207786	0.2088501726	0.43865817447	0.63500231493	0.92768314097	0.43865817447	0.96986823178	0.94046537353	0.63500231493	0.96986823178	1	0.92768314097	0.94046537353	1	2.3967229	0.1441707932
ABCC1	-1.2458983	-2.61096334	-2.5232852	-1.78585067	2.61096334	0.08767814	0.82511267	2.5232852	-0.08767814	0.73743453	1.78585067	-0.82511267	-0.73743453	-0.9796321	-0.9467353	-0.6700502	0.9796321	0.0465231	0.4378148	0.9467353	-0.0465231	0.3912918	0.6700502	-0.4378148	-0.3912918	0.3561631028	0.3716848684	0.5218277777	0.3561631028	0.9640419149	0.6731834918	0.3716848684	0.9640419149	0.705870207	0.5218277777	0.6731834918	0.705870207	0.75333892651	0.76506961106	0.85024860792	0.75333892651	1	1	0.76506961106	1	1	0.85024860792	1	1	0.3767183	0.7724527662
ABCF1	-1.2199731	-1.5849625	-2.11328333	-3.30827083	1.5849625	-0.52832083	-1.72330833	2.11328333	0.52832083	-1.1949875	3.30827083	1.72330833	1.1949875	-1.0127354	-1.3503138	-2.1138689	1.0127354	-0.477408	-1.5572379	1.3503138	0.477408	-1.0798299	2.1138689	1.5572379	1.0798299	0.3410429348	0.2141317609	0.0677170213	0.3410429348	0.645933412	0.158303417	0.2141317609	0.645933412	0.311916845	0.0677170213	0.158303417	0.311916845	0.73508775535	0.6253722558	0.51941187794	0.73508775535	0.99268824044	0.9429959267	0.6253722558	0.99268824044	1	0.51941187794	0.9429959267	1	1.7394445	0.2366286294
ACAT1	-1.3971706	-4.78022822	0	-1.6356302	4.78022822	4.78022822	3.14459802	0	-4.78022822	-1.6356302	1.6356302	-3.14459802	1.6356302	-2.6032788	0	-0.8907527	2.6032788	3.6815922	2.4218776	0	-3.6815922	-1.2597146	0.8907527	-2.4218776	1.2597146	0.0316492262	1	0.3992421114	0.0316492262	0.0062843354	0.0419430228	1	0.0062843354	0.2435296193	0.3992421114	0.0419430228	0.2435296193	0.30261862846	1	0.8470242972	0.30261862846	0.32669245795	0.94046537353	1	0.32669245795	1	0.8470242972	0.94046537353	1	5.2106986	0.02786724
ACAT2	0.3344367	-5.23636127	-3.47890385	-3.4726175	5.23636127	1.75745742	1.76374377	3.47890385	-1.75745742	0.00628634	3.4726175	-1.76374377	-0.00628634	-2.2274263	-1.4798448	-1.4771707	2.2274263	1.0572399	1.0610216	1.4798448	-1.0572399	0.0037817	1.4771707	-1.0610216	-0.0037817	0.0567623683	0.1774534918	0.1781507108	0.0567623683	0.3214976762	0.3198779112	0.1774534918	0.3214976762	0.9970759151	0.1781507108	0.3198779112	0.9970759151	0.37377484037	0.58151425958	0.73871789282	0.37377484037	0.96986823178	0.9429959267	0.58151425958	0.96986823178	1	0.73871789282	0.9429959267	1	1.693161	0.2455370084
ACE	-2.0750148	-1.05664167	-1.6356302	-1.46410581	1.05664167	-0.57898853	-0.40746414	1.6356302	0.57898853	0.17152439	1.46410581	0.40746414	-0.17152439	-0.4888069	-0.7566495	-0.6773016	0.4888069	-0.3787866	-0.2665717	0.7566495	0.3787866	0.1122149	0.6773016	0.2665717	-0.1122149	0.6381901197	0.4711076938	0.5174543929	0.6381901197	0.7147720309	0.7965895476	0.4711076938	0.7147720309	0.9134374346	0.5174543929	0.7965895476	0.9134374346	0.85829808002	0.83716160853	0.85024860792	0.85829808002	0.99268824044	1	0.83716160853	0.99268824044	1	0.85024860792	1	1	0.2147848	0.883412787
ACLY	5.4426488	-1.71081251	-1.73706015	-1.60762531	1.71081251	-0.02624764	0.10318721	1.73706015	0.02624764	0.12943484	1.60762531	-0.10318721	-0.12943484	-2.2924122	-2.3275829	-2.154146	2.2924122	-0.0497388	0.195538	2.3275829	0.0497388	0.2452768	2.154146	-0.195538	-0.2452768	0.0513034861	0.0485708226	0.0636116544	0.0513034861	0.9615586774	0.8498819641	0.0485708226	0.9615586774	0.8124612442	0.0636116544	0.8498819641	0.8124612442	0.35978035579	0.36154389535	0.50660757369	0.35978035579	1	1	0.36154389535	1	1	0.50660757369	1	1	2.061926	0.1843216362
ACOT7	-1.3715624	1.70581919	0.6973075	1.66207102	-1.70581919	-1.0085117	-0.04374818	-0.6973075	1.0085117	0.96476352	-1.66207102	0.04374818	-0.96476352	0.6665862	0.2724882	0.6494906	-0.6665862	-0.5573387	-0.0241768	-0.2724882	0.5573387	0.533162	-0.6494906	0.0241768	-0.533162	0.523925031	0.7921973069	0.5343506775	0.523925031	0.5926524629	0.981308033	0.7921973069	0.5926524629	0.6085136946	0.5343506775	0.981308033	0.6085136946	0.82890910273	0.94490147522	0.85024860792	0.82890910273	0.98347640088	1	0.94490147522	0.98347640088	1	0.85024860792	1	1	0.2444845	0.8629979874
ACOX1	-0.9711151	-0.77752511	1.75394916	1.75394916	0.77752511	2.53147428	2.53147428	-1.75394916	-2.53147428	0	-1.75394916	-2.53147428	0	-0.353312	0.7970049	0.7970049	0.353312	1.6267937	1.6267937	-0.7970049	-1.6267937	0	-0.7970049	-1.6267937	0	0.7330494298	0.4486173798	0.4486173798	0.7330494298	0.1427094094	0.1427094094	0.4486173798	0.1427094094	1	0.4486173798	0.1427094094	1	0.90882504797	0.82839928854	0.85024860792	0.90882504797	0.92177541338	0.9429959267	0.82839928854	0.92177541338	1	0.85024860792	0.9429959267	1	1.2446181	0.3564284189
ACTG1	5.7497178	-0.38410702	-0.13668969	-0.44682399	0.38410702	0.24741733	-0.06271696	0.13668969	-0.24741733	-0.3101343	0.44682399	0.06271696	0.3101343	-0.5577603	-0.1984866	-0.6488314	0.5577603	0.5080898	-0.1287939	0.1984866	-0.5080898	-0.6368837	0.6488314	0.1287939	0.6368837	0.5923779168	0.847651218	0.5347552133	0.5923779168	0.6251986487	0.9007225924	0.847651218	0.6251986487	0.5421187614	0.5347552133	0.9007225924	0.5421187614	0.83417328716	0.95893119962	0.85024860792	0.83417328716	0.98730465336	1	0.95893119962	0.98730465336	1	0.85024860792	1	1	0.2389362	0.8668232881
