Features	REF	HET.1	HET.2	HET.3	KO.1	KO.2	KO.3	WT.1	WT.2	WT.3
ABCB1	5.1	0	1.5	0	0.8	0	3.6	5.1	1.5	3.2
ABCC1	0	1.8	1.1	0	1.8	0	0.9	4	0	0
ABCF1	0	0.8	0	0.2	0	0.8	0.8	1.1	0.8	0.8
ACAT1	0	2	1.8	5.1	0	0	0	0	2.9	0
ACAT2	0	0.8	6.3	9.2	3.2	4.1	0	1.8	2.3	0.2
ACE	0	0	0.8	0	0.9	0.2	0	0	2	0
ACLY	15.1	48.1	64.6	39.4	51.8	41.4	60.3	51.8	51.8	36.8
ACOT7	0.8	2	0	0	0.8	0	1.8	2.2	0	0
ACOX1	0.8	1.1	3.3	0.8	0	0	1.8	0	1.8	0
ACTG1	43.9	51.8	60.3	60.3	46.6	51.8	46.6	55.1	64.6	60.3
ACTL6A	8.1	0	0	0	0	0.2	0	0	0	6.8
ACTN4	8	26.1	14.2	5.6	7.8	6.3	13.8	20.7	9.3	12.4
ACTR1A	0.2	0.8	0.2	0	0	0	0	0	0	0
ADAM10	0	0	2.3	0.9	0.8	2	0	1.7	2.5	0
ADAR	7.8	0	0	0.8	0	0	0	0	2.3	0
ADD1	0	0	0	0	0	0	0.2	1.5	0	0
ADGRL2	2.1	0.8	1.3	0.2	5.3	0	3.7	5.2	0	0
ADRM1	1.1	0.4	0	0	2.1	0.2	1.8	1.8	2	0.8
AHCY	4.8	21	27.8	23.5	14.7	19.6	11.8	13	22.1	12.5
AIFM1	0.8	0.9	0	0	0	0	0.4	0	0	1.1
AIMP1	0	0	0	2.5	0	0	0.2	0	0	0
AKR1B1	0	0	0.6	0.6	0.8	0.2	0	0.2	0	0.9
ALCAM	7.8	18.6	20.7	29.9	55.1	60.3	34.8	35.5	41.4	35.5
ALDH2	1.5	4.2	5.8	8.1	1.8	6.1	1.1	1.8	3.1	1.8
ALDOA	11.6	16.2	15.9	9.7	20.1	12.7	23.5	23.9	15.9	14.7
ALDOC	0	2.1	4.1	3.6	2.9	5.9	8.9	6.3	2.2	2.3
ALK	5.1	0.8	1.8	0	1.3	4.3	0	3.2	0	0
ALOX12B	0.2	0	0	1.3	0.4	0	0	0	5.9	0
ANP32A	2	0.8	0	0	0.8	0	0	0	1.7	0
ANP32B	1.1	0	0	0	0	0.8	0	0	0.8	0.4
ANTXR1	0	0.8	0.8	0	0	2.5	0	0	0	0
ANXA2	4.1	0.6	4.2	5.9	5.1	3.8	1.8	2	6.3	2.1
ANXA6	0	0	1.1	0	0.8	0	0	0	0	0.2
AP2B1	0.8	0.8	0	2.5	0	0	0.8	2.6	0.4	0.8
APMAP	0	0	0.6	2.5	1.5	0	0	0	0	0
ARF1	0	0	0	0	0	1.8	0.8	0	0	0
ARG1	0	0	1.1	4.8	0	2.1	0	0	6.9	1.3
ARHGDIA	5.9	2.5	7.8	4.3	6.1	8.2	4.1	4.8	4.8	1.8
ASNS	0	0	0.4	0	1.8	2	1.8	2.3	0.2	1.1
ATP1A3	21.2	60.3	55.1	64.6	60.3	55.1	64.6	64.6	60.3	48.1
ATP1B1	5.2	9.3	6.8	4.1	9.2	6.1	2.9	11.5	6	5.9
ATP1B3	1.3	5.1	2.5	5.1	2.5	4.8	1.8	4.2	0	2.1
ATP2A2	0	6.1	1.8	1.4	0	4.8	5.1	0	0.6	1.5
ATP5F1A	15.9	22.1	17.4	11.8	31	13.3	35.5	27	23.9	20.1
ATP5F1B	29.9	29.9	21.7	19.1	29.9	34.8	36.8	31	27.8	39.4
ATP5F1C	1.1	1.1	2.3	0	1.8	4.1	2.3	0.8	0.4	2.1
ATP5F1D	0	0	0	0	0.6	0	0	0.8	0.9	0.2
ATP5PB	0.2	0.2	0	0	2.1	1.8	3.6	0	0	4.4
ATP5PD	0	0	0	2.1	2	0	3.1	0	0	1.8
ATP5PF	0	0	1.1	0	0	2.3	0.8	0	1.8	0.2
ATP5PO	0	2.1	3.6	4.1	4.9	0	2.4	0.8	5.1	2.5
ATP6V1A	3.8	11.5	8.2	4.1	6.6	0	8	8.6	0.4	2.5
ATP6V1B2	1.8	6.5	3.8	0	5.4	0.4	5.3	7.8	1.8	2.5
ATP6V1E1	0.8	0	0	0.8	1.8	0	0.2	0.8	0	0
ATP7A	0.9	0	0	0	0.6	0	1.1	0.4	0	0
AZGP1	0.2	0	4	0	1.8	0	0	0	8.1	0
BAG6	0	0	0	0	0	0	2.1	0	0	0.2
BASP1	0	0	0	0	1.8	1.5	0.2	2.9	3.2	0.8
BAX	0.9	0	2.4	5.4	0.8	6.1	2	0	4.1	6.6
BCAP29	0.8	0	0	1.1	0	0.4	0	0.4	0.6	1.1
BCAP31	0.9	2	0	0	2.3	0.6	7.8	1.9	0	4
BLVRA	0	0	0	0	0.8	0	0	1.8	0	0
BSG	14.7	17.8	13.2	21.2	17.4	23.9	10.8	9.8	14.4	11.1
C1orf68	0	0	0	4	0	0	0.2	2	6.8	1.8
CACNA2D1	46.6	41.4	40	48.1	33.3	43.9	24.4	25.2	15.3	20.7
CACNA2D2	35.5	46.6	43.9	51.8	28.4	29.9	20.7	33.3	14.7	23.9
CACYBP	0	0.6	5.1	0	2	1.8	2.2	0.6	2.5	0
CADM1	2.5	0	2.5	0.8	0.8	1.1	0	0	2.1	2
CADM3	0	0	2.5	3.7	2.5	4	2.6	2.5	3.8	0.8
CADM4	1.8	0	2.1	5.1	2.1	0	0.8	2.5	0	0
CALD1	0	0	0	0	0	0	2	0	1.8	0
CALM2	0	1.3	0.9	7.8	3.5	8	2.1	0	8	0.8
CAND1	0	0.8	1.5	1.8	0	0.2	0	0	0	0
CAP1	1.8	10.6	13.3	8.1	8.1	5.1	8.1	15.1	6.6	7.1
CAPN1	0	0	0	0	0	1.8	0.8	0	0.2	0
CAPRIN1	0.4	0	0	0.6	0	0	1.1	0	0	0.2
CAPZA1	0	3.2	4.8	8.6	1.8	7.8	3.3	0.9	4.8	5.1
CAPZA2	0	0	2.9	0	0.8	0	1.5	0.8	1.8	0
CAPZB	0	7.4	14.4	11.3	6.9	6.3	5.1	2.5	5.1	4.1
CASP14	4.1	0.4	4.5	9.3	5.1	9.1	0	0.4	13.3	6.1
CBX1	3.3	0.2	0	0.8	0	0.2	0	0	0.8	5.1
CBX3	5.7	1.8	4.8	6.1	2.1	2.1	1.8	3.5	4.4	8.9
CBX5	0	0	0.8	2.5	0	1.8	0	0	0	1.9
CCAR2	0	0.2	1.4	0	0	0.2	0.8	0	1.4	0
CCT2	4.8	8	5.4	4.1	10.1	8	17.4	9.2	5.4	7.2
CCT3	4.8	12.2	2.9	0	15.6	0	15.6	12.9	0.8	5.1
CCT4	4.1	7.6	3.2	2.4	8	0	15.9	7.8	0.8	4.8
CCT5	2.5	3.8	2.5	0.2	8.1	0	11.3	8.7	0.8	2
CCT6A	2.5	5.3	0	0	4.1	0	9.8	7.2	0.8	1.8
CCT7	1.1	1.8	0	2	5.2	0.8	5.6	3.6	0	2.9
CCT8	2.5	9.8	12.9	1.1	11.3	6.8	15.1	11.6	8.9	4.1
CD200	2.5	1.8	4.8	7.2	0	6.6	0	0	0	1.8
CD276	6.8	6.8	2.5	13.8	6.8	13.2	4.1	7.5	11.5	4.8
CD59	2.6	4.8	8.9	8.1	7.8	0	4.4	9.1	9.8	3.5
CD81	0	0.4	2.5	6.3	0.2	0.8	0	0	0	2.5
CDC37	0	1.8	3.2	1.5	0	0.8	0	0.6	1.8	0
CDC42	0	0.2	0.8	0	1.4	0	0	0	0	0
CDH2	4.2	0	0	1.7	0.9	0	0	0	2	0
CDK5	0.2	0	0.4	0	1.7	1.4	0.2	0	3.2	0
CEND1	3.6	7.3	9.2	5.9	1.8	1.8	0	5.1	6	1.8
CEP170	2.5	0	0.4	0	1.5	0.8	0	0	0	1.8
CFL1	10.7	11	23.9	13.2	18.6	19.1	17.8	13.3	16.9	15.1
CHCHD5	0.2	0	1.8	0.2	0	0	0	0	0	0
CIRBP	4.9	1.8	0	0	0	0	0	0.8	1.8	4.3
CKAP5	0	0	0.4	0.9	0	0.6	0	0.8	0.6	0
CKB	0	0	0	0	0	0.4	0	2.3	0.4	0
CLMP	0	0	1.4	0.2	1.3	2.3	0	0.8	0.8	0.4
CLPTM1	0	0	0	2	0	0	0.8	0	0.9	0
CLTA	0	0	2	0	0	0	1.7	1.3	0	0
CLTC	28.4	36.8	24.4	13.3	27	23.5	41.4	37.9	35.5	33.3
CNBP	0	0.9	0	0	0	0	0	0.8	0.8	0
CNN3	2	2.4	1.8	4.8	4.9	5.1	1.8	4.1	5.1	2.2
CNNM2	2.1	0	0.9	0	0	0	0	0	0	0
CNP	0.8	0	0.2	0.4	0.6	0	0	0.9	0	0
CNTFR	7.3	7.3	8.1	5.1	9.3	9.2	3.7	4.8	5.3	4.1
CNTN1	17.4	28.4	26.1	32	4.8	7.8	0.2	15.9	5.7	2.5
COPA	0	0	0	2.3	1.4	1.8	0	0	0.9	0
COPG2	0	2.3	0.2	0	0	0.2	0	0.2	0	0
CORO1A	0.8	6.8	5.2	0	2	2	0	4.8	3.2	0
CORO1C	0.2	0.6	1.4	0	0	2	1.1	0.2	0	0
