A	Coef.KO - WT	Coef.WT - KO	t.KO - WT	t.WT - KO	p.value.KO - WT	p.value.WT - KO	p.value.adj.KO - WT	p.value.adj.WT - KO	F	F.p.value
ABCB1	0.5321073	-2.12181849	2.12181849	-1.4700645	1.4700645	0.1999352387	0.1999352387	0.92623449899	0.92623449899	2.1610896	0.1999352387
ABCC1	-1.1673602	0.73743453	-0.73743453	0.3743422	-0.3743422	0.7230942918	0.7230942918	1	1	0.1401321	0.7230942918
ABCF1	-0.611151	-1.1949875	1.1949875	-1.2016441	1.2016441	0.281912388	0.281912388	0.92623449899	0.92623449899	1.4439486	0.281912388
ACAT1	-2.504113	-1.6356302	1.6356302	-1.106059	1.106059	0.3177507118	0.3177507118	0.92623449899	0.92623449899	1.2233665	0.3177507118
ACAT2	0.1538326	0.00628634	-0.00628634	0.003532	-0.003532	0.9973148197	0.9973148197	1	1	1.25e-05	0.9973148197
ACE	-1.7720601	0.17152439	-0.17152439	0.1087182	-0.1087182	0.9175422059	0.9175422059	1	1	0.0118196	0.9175422059
ACLY	5.5983421	0.12943484	-0.12943484	0.3392228	-0.3392228	0.7478605418	0.7478605418	1	1	0.1150721	0.7478605418
ACOT7	-1.3316923	0.96476352	-0.96476352	0.5445491	-0.5445491	0.6088434117	0.6088434117	0.97942924783	0.97942924783	0.2965337	0.6088434117
ACOX1	-1.9059523	0	0	0	0	1	1	1	1	0	1
ACTG1	5.7511885	-0.3101343	0.3101343	-0.9315216	0.9315216	0.3932271671	0.3932271671	0.93187776157	0.93187776157	0.8677324	0.3932271671
ACTL6A	-2.0396803	-1.50785399	1.50785399	-0.800486	0.800486	0.4588064188	0.4588064188	0.94468106287	0.94468106287	0.6407778	0.4588064188
ACTN4	3.4519944	-0.59936368	0.59936368	-1.1334421	1.1334421	0.3070991694	0.3070991694	0.92623449899	0.92623449899	1.284691	0.3070991694
ACTR1A	-3.3219281	0	0	0	0	1	1	1	1	0	1
ADAM10	-0.5831602	-0.43604077	0.43604077	-0.2454121	0.2454121	0.8156337936	0.8156337936	1	1	0.0602271	0.8156337936
ADAR	-2.5577677	-1.52832083	1.52832083	-1.1022042	1.1022042	0.319275427	0.319275427	0.92623449899	0.92623449899	1.2148541	0.319275427
ADD1	-2.391101	-0.8050125	0.8050125	-0.6163819	0.6163819	0.5639101118	0.5639101118	0.97405083038	0.97405083038	0.3799267	0.5639101118
ADGRL2	-0.5334722	1.75829819	-1.75829819	0.7447064	-0.7447064	0.4890710895	0.4890710895	0.95481205133	0.95481205133	0.5545877	0.4890710895
ADRM1	0.3618205	-0.50594943	0.50594943	-0.5372999	0.5372999	0.6134930931	0.6134930931	0.97942924783	0.97942924783	0.2886912	0.6134930931
AHCY	3.9333122	-0.02626528	0.02626528	-0.0596415	0.0596415	0.9546902967	0.9546902967	1	1	0.0035571	0.9546902967
AIFM1	-2.3374463	-0.42101147	0.42101147	-0.3245785	0.3245785	0.7582920148	0.7582920148	1	1	0.1053512	0.7582920148
AIMP1	-3.0577677	0.52832083	-0.52832083	0.9302101	-0.9302101	0.3938451858	0.3938451858	0.93187776157	0.93187776157	0.8652908	0.3938451858
AKR1B1	-1.7116317	-0.0506677	0.0506677	-0.0417494	0.0417494	0.9682714946	0.9682714946	1	1	0.001743	0.9682714946
ALCAM	5.4184797	0.38185934	-0.38185934	0.9657213	-0.9657213	0.3773825745	0.3773825745	0.93187776157	0.93187776157	0.9326176	0.3773825745
ALDH2	1.2252288	0.0970771	-0.0970771	0.1318895	-0.1318895	0.9000782989	0.9000782989	1	1	0.0173949	0.9000782989
ALDOA	4.174593	0.03419416	-0.03419416	0.0771672	-0.0771672	0.9414039831	0.9414039831	1	1	0.0059548	0.9414039831
ALDOC	2.0804317	0.73236994	-0.73236994	1.0882044	-1.0882044	0.3248656746	0.3248656746	0.92623449899	0.92623449899	1.1841889	0.3248656746
ALK	-0.9367313	1.40746414	-1.40746414	0.6757667	-0.6757667	0.5283879824	0.5283879824	0.96617026473	0.96617026473	0.4566607	0.5283879824
ALOX12B	-1.9504583	-1.1949875	1.1949875	-0.6308933	0.6308933	0.5550912972	0.5550912972	0.97405083038	0.97405083038	0.3980263	0.5550912972
ANP32A	-2.0986198	-0.33333333	0.33333333	-0.2117862	0.2117862	0.8404145388	0.8404145388	1	1	0.0448534	0.8404145388
ANP32B	-1.8782984	-0.77397603	0.77397603	-0.5984738	0.5984738	0.5749146271	0.5749146271	0.97405083038	0.97405083038	0.3581709	0.5749146271
ANTXR1	-2.5385215	1.56681324	-1.56681324	1.1036735	-1.1036735	0.3186935146	0.3186935146	0.92623449899	0.92623449899	1.2180953	0.3186935146
ANXA2	1.692325	0.12734014	-0.12734014	0.1867267	-0.1867267	0.8590204907	0.8590204907	1	1	0.0348669	0.8590204907
ANXA6	-2.5294468	0.52832083	-0.52832083	0.4840625	-0.4840625	0.6482583834	0.6482583834	0.97942924783	0.97942924783	0.2343165	0.6482583834
AP2B1	-1.0858172	-2.35893853	2.35893853	-2.015692	2.015692	0.0983566722	0.0983566722	0.92623449899	0.92623449899	4.0630144	0.0983566722
APMAP	-2.6552614	1.33333333	-1.33333333	1.0928411	-1.0928411	0.3230049891	0.3230049891	0.92623449899	0.92623449899	1.1943018	0.3230049891
ARF1	-2.0856193	2.4726175	-2.4726175	2.1125611	-2.1125611	0.0868093241	0.0868093241	0.92623449899	0.92623449899	4.4629146	0.0868093241
ARG1	-0.9225832	-1.82573544	1.82573544	-0.8796385	0.8796385	0.4182663586	0.4182663586	0.93723015951	0.93723015951	0.7737638	0.4182663586
ARHGDIA	2.211222	0.74806865	-0.74806865	1.302323	-1.302323	0.2480929788	0.2480929788	0.92623449899	0.92623449899	1.6960451	0.2480929788
ASNS	0.4519152	1.04442832	-1.04442832	1.2374715	-1.2374715	0.2694288943	0.2694288943	0.92623449899	0.92623449899	1.5313358	0.2694288943
ATP1A3	5.8736498	0.06521171	-0.06521171	0.1869754	-0.1869754	0.8588353208	0.8588353208	1	1	0.0349598	0.8588353208
ATP1B1	2.6940477	-0.43178774	0.43178774	-0.7205887	0.7205887	0.5025872132	0.5025872132	0.9560334062	0.9560334062	0.5192481	0.5025872132
ATP1B3	0.7528675	1.5591269	-1.5591269	1.0056226	-1.0056226	0.3595537435	0.3595537435	0.93187776157	0.93187776157	1.0112769	0.3595537435
ATP2A2	-0.3015107	1.50259821	-1.50259821	0.7544591	-0.7544591	0.4836789923	0.4836789923	0.95481205133	0.95481205133	0.5692085	0.4836789923
ATP5F1A	4.5897127	0.05844742	-0.05844742	0.1127982	-0.1127982	0.9144630315	0.9144630315	1	1	0.0127234	0.9144630315
ATP5F1B	5.0504019	0.05759267	-0.05759267	0.1605459	-0.1605459	0.8785693616	0.8785693616	1	1	0.025775	0.8785693616
ATP5F1C	0.7074873	1.42464091	-1.42464091	2.0237902	-2.0237902	0.0973325554	0.0973325554	0.92623449899	0.92623449899	4.0957268	0.0973325554
ATP5F1D	-1.5078997	-1.75648689	1.75648689	-1.7334957	1.7334957	0.1419304903	0.1419304903	0.92623449899	0.92623449899	3.0050074	0.1419304903
ATP5PB	-0.0871505	2.8083198	-2.8083198	1.6846603	-1.6846603	0.1512586419	0.1512586419	0.92623449899	0.92623449899	2.8380803	0.1512586419
ATP5PD	-1.0485539	1.71479664	-1.71479664	0.9043132	-0.9043132	0.4062070095	0.4062070095	0.93723015951	0.93723015951	0.8177824	0.4062070095
ATP5PF	-1.0572985	0.64066583	-0.64066583	0.3877517	-0.3877517	0.7137355283	0.7137355283	1	1	0.1503514	0.7137355283
ATP5PO	0.6544914	-1.09436402	1.09436402	-0.6449953	0.6449953	0.5466066148	0.5466066148	0.97081785523	0.97081785523	0.4160189	0.5466066148
