A	Coef.Sample.1 - Sample.2	t.Sample.1 - Sample.2	p.value.Sample.1 - Sample.2	p.value.adj.Sample.1 - Sample.2	F	F.p.value
TNIP3	2.8189672	-5.06482676	-17.0030179	0	0	83.294519	0
NREP	8.8231695	3.95311372	16.3842777	0	0	81.024537	0
NAV3	7.5961476	8.30360422	15.9385008	0	0	66.6291666	0
CCND2	10.5218056	4.97730446	15.2864979	0	0	42.46753	0
GPM6B	7.3594232	6.21644386	15.0319218	0	0	65.0714583	0
CKB	10.147335	6.43297626	14.4268113	0	0	77.2159313	0
MARCO	6.1839781	-8.91059585	-14.1814489	0	0	60.2478555	0
SOD2	13.4230327	-4.32493267	-14.0556226	0	0	31.7110489	0
MSI2	7.2761889	4.13323728	13.8456477	0	0	37.4737275	0
ZEB1	7.8834687	4.51894742	13.7563091	0	0	63.4573836	0
C3	15.1247228	3.60152958	13.2710525	0	0	238.6386858	0
ANXA2P1	4.0910623	-3.4989557	-13.2666983	0	0	54.3885386	0
EMID1	6.2509575	6.2546208	13.2310227	0	0	49.6343983	0
WTAPP1	2.7700228	-4.43946191	-13.1137538	0	0	73.7618932	0
MMP1	4.3999073	-6.40671921	-13.0024184	0	0	66.1936115	0
MMP12	5.5093225	-7.31267937	-12.7799511	0	0	37.5230364	0
OLFML3	10.918209	4.33065009	12.7725476	0	0	99.4951722	0
DRAM1	9.5369102	-2.97784572	-12.7466294	0	0	61.3701343	0
MED12L	7.9644227	5.11812276	12.7132998	0	0	44.3302572	0
ADGRG1	10.8680424	8.92255029	12.425563	0	0	27.5951829	0
TDO2	4.5081515	-5.17272045	-12.3730134	0	0	43.2330682	0
NEDD4L	8.4479923	3.85761509	12.1017315	0	0	48.368217	0
TENM4	7.0177961	6.67074022	12.0728982	0	0	36.6258804	0
MIR99AHG	5.4857234	5.32368799	11.9429633	0	0	33.3810214	0
CCL13	5.7802686	-5.83016282	-11.8835383	0	0	49.6014246	0
MCF2L	8.6205759	6.18349789	11.8536893	0	0	54.7925547	0
CAMK2B	5.2736877	4.91619355	11.8407041	0	0	57.5842996	0
FLNA	10.9503677	-5.03759837	-11.8386456	0	0	53.7400411	0
DDIT4L	6.0388585	-5.69117102	-11.8349905	0	0	43.9031053	0
MEST	8.7203176	4.66009973	11.7483755	0	0	31.0683735	0
SALL1	6.5670774	7.32573096	11.7417401	0	0	71.0960795	0
TRO	7.2528996	7.57425917	11.6829279	0	0	34.332381	0
MYLIP	9.8156504	3.2289174	11.6515004	0	0	20.4914239	0
CELF4	4.4808009	5.04574766	11.6437695	0	0	40.1906381	0
PLP2	10.0638785	-3.41802196	-11.5507853	0	0	49.6335028	0
IGF1	9.6474065	3.76514305	11.510461	0	0	83.2308744	0
PNISR	11.4447563	1.86527702	11.473255	0	0	22.7359751	0
PFN2	6.2043673	4.25484138	11.4431567	0	0	34.8028199	0
GPC2	6.0228266	5.28294545	11.4146179	0	0	41.4284361	0
DTX3	6.0475614	4.72807862	11.3352024	0	0	42.7863198	0
GSTM2	9.1521239	3.45531596	11.2492894	0	0	39.0695258	0
PLD4	11.9086404	5.17233749	11.2423951	0	0	55.8918229	0
ADA	8.7909812	-3.89300507	-11.2291879	0	0	26.8044548	0
MAPT	5.2152516	4.99307295	11.2010741	0	0	47.1620609	0
ANXA2	11.306681	-5.48153399	-11.1461584	0	0	43.7601116	0
S100A6	9.4324403	-5.77872206	-11.1429545	0	0	65.9709489	0
PLEKHG5	7.4618706	7.20449983	11.101934	0	0	29.6444466	0
QPRT	10.2998313	2.36229816	11.0601052	0	0	37.2596277	0
SLAMF9	2.1069572	-4.06272445	-11.0335175	0	0	31.5151952	0
MAP1B	6.6233146	6.3416478	11.0144725	0	0	23.0004232	0
C12orf75	8.9954059	3.76110857	11.0042266	0	0	30.7479772	0
SNX10	10.2759951	-2.40298627	-10.8732726	0	0	35.0594126	0
FABP4	2.5718585	-6.35248652	-10.8455881	0	0	15.397639	0
PCK2	10.8009688	-2.27506548	-10.805113	0	0	26.3099259	0
CXCL12	7.0018825	4.95499246	10.7818954	0	0	50.1914379	0
ALDOA	14.4947206	-2.08097811	-10.6883292	0	0	38.9044359	0
SOX12	6.8614681	3.78163993	10.6806441	0	0	16.6414852	0
ABI2	9.8535072	2.0487162	10.6776731	0	0	39.8048014	0
SQSTM1	13.3204788	-2.04979965	-10.6666736	0	0	23.9248918	0
ACTR3	13.3521986	-1.83696337	-10.6622748	0	0	16.48985	0
LRRTM2	4.7370111	4.77578491	10.6594821	0	0	32.589223	0
