Position	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6
1-methylnicotinamide	0.09177	0.229	0.07816	-0.1966	0.008649	-0.211
2-aminoadipate	0.02918	0.1325	0.2274	-0.2532	-0.09944	-0.03635
2-hydroxyglutarate	0.1571	0.03694	-0.002316	-0.1533	-0.1722	0.1338
3-phosphoglycerate	-0.0358	0.1224	0.07308	-0.1186	-0.06021	0.01912
3-ureidopropionate	0.04514	0.1302	0.1901	-0.1667	-0.1297	-0.06908
6-phosphogluconate	-0.02192	-0.07658	0.06259	-0.2935	0.07888	0.2505
acetylcarnitine	-0.06412	-0.2559	0.07106	0.02742	0.1574	0.06413
acetyl-CoA	-0.2353	-0.1933	0.1565	-0.0626	-0.2217	0.5563
acetylserine	0.007888	-0.05656	0.1553	-0.1717	0.01374	0.05128
adenine	-0.008493	0.1373	-0.01299	-0.07613	-0.1219	0.08216
adenosine	0.1665	0.1407	0.2442	-0.08943	-0.2448	-0.2172
ADP	0.0699	-0.1162	0.2224	-0.1339	-0.2776	0.2354
ADP-ribose	0.06989	-0.04231	-0.168	-0.2757	0.04479	0.3714
alanine	-0.1496	0.05117	0.08939	-0.03656	-0.05454	0.1002
allantoin	-0.1485	-0.05895	0.231	-0.2862	0.0494	0.2133
alpha-ketoglutarate	0.1768	0.05745	0.1907	-0.2349	-0.1945	0.004363
AMP	0.3796	0.05234	0.3929	-0.5958	-0.2329	0.003863
anserine	-0.06787	-0.04456	0.1187	-0.08636	0.07077	0.009366
arginine	-0.1403	0.1621	0.05956	0.1735	-0.1316	-0.1232
argininosuccinate	0.1752	0.0817	0.3029	-0.03627	-0.2367	-0.2868
asparagine	-0.3329	0.1407	0.08496	-0.1598	-0.08623	0.3533
aspartate	-0.09434	-0.1302	-0.05043	0.1149	0.08681	0.07329
ATP	-0.03606	0.002532	0.0009724	-0.1772	-0.163	0.3727
betaine	-0.1196	-0.1029	-0.06489	0.06937	0.197	0.02103
