Position	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6
1-methylnicotinamide	0.04837	0.1856	0.03476	-0.24	-0.03476	-0.2544
2-aminoadipate	0.03276	0.1361	0.231	-0.2497	-0.09585	-0.03276
2-hydroxyglutarate	0.1397	0.01963	-0.01963	-0.1706	-0.1895	0.1165
3-phosphoglycerate	-0.02746	0.1308	0.08143	-0.1103	-0.05187	0.02746
3-ureidopropionate	0.05711	0.1422	0.2021	-0.1547	-0.1177	-0.05711
6-phosphogluconate	-0.04225	-0.09691	0.04225	-0.3138	0.05854	0.2302
acetylcarnitine	-0.1099	-0.3017	0.02529	-0.01836	0.1116	0.01836
acetyl-CoA	-0.1074	-0.06532	0.2845	0.06532	-0.09376	0.6843
acetylserine	-0.002923	-0.06738	0.1445	-0.1825	0.002923	0.04047
adenine	0.002247	0.1481	-0.002247	-0.06539	-0.1111	0.0929
adenosine	0.1409	0.1151	0.2186	-0.1151	-0.2704	-0.2429
ADP	0.09305	-0.09305	0.2455	-0.1107	-0.2545	0.2586
ADP-ribose	0.06865	-0.04355	-0.1693	-0.277	0.04355	0.3702
alanine	-0.1569	0.04387	0.08208	-0.04387	-0.06184	0.09285
allantoin	-0.1437	-0.05417	0.2357	-0.2815	0.05417	0.2181
alpha-ketoglutarate	0.1459	0.02654	0.1598	-0.2658	-0.2254	-0.02654
AMP	0.3515	0.02424	0.3648	-0.6239	-0.261	-0.02424
anserine	-0.05027	-0.02696	0.1363	-0.06877	0.08836	0.02696
arginine	-0.1085	0.1939	0.0914	0.2053	-0.09975	-0.0914
argininosuccinate	0.1525	0.05898	0.2802	-0.05898	-0.2594	-0.3096
asparagine	-0.3323	0.1413	0.0856	-0.1592	-0.0856	0.3539
aspartate	-0.1058	-0.1417	-0.06186	0.1035	0.07537	0.06186
ATP	-0.01851	0.02007	0.01851	-0.1596	-0.1454	0.3902
betaine	-0.09769	-0.08095	-0.04296	0.0913	0.2189	0.04296
butyryl_carnitine	0.04318	0.1339	0.09135	-0.04318	-0.2824	-0.1406
C5_carnitines	-0.07877	-0.05603	0.06136	0.2212	0.05603	-0.0665
cAMP	0.1238	0.004554	0.2931	-0.3046	-0.1422	-0.004554
carbamoyl_aspartate	-0.1342	0.009538	0.11	-0.009538	-0.06796	0.1734
carnitine	-0.1408	0.001401	-0.05311	-0.001401	0.2076	0.191
