Filename	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6
1-methylnicotinamide	68.06189854	74.85425091	67.42283684	55.72950101	64.25109961	55.1782362
2-aminoadipate	4.214423926	4.527340239	4.835218111	3.464954597	3.854879309	4.027242277
2-hydroxyglutarate	48.94770107	45.03740421	43.82841909	39.47274848	38.95974082	48.16635372
3-phosphoglycerate	18.50313527	20.64800348	19.95372579	17.47081696	18.19269056	19.22106076
3-ureidopropionate	1.6702422	1.77173405	1.846940175	1.442006295	1.479491393	1.543023396
6-phosphogluconate	0.645329786	0.621300676	0.684319672	0.534429576	0.692100965	0.779665789
acetylcarnitine	23.81725362	20.85242653	26.15703783	25.37754114	27.77056458	26.0316993
acetyl-CoA	0.660482857	0.680060256	0.866919719	0.744614428	0.666768973	1.144083443
acetylserine	2.915829467	2.788387524	3.229694828	2.574486506	2.927674339	3.004885233
adenine	0.942954814	1.043349027	0.940019065	0.89971886	0.871613102	1.004174177
adenosine	4.238723817	4.163580286	4.47328613	3.549519578	3.187108669	3.248510461
ADP	36.36107692	31.96061687	40.41430286	31.57136607	28.57699048	40.78255747
ADP-ribose	2.423789132	2.242364232	2.055124631	1.907215651	2.381968087	2.987454847
alanine	120.8241133	138.8661637	142.5939699	130.6728959	129.0549093	143.6620776
allantoin	0.208213183	0.22160727	0.271153022	0.189158185	0.238969357	0.267840361
alpha-ketoglutarate	42.80354228	39.40381859	43.21817424	32.17568563	33.08972661	37.98021382
AMP	24.20855827	19.29582242	24.43374629	12.31261972	15.83413896	18.65819927
anserine	0.165668625	0.168383152	0.188672756	0.163545588	0.182479315	0.174834326
arginine	40.78215686	50.29298461	46.84270188	50.69231739	41.02992379	41.26810827
argininosuccinate	0.093192518	0.087282135	0.101908306	0.080350568	0.069800645	0.067379955
asparagine	0.265661439	0.369284313	0.355252242	0.299663623	0.315391065	0.428075436
aspartate	132.5300219	129.2741178	136.6256723	153.2138033	150.2602516	148.8592895
ATP	174.916334	179.6579226	179.4638535	158.6153926	160.1872571	232.2086861
betaine	66.609491	67.38707349	69.18479392	75.93251389	82.95579133	73.43076367
butyryl_carnitine	0.638587452	0.680103857	0.6603028	0.601426576	0.509361902	0.562083124
C5_carnitines	0.216520541	0.219976094	0.238709746	0.266787234	0.237825888	0.218379651
cAMP	0.053182529	0.048885131	0.05992997	0.03926432	0.044059134	0.048571192
carbamoyl_aspartate	0.262348905	0.289938053	0.310928777	0.286116421	0.274721173	0.324937768
carnitine	61.34245531	67.69854271	65.1884303	67.5672201	78.10138474	77.20687852
carnosine	0.688410113	0.654322332	0.817816517	0.690991973	0.773962403	0.903025074
CDP	2.638791825	2.405622253	2.774073858	1.8719496	1.707674191	2.223535843
choline	222.2447113	218.0268975	218.08104	270.5022202	249.9546848	242.6045922
cis-aconitate	37.53635947	38.39575124	37.37487591	34.24248253	39.50678088	45.25919028
citrate	751.9581583	787.6697216	812.3062375	680.7558112	780.3942804	997.7129586
citrulline	0.991112997	1.230480224	1.1922191	1.172048974	1.113192543	1.042847548
CMP	3.553305032	3.307137967	3.689532008	1.975731356	2.419245628	3.269535057
creatine	452.7314149	492.8353518	502.220576	477.3041077	482.9652844	446.3422604
creatinine	2.479139839	2.739798135	2.29768608	2.452239846	2.259464442	1.977868258
CTP	18.45400821	18.49517764	18.66715863	14.92187889	16.48165543	21.88875737
cystathionine	0.015696192	0.010795471	0.012347772	0.015124876	0.017483635	0.01016193
cystine	0.007949238	0.011033104	0.007420755	0.021321919	0.004258455	0.00727016
cytidine	4.008786721	3.808452305	3.887077194	2.874209195	2.166960943	2.280692575
cytosine	0.613446508	0.523826452	0.594065595	0.424125707	0.347918146	0.305294335
dihydroorotate	0.010255719	0.010222187	0.012172693	0.008231872	0.006080319	0.004308863
dihydroxyacetone_phosphate	1.377063358	1.42470441	1.26617705	1.760939146	0.99837438	1.27136704
dTTP	0.348794748	0.281275642	0.236786225	0.266908489	0.230272244	0.267509921
F6P_G1P	4.978386576	5.052580317	4.279300485	4.218595495	4.821129742	4.56435179
FAD	0.777701119	0.767701343	0.778062958	0.666104382	0.733797814	1.006435117
fructose_1,6-bisphosphate	4.521046008	3.720212027	4.159511139	2.937103066	2.716277261	3.158782309
fumarate	0.893598399	0.967575276	0.93219155	0.841652272	0.953781684	0.884075886
GDP	8.503425885	7.466925799	8.780382968	6.13170322	6.563285031	9.692561415
glucose	10.31161831	15.18275798	11.75260239	13.94636088	8.951265809	8.958723721
glucose_6-phosphate	9.98736561	10.15980048	10.00305095	9.177735348	8.040401452	10.16162333
glutamate	857.8758155	855.9056654	785.0857078	598.6889874	687.7902376	750.3607862
glutamine	363.0814118	436.6242956	445.6507539	377.5635873	390.4900152	514.2953245
glyceraldehyde_3-phosphate	2.46539392	2.056782616	2.276599008	1.438914091	1.485159119	1.674122814
glycerol_3-phosphate	7.636319799	8.140952574	6.99005852	6.635267561	5.817069771	6.411109305
glycine	3.979350203	4.651795827	4.38759157	4.066033341	4.594695896	4.313082922
GMP	5.347180522	4.444067072	5.71615497	3.327752965	3.921700691	5.403651437
GSH	15.52262163	14.56932569	16.27211325	13.38743494	15.45798261	19.11579417
GSSG	1.502115489	1.666835404	1.809487666	1.38802527	1.378659802	1.46228338
GTP	40.84207992	39.48354579	41.43452493	36.07555906	38.41096052	51.48409782
guanidinoacetate	0.63176143	0.432458955	0.591925465	0.472832702	0.501770121	0.391985349
guanine	0.169900452	0.178298871	0.151736579	0.130639686	0.125187017	0.181520163
guanosine	1.018323497	0.913087001	0.984140855	0.810369981	0.629779563	0.692138532
histidine	32.13288393	36.89103757	36.32668317	35.99646551	31.75474383	29.03152468
hydroxyproline	0.342632701	0.519284966	0.374077121	0.441667224	0.405298834	0.508637759
hypoxanthine	0.975473679	0.763221711	1.162653761	0.901164847	1.163868456	1.046551997
inosine	0.982681824	0.994977733	1.157198552	0.931099514	0.903101439	0.957373556
isoleucine	64.6537283	76.56780883	72.53732098	63.63168472	56.02343601	51.53963884
itaconic_acid	4.711921197	5.390502221	4.797522192	4.275537519	3.510261101	4.850862089
kynurenine	0.048091909	0.051192907	0.046976055	0.051466004	0.041669408	0.038407335
lactate	35.06439865	41.84722784	40.77644459	32.61320519	25.23755719	27.51423419
leucine	58.69841464	67.70332348	68.33078422	66.482181	44.68709332	53.85465872
lysine	102.9608796	129.0218663	117.5907315	125.1823283	98.33483842	103.9165974
malate	131.9220458	122.0803281	132.9627478	128.7755965	114.4386395	127.0327213
methionine	22.45737859	25.33237441	24.12259649	23.61853594	20.43739137	20.59883295
methylthioadenosine	1.348378591	1.430931018	0.992176371	0.670097359	1.098034019	1.016276669
Na_acetylglutamine	5.078788905	5.187003737	5.515166163	4.153121666	4.319404496	4.548041941
N-acetylcysteine	0.038021677	0.034933661	0.028352302	0.031934232	0.040908586	0.336634695
N-acetylglutamate	14.21417785	17.09244633	12.82022123	6.413645937	7.175303315	10.06455968
N-acetylmethionine	0.176235145	0.156435534	0.1591025	0.129591689	0.136185431	0.119157456
NAD	18.9782639	20.5303328	24.73650775	19.37223877	19.56022124	27.33600044
NADH	0.997349056	0.929544927	1.006131146	1.370084546	1.214442477	1.796235915
NADP	0.572367883	0.621892183	0.788527396	0.592988441	0.735197124	1.00276235
NADPH	1.179453175	1.257472355	1.488772371	1.359267006	1.222829849	1.883442068
Ne-acetyllysine	0.744936831	0.570009053	0.892532203	0.300743572	0.565959961	0.74488732
nicotinamide	8.548824317	9.405895972	9.796578633	13.1291311	8.530420625	10.58804342
nicotinic_acid	0.037461085	0.133028298	0.086190264	0.080679197	0.044253851	0.135102485
ornithine	8.170694268	11.81162787	10.07454014	11.39130359	11.3325698	9.494781306
orotate	0.032108882	0.029828296	0.036535064	0.043675806	0.038234538	0.038038257
palmitate	0.88093565	0.600804202	0.797620006	0.320304573	0.585848085	0.962732553
pantothenic_acid	301.3441726	312.3069254	334.0014957	267.1111917	263.8465498	289.6020798
phenylacetyl_glutamine	0.191535175	0.207653455	0.196240346	0.102587507	0.108817673	0.115088704
phenylalanine	38.88553927	45.62852992	45.05067509	40.20290095	34.16773259	33.94628251
phosphocholine	360.2120436	361.5248467	365.7527568	318.3771105	291.1853375	338.7705493
phosphocreatine	16.45253087	18.34645139	17.8602584	20.06186083	20.37834857	20.44715192
phosphoenolpyruvate	10.63869944	11.29044691	10.52414175	8.548943697	10.58344963	11.35913352
phosphoethanolamine	34.12334064	31.63182956	35.22363443	28.50710472	31.59249527	31.98497854
phosphoserine	1.665322706	1.883001204	1.756696523	1.851903749	1.90488925	1.950052911
proline	44.45381281	46.08580389	45.25424899	42.19981778	42.8134359	41.24612062
propionylcarnitine	2.907843239	2.60903251	3.12723372	2.046018843	2.256854332	2.536921118
pseudouridine	0.072907654	0.091207724	0.091616767	0.071888609	0.068438954	0.085610002
pyruvate	1.225178415	1.58280272	1.403462555	1.69082112	1.153312419	1.176045185
ribose_1-phosphate	0.603899466	0.611172406	0.543481243	0.327830972	0.490055264	0.547765157
ribose_ribulose_5-phosphate	5.385272789	4.798846075	5.376313249	4.47669789	4.726021646	6.006329679
S-adenosylhomocysteine	0.271158804	0.230245052	0.235033973	0.17756563	0.200949018	0.242770912
S-adenosylmethionine	2.1994181	2.33001516	2.148848788	1.869747389	1.989765802	2.655585111
sedoheptulose_7-phosphate	2.257892123	2.261154337	2.140206192	1.747557646	1.903745004	2.534009792
serine	2.231180036	2.508335928	2.367501847	2.944201919	2.912996479	2.899352648
succinate	2.90024161	2.477829575	3.175220303	4.146941331	2.34514006	2.787573012
taurine	55.48597756	55.22002249	59.09913551	44.78579259	45.7937831	51.35990524
threonine	149.4439797	158.7935942	152.4756611	151.9910833	142.8909538	144.1840581
tryptophan	7.721094391	8.732164251	9.250017598	7.730086172	6.559423706	6.560722056
tyrosine	47.57676016	55.64099967	49.29856575	48.09217264	37.86416894	37.72242687
UDP	5.449825531	5.164733952	4.995805661	3.706342157	3.824701688	4.94151131
UDP-GlcNAc	3.320013269	3.441458637	4.218520909	2.943699997	2.891574426	4.192147113
UDP-hexose	83.84928704	86.28937783	84.7184548	66.58560744	74.53022709	97.71251329
UMP	2.640029643	2.28810893	2.779315914	1.3604355	1.572012348	2.329507107
uracil	0.051753151	0.060081941	0.059371985	0.066315569	0.056659128	0.057224626
