PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73
Group.A.1	14.7634	-34.7305	-6.16668	-13.3867	-1.24139	0.784744	-2.47822	21.7014	-5.44737	-5.44915	-10.942	-8.22918	-10.7172	-5.57215	-1.89257	3.40217	-1.78619	-1.64828	4.70832	-0.562473	2.3101	-3.94996	-2.00321	2.53578	-0.76877	-0.421249	-1.42821	1.75947	0.0539443	-1.28713	-0.0164012	0.279736	0.250198	-0.0692016	0.398889	-0.999136	-1.41148	0.187981	0.572462	-1.29727	0.771204	-0.865329	-0.0266236	1.04683	0.710732	0.888601	-2.43964	-0.909516	0.0767754	1.40766	0.218109	-2.65817	1.11989	2.37407	0.729967	2.34704	-1.26828	-2.46479	-0.0364415	1.62813	-0.0750578	-0.47851	-2.0489	-0.0122121	-0.864432	-0.427077	0.630525	-0.0854988	0.0467185	-0.319673	-0.231066	0.00676808	5.33E-15
Group.A.2	12.903	-37.8517	-5.77993	-13.3764	-4.0718	1.72873	-4.66123	20.5379	-6.28493	-5.08697	-9.34597	-7.34874	-8.16117	-6.25937	-3.2874	3.46728	0.0208063	0.053683	2.91824	-1.74119	1.73315	-2.93563	-3.58176	0.611319	0.198465	-1.10044	-2.75448	1.20563	-1.58566	0.51443	1.13651	0.809559	-0.366636	-1.6431	0.402864	1.34728	0.0425277	0.000959582	0.44735	1.76336	0.29182	0.515522	-1.2388	-1.23884	-0.635445	-0.654565	1.97212	1.76116	0.223274	-2.09697	-0.818093	2.39982	-1.71851	-3.34546	-0.28755	-2.2924	1.69698	1.95119	-0.143596	-0.942731	0.499978	-0.165888	1.8756	-0.757763	0.453683	0.55914	0.323324	-0.00956012	0.0911266	0.0699739	0.115604	-0.0471305	4.88E-15
Group.A.3	8.97573	-20.508	21.3459	-16.5075	-2.71649	-2.19964	-0.0357324	2.68877	-4.45205	0.302672	-1.41389	-2.37431	-11.753	-3.40884	2.59827	1.08106	-0.0478963	5.46513	-8.30895	0.971039	-2.30462	11.045	13.7643	-2.31302	-4.11298	-5.07253	1.85335	-3.60733	2.04559	2.79101	-2.57248	0.323352	0.149411	2.13469	-0.273015	-1.4639	1.82674	-0.274987	0.0282061	0.831738	0.441613	-0.372155	0.981595	1.60773	-0.547023	0.086787	0.31927	0.235736	-0.00752228	-0.489154	-0.704735	-0.193712	-0.77019	-0.377243	0.921455	-0.141027	-0.508513	-0.504937	0.411919	-0.394626	0.221519	-0.294109	0.10662	-0.353188	-0.249267	-0.469615	-0.0580367	0.259264	0.125432	-0.145923	-0.0684628	0.00563739	4.44E-15
Group.A.4	-2.27186	-34.6376	8.78406	-11.7992	-6.60708	-18.7484	5.00099	-4.47723	-9.3959	7.96072	5.63135	6.00289	3.48324	-0.441685	-0.36214	-4.47675	2.87576	-1.47053	-1.25521	1.02876	-0.924534	-0.00584418	-0.632708	0.037923	1.14764	-0.574642	0.605846	-0.374455	-0.369837	-0.369942	-0.139474	0.024077	-0.183282	0.212798	-0.803632	-0.161639	0.0908571	-1.6818	1.02418	-0.446351	-0.183643	-0.218929	1.26992	-0.296401	0.753926	0.158414	-0.409492	0.835002	-0.28739	0.134132	0.291925	-0.349279	0.897243	-0.339806	-0.95119	0.23008	-0.168056	1.05811	1.36269	-0.673912	0.133687	-0.255463	-1.72625	1.1614	1.3728	3.33942	3.59696	-1.49104	-0.670583	-0.284246	0.0484797	-0.0233213	9.10E-15
Group.A.5	-4.4408	-35.4216	7.53438	-12.0322	-7.57619	-19.9498	4.18505	-4.3052	-9.00113	7.06241	6.29634	7.88311	5.46562	0.0500088	-0.756086	-5.08651	3.15915	-3.22817	-0.885315	1.1147	0.807428	-0.754416	-0.427547	1.50487	0.873864	0.309139	-0.207208	0.122629	-0.672144	-1.85245	1.75439	-0.142019	-0.385329	-0.332218	-0.611159	-0.0575004	-0.725372	-0.381459	0.599065	-0.143919	0.457341	-0.563421	1.17287	0.831584	0.611761	0.316353	-1.09024	1.98331	1.6967	1.03563	-1.04215	-0.0181558	-0.671885	0.564354	1.55128	2.51968	1.65841	-0.180773	-2.30101	0.678326	0.026131	1.12808	2.56462	-1.3078	-0.711898	-1.39272	-0.00660103	1.94022	-1.05631	1.70036	0.492289	-0.239034	3.77E-15
Group.A.6	-3.69676	-35.1307	8.18876	-11.4528	-7.95082	-20.09	3.44179	-4.75366	-9.05482	8.66713	6.63495	6.89864	5.77624	0.836622	-1.31636	-4.46019	2.49979	-2.93495	-0.239036	1.3515	-0.828143	-0.893841	-2.1474	0.0590255	1.26825	1.68596	-0.74707	-0.457369	-1.27921	-1.21836	0.672764	-1.73116	0.7726	-0.299513	0.561488	-0.515425	0.393342	0.165112	-1.02637	0.242131	0.514001	0.411701	-2.31073	-0.415551	-0.516503	0.327643	1.13778	-1.59082	-0.750821	-2.41	-0.0908206	-0.181506	0.505777	-0.789712	0.46256	-2.57215	-1.43457	-1.40181	0.808613	1.40069	0.655926	-2.19068	-0.851803	-0.703794	-0.716646	-1.37027	-2.14651	-0.378189	1.6092	-1.811	-0.692164	0.183403	9.77E-15
Group.B.1	34.866	16.2375	15.7559	-19.936	2.57372	13.5413	1.55867	-1.60035	3.60697	-1.38648	2.51316	2.49826	1.84338	1.98193	-1.5345	1.18104	0.207847	1.77061	-0.346456	-0.573153	0.613882	0.125475	-1.4944	-0.452082	-0.0964392	0.378023	0.401408	0.245931	-0.819104	0.549385	0.459433	1.61527	-0.704042	-0.895586	-0.787104	0.0523782	1.64274	-0.93924	0.0547405	1.11771	0.135334	2.21047	-0.956011	-0.748085	-1.42009	-2.4492	0.551531	0.17322	-0.730403	0.394708	1.6004	2.23273	-0.830643	3.62282	0.929469	2.37924	1.23295	1.71719	0.0777842	0.483667	-0.77617	-1.94953	1.36296	-1.55334	-2.35414	-0.110266	1.59579	-1.10915	0.27942	-1.97956	-0.721417	-0.250777	1.20E-14
Group.B.2	36.1769	16.4493	16.918	-17.1342	3.55312	15.4391	3.06156	-1.04301	2.7061	1.88558	2.46947	0.164356	2.64204	1.78882	0.770233	0.528806	0.203689	1.61944	1.63615	-0.427687	1.32851	-1.14337	0.623241	0.316781	-0.137878	-0.330769	-1.16355	-0.415097	-0.513132	-0.494758	1.35324	-0.475449	-0.55195	-0.289665	-0.356985	-0.92293	0.0972008	0.613038	-0.16773	-0.787967	1.12776	-0.768095	-0.521192	0.824933	1.21055	3.32906	2.07103	-1.07526	-1.98983	-2.18033	-2.29148	-1.79292	-0.516479	-0.674698	-3.98105	1.65463	1.01624	-2.06858	0.390271	0.623805	2.79704	-0.380002	1.91462	0.773007	0.0852286	-0.831958	0.275397	-1.78839	-1.59972	0.286452	0.173628	-0.0387768	8.88E-15
Group.B.3	33.7066	16.8006	15.9701	-20.9347	3.61188	14.3472	1.31228	-1.98432	3.98472	-0.294579	2.2896	1.9298	1.69816	1.44412	-0.840376	1.00279	-0.656636	0.451168	0.975984	-0.168432	0.738301	-2.03095	-1.8651	-0.917056	0.114805	0.904965	0.419602	-0.492037	-0.172927	-0.346181	-0.512196	-0.513076	-0.215406	0.0145022	-0.337806	0.276396	-0.111154	0.666416	-1.73592	-0.230842	0.336169	0.446019	-1.31439	-0.490271	-0.0211411	-2.05693	-0.588658	-1.37325	0.182113	-0.0802589	0.0603189	-0.0842054	-0.358547	-0.92192	3.00113	-2.04075	-0.625075	-1.42605	1.86571	-1.12293	0.939373	-2.51363	-1.57573	-0.572999	-1.16337	1.12604	0.128768	1.77297	-2.2941	2.15681	1.36429	-0.139328	1.12E-14
Group.B.4	35.6096	16.2541	17.3748	-17.6189	4.4052	14.1759	2.77678	-1.11179	3.66866	1.34527	2.61601	0.462009	1.12817	1.86885	-0.937228	0.327347	-0.133112	1.01426	0.849642	-0.230154	0.218803	-1.932	-0.0669497	-0.969264	-0.35176	0.470272	-0.912707	0.274655	0.353307	-0.179018	1.49445	-0.735397	-0.766558	-0.481802	-1.05521	-0.775574	-0.605902	-0.404025	0.324615	-0.491502	-0.364159	-0.509177	0.193779	0.180146	1.81016	0.500754	0.0824304	1.10135	0.180461	0.911477	-1.61737	0.895867	1.17803	-0.369554	-0.944615	-1.39819	-0.886483	-3.41581	-0.491002	-0.724559	-2.68359	-0.129522	1.25002	-0.534939	1.42284	0.133176	1.95127	1.49822	3.61126	0.477265	-0.184995	0.262013	7.77E-15
