ID	sample	color
Group.A.1	Group.A	yellowgreen
Group.A.2	Group.A	yellowgreen
Group.A.3	Group.A	yellowgreen
Group.A.4	Group.A	yellowgreen
Group.A.5	Group.A	yellowgreen
Group.A.6	Group.A	yellowgreen
Group.B.1	Group.B	purple
Group.B.2	Group.B	purple
Group.B.3	Group.B	purple
Group.B.4	Group.B	purple
Group.B.5	Group.B	purple
Group.B.6	Group.B	purple
Group.B.7	Group.B	blue
Group.B.8	Group.B	blue
Group.B.9	Group.B	blue
Group.B.10	Group.B	blue
Group.B.11	Group.B	blue
Group.B.12	Group.B	blue
Group.C.1	Group.C	orange
Group.C.2	Group.C	orange
Group.C.3	Group.C	orange
Group.C.4	Group.C	orange
Group.C.5	Group.C	orange
Group.C.6	Group.C	orange
Group.D.1	Group.D	cyan
Group.D.2	Group.D	cyan
Group.D.3	Group.D	cyan
Group.D.4	Group.D	cyan
Group.D.5	Group.D	cyan
Group.D.6	Group.D	cyan
Group.E.1	Group.E	gray
Group.E.2	Group.E	gray
Group.E.3	Group.E	gray
Group.E.4	Group.E	gray
Group.E.5	Group.E	gray
Group.E.6	Group.E	gray
Group.E.7	Group.E	gray
Group.E.8	Group.E	gray
Group.E.9	Group.E	gray
Group.E.10	Group.E	gray
Group.E.11	Group.E	gray
Group.E.12	Group.E	gray
Group.E.13	Group.E	gray
Group.E.14	Group.E	gray
Group.E.15	Group.E	gray
Group.E.16	Group.E	gray
Group.E.17	Group.E	gray
Group.E.18	Group.E	gray
Group.E.19	Group.E	gray
Group.F.1	Group.F	black
Group.F.2	Group.F	black
Group.F.3	Group.F	black
Group.F.4	Group.F	black
Group.F.5	Group.F	black
Group.F.6	Group.F	black
Group.F.7	Group.F	black
Group.F.8	Group.F	black
Group.F.9	Group.F	black
Group.F.10	Group.F	black
Group.F.11	Group.F	black
Group.F.12	Group.F	black
Group.F.13	Group.F	black
Group.F.14	Group.F	black
Group.F.15	Group.F	black
Group.F.16	Group.F	black
Group.F.17	Group.F	black
Group.F.18	Group.F	black
Group.F.19	Group.F	black
Group.F.20	Group.F	black
Group.F.21	Group.F	black
Group.F.22	Group.F	black
Group.F.23	Group.F	black
Group.F.24	Group.F	black
