Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
10000_at	6.49398	6.5404	5.87912	6.12578	6.29145	6.88398	6.38778	6.41903	6.2662
10001_at	5.30028	4.7904	5.49722	5.46927	5.57925	5.56648	5.88198	5.46002	5.7774
10002_at	4.77018	5.1855	4.88572	5.01938	5.00645	4.84248	5.01138	5.04262	4.8732
10003_at	3.37888	3.6663	3.39172	3.67307	3.49425	3.61878	3.45548	3.52842	3.5751
100048912_at	5.96738	7.3432	5.72082	6.14738	6.30925	5.99268	5.70638	6.70542	6.4129
10004_at	4.84948	5.1774	4.96492	5.18588	5.11155	5.07378	4.60978	5.01093	4.7142
10005_at	7.24538	6.8965	7.42582	7.38758	7.18115	6.71428	6.60978	6.61462	7.082
10006_at	7.50118	6.8744	7.29192	7.15558	6.99855	7.65318	7.66008	6.82252	7.3308
10007_at	8.01128	7.5874	7.29402	7.07578	8.11365	8.07187	8.25798	7.37322	7.4742
100093698_at	4.17688	4.4523	4.20502	4.30988	4.29835	4.15548	4.10378	4.49643	4.2378
10009_at	3.41078	3.6676	3.51602	3.53958	3.45665	3.39118	3.48128	3.52272	3.6223
1000_at	5.62558	6.3297	5.66912	5.93568	6.11085	5.65848	5.45628	5.88082	5.7511
10010_at	5.84538	5.8045	5.74352	6.01347	6.03855	5.97978	5.95778	5.83582	5.8692
100126791_at	6.14518	6.0042	5.82222	5.61678	6.12665	7.86578	7.28008	6.94512	6.8948
100128124_at	4.58308	4.9401	5.07982	5.08538	5.41405	4.89538	5.02568	5.31722	4.8616
100128640_at	4.49498	5.3954	5.03742	4.82928	5.02665	4.57648	4.55038	4.75912	4.5864
100129128_at	4.64108	5.1785	4.59532	4.79068	4.69415	4.65848	4.49868	4.95842	4.6481
100129250_at	7.11528	7.2993	7.63602	7.10918	7.41875	6.94408	7.24748	7.10522	7.1554
100129271_at	6.02148	6.2994	6.18352	6.21298	6.12515	5.94518	6.09148	6.25823	6.1017
100129460_at	4.03258	4.4398	4.38692	4.17258	4.22005	4.05258	4.12228	4.95272	4.2043
100129482_at	4.34228	4.9271	4.99402	4.47828	4.60475	4.41058	4.38958	4.70683	4.4251
100129973_at	3.76368	4.1051	3.77572	3.95288	3.92705	3.81158	3.91808	4.11812	3.658
100130100_at	6.28738	6.6887	7.21832	7.92738	7.80175	6.86388	6.58668	6.95242	6.4882
100130331_at	4.01338	4.6134	4.18502	4.29818	4.20105	4.20628	4.08648	4.50253	4.3616
100130449_at	4.17578	5.4842	5.35212	6.43638	4.86785	4.39528	5.10448	5.09393	5.6152
100131755_at	4.57538	5.0575	4.77842	4.83948	4.92005	4.79558	4.59698	4.85573	4.772
100131825_at	4.74188	5.4624	4.89242	4.88328	5.03875	4.60238	4.72368	5.32292	4.9619
100131827_at	4.42048	4.9992	4.48662	4.77388	4.72805	4.38238	4.56088	4.73153	4.7395
100132341_at	7.22358	7.5622	6.84562	7.47768	7.59685	7.06378	6.97748	7.15182	7.1388
100132476_at	3.36998	3.7155	3.48592	3.48298	3.67095	3.46988	3.45708	3.67693	3.5625
100134713_at	4.96808	5.443	4.80102	5.07228	5.21585	4.89918	4.85748	4.92642	4.953
100137047_at	6.10418	6.6175	6.77572	6.33698	6.53215	6.46478	6.51938	6.98832	6.4938
10013_at	7.09538	7.1544	7.25822	7.28548	7.95495	7.10978	7.20498	7.35383	7.0225
10014_at	6.71608	6.2195	6.81142	6.48158	6.76815	6.64488	7.00388	6.57012	6.5453
10015_at	8.98148	8.7353	9.22292	9.40908	9.12585	9.13518	9.48008	9.10682	9.3313
10016_at	9.33528	8.6862	9.17112	8.92488	9.04805	9.28588	9.87197	9.42862	8.9338
10017_at	4.97618	5.2296	4.95072	5.20908	5.26255	4.75168	4.73708	5.08293	4.8293
100188893_at	10.04688	10.0538	10.38802	9.67857	10.50155	10.26198	10.30828	10.04152	9.9788
10018_at	3.87818	4.1485	3.97912	4.10158	4.24135	3.91608	3.94068	4.11592	4.0121
10019_at	8.17708	8.1139	8.20292	8.16828	7.68625	8.70308	7.57648	8.25622	8.7558
1001_at	6.92408	7.2597	6.20592	8.47308	8.28235	6.95548	6.67608	7.50173	6.8726
10020_at	6.24268	7.434	7.44542	5.96858	7.22485	6.39748	5.81728	6.17392	7.4411
