Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
10000_at	6.57956	6.39609	5.95648	6.08631	6.2388	6.90176	6.4952	6.34664	6.25438
10001_at	5.44459	4.55251	5.59319	5.41669	5.51386	5.60564	6.0188	5.34062	5.77862
10002_at	4.93636	4.93562	4.96428	4.9666	4.93342	4.90275	5.17471	4.92648	4.901
10003_at	3.48784	3.54212	3.46187	3.65571	3.42761	3.66971	3.54634	3.42761	3.56885
100048912_at	6.07557	7.31049	5.8065	6.10904	6.25504	6.03593	5.86119	6.65648	6.4132
10004_at	5.01361	4.92376	5.04085	5.14541	5.04052	5.13647	4.76835	4.89272	4.7371
10005_at	7.26959	6.79079	7.44076	7.36279	7.15128	6.74181	6.70282	6.55966	7.07568
10006_at	7.50566	6.76809	7.31452	7.11877	6.96248	7.64512	7.65644	6.77502	7.33633
10007_at	8.00066	7.58441	7.31765	7.03962	8.13214	8.07007	8.23032	7.36547	7.47755
100093698_at	4.33105	4.2335	4.26837	4.2795	4.24747	4.21609	4.24873	4.38176	4.24657
10009_at	3.51907	3.54634	3.55624	3.5265	3.37797	3.43584	3.57414	3.4226	3.61364
1000_at	5.75389	6.15947	5.7547	5.88894	6.06086	5.69824	5.61519	5.7776	5.753
10010_at	5.96042	5.59247	5.82649	5.97043	5.98797	6.02065	6.09607	5.72848	5.86651
100126791_at	6.25003	5.80024	5.90386	5.56765	6.0745	7.8644	7.31765	6.90704	6.89199
100128124_at	4.74649	4.70433	5.14929	5.03695	5.33453	4.95502	5.18784	5.19939	4.88906
100128640_at	4.66428	5.14541	5.10806	4.77694	4.95882	4.6326	4.70587	4.63455	4.60455
100129128_at	4.80457	4.92584	4.67493	4.74179	4.6301	4.71062	4.65754	4.83613	4.66164
100129250_at	7.15674	7.25313	7.63448	7.07374	7.39569	6.95804	7.28457	7.07477	7.15854
100129271_at	6.12705	6.12363	6.25364	6.17136	6.07286	5.98248	6.21904	6.18017	6.10568
