Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
10000_at	6.57952	6.39612	5.95648	6.08628	6.23883	6.90179	6.4953	6.34665	6.25448
10001_at	5.44456	4.55297	5.59316	5.4166	5.51388	5.6057	6.01876	5.34045	5.77857
10002_at	4.93638	4.93547	4.96455	4.96656	4.93352	4.90262	5.17467	4.92638	4.90097
10003_at	3.48783	3.54211	3.46187	3.65541	3.4276	3.6698	3.54612	3.4276	3.56823
100048912_at	6.07563	7.31037	5.80649	6.10908	6.25503	6.03619	5.86115	6.65646	6.41322
10004_at	5.01357	4.92372	5.04081	5.14524	5.04068	5.13643	4.76845	4.89265	4.73707
10005_at	7.26953	6.79071	7.4408	7.36293	7.15132	6.74188	6.70272	6.55952	7.07574
10006_at	7.50583	6.76808	7.31454	7.11886	6.96251	7.64518	7.65642	6.77521	7.33632
10007_at	8.00065	7.58444	7.31768	7.03957	8.13212	8.06984	8.22999	7.36547	7.47749
100093698_at	4.331	4.23337	4.26811	4.27953	4.24762	4.21608	4.24873	4.38176	4.24657
10009_at	3.51916	3.54533	3.55623	3.5267	3.3769	3.43583	3.57413	3.42283	3.61352
1000_at	5.75386	6.15942	5.75469	5.88902	6.06084	5.6982	5.6152	5.77733	5.75292
10010_at	5.96048	5.59259	5.82669	5.97042	5.98813	6.02082	6.09603	5.72843	5.86669
100126791_at	6.25002	5.80073	5.90389	5.56763	6.07458	7.86445	7.31768	6.90699	6.89192
100128124_at	4.74643	4.70441	5.14921	5.03688	5.33451	4.95511	5.18809	5.19932	4.88906
100128640_at	4.66433	5.14503	5.1081	4.77692	4.95879	4.63259	4.70587	4.63448	4.60454
100129128_at	4.8046	4.92586	4.67483	4.74159	4.63016	4.71033	4.65746	4.83653	4.66187
100129250_at	7.15666	7.25295	7.63447	7.07372	7.3954	6.95796	7.28464	7.07496	7.1584
100129271_at	6.12704	6.12356	6.25348	6.1713	6.07291	5.98248	6.21888	6.18008	6.10571
100129460_at	4.17379	4.22311	4.45476	4.14022	4.16699	4.10985	4.27105	4.82732	4.21163
100129482_at	4.49768	4.69332	5.07063	4.44335	4.53624	4.47737	4.55303	4.58089	4.44244
100129973_at	3.8968	3.91407	3.85409	3.93041	3.85435	3.86581	4.0483	4.02088	3.647
100130100_at	6.39004	6.55935	7.25019	7.94364	7.80203	6.88257	6.67941	6.91407	6.48574
100130331_at	4.14862	4.387	4.24884	4.26572	4.14377	4.26791	4.22867	4.39022	4.37769
100130449_at	4.32853	5.24052	5.43838	6.39316	4.80265	4.46185	5.26584	4.98482	5.62349
100131755_at	4.74097	4.81989	4.86179	4.78689	4.84773	4.8526	4.75702	4.73554	4.79941
100131825_at	4.90691	5.21581	4.97347	4.83186	4.97088	4.65746	4.87484	5.20461	4.97605
100131827_at	4.57837	4.7559	4.54981	4.72631	4.66324	4.45002	4.71647	4.60802	4.76647
100132341_at	7.24971	7.55582	6.89077	7.46424	7.59523	7.0816	7.03214	7.12183	7.13992
100132476_at	3.48324	3.58403	3.53591	3.46541	3.63056	3.51128	3.5507	3.57857	3.55726
100134713_at	5.12505	5.19462	4.88563	5.02096	5.14868	4.96134	5.01456	4.80716	4.969
100137047_at	6.21009	6.47955	6.8304	6.29628	6.47169	6.5026	6.6152	6.95239	6.48941
10013_at	7.13307	7.09239	7.28619	7.25605	7.9711	7.12593	7.24379	7.34137	7.019
10014_at	6.78091	6.03238	6.86136	6.44095	6.72155	6.67717	7.06009	6.51105	6.5405
10015_at	8.96489	8.8722	9.1105	9.46998	9.18843	9.0907	9.39594	9.16139	9.26913
10016_at	9.33457	8.81212	9.06805	8.96489	9.10812	9.24884	9.7703	9.48133	8.87701
10017_at	5.13254	4.98761	5.02978	5.16558	5.19441	4.80918	4.89194	4.97347	4.8585
100188893_at	10.02993	10.23693	10.24634	9.74789	10.59376	10.22063	10.19112	10.05441	9.8909
10018_at	4.01394	3.95536	4.03859	4.07554	4.18769	3.98525	4.07554	4.01855	4.00721
10019_at	8.16646	8.15777	8.16448	8.18376	7.68569	8.6958	7.57632	8.28772	8.68495
1001_at	6.97423	7.2048	6.27719	8.51667	8.30317	6.96842	6.76694	7.49316	6.86942
10020_at	6.34728	7.41184	7.4572	5.92506	7.19627	6.43733	5.96587	6.08982	7.44389
10021_at	4.70346	4.78333	4.77063	5.23428	4.97605	4.69903	4.71013	4.86017	4.79063
10022_at	4.26669	4.43424	4.33079	4.243	4.67867	4.36376	4.28186	4.48118	4.39503
10023_at	6.69349	6.95144	7.40847	6.46257	6.37613	6.77179	6.53983	6.63228	6.6825
10024_at	6.30127	7.2461	6.57402	6.97167	7.54033	6.38977	6.40893	6.42597	6.47328
10025_at	6.97119	6.76961	7.42445	6.91937	6.92009	6.76083	6.92116	6.64623	6.48124
10026_at	6.62079	6.70851	7.62568	6.22616	5.6156	7.21366	6.62232	6.50814	7.72721
100272147_at	8.72635	8.71519	8.18472	7.79614	8.72478	8.26979	8.33438	8.07926	7.89429
100287932_at	7.59629	6.77541	7.69468	7.35847	7.59743	7.92206	7.86613	7.11026	7.63305
100288413_at	4.6884	4.9383	4.52581	5.11813	4.82049	4.75275	4.99296	4.66047	4.86595
100289410_at	5.02039	5.14601	5.08072	4.70644	5.30955	4.78769	4.82512	4.72225	5.00396
100289678_at	7.17401	7.56562	7.15348	7.08222	7.46705	7.30265	7.40046	7.53582	6.84876
100293516_at	5.83271	5.6443	6.72703	5.00131	4.62243	5.09698	5.34251	4.55021	5.103
1002_at	4.87996	4.97801	5.15028	5.0415	5.08185	5.01535	4.87344	5.03958	5.1081
100316904_at	7.00703	8.14928	6.80408	7.94063	7.71714	7.57023	7.31712	7.68705	7.35555
10036_at	6.15324	6.26796	6.26893	6.55047	6.44882	6.10364	6.26565	6.25452	6.18052
10038_at	7.2277	7.40231	7.25522	7.09944	8.06123	7.42307	7.6212	7.10131	7.21813
10039_at	6.64661	6.27353	6.95912	6.79628	6.72286	6.89512	7.13423	6.25787	6.62243
1003_at	5.55749	5.11534	5.57834	5.45785	4.87779	6.9735	6.30753	5.45506	5.71523
10040_at	7.26529	7.88922	8.01403	6.59194	8.08753	7.14663	8.24138	9.29964	8.70351
10042_at	7.51807	8.25838	7.78682	7.61046	8.03337	7.43882	8.12097	7.14609	8.18926
10043_at	6.48891	6.591	6.98686	6.90699	6.48911	6.26339	6.63105	6.44563	6.59977
10045_at	5.38627	4.47689	5.37565	5.24986	4.81989	5.11783	5.13612	5.11318	4.96528
10046_at	5.41816	5.47762	5.51873	6.04504	5.5972	5.68058	5.53252	5.77359	5.40927
10047_at	5.61326	6.32293	5.71077	5.71317	5.65012	5.52015	5.41613	5.47917	5.75864
10048_at	6.79167	6.7122	7.87173	7.53972	7.59019	7.09663	7.33465	6.92369	7.27951
100499177_at	7.06225	5.9381	6.61366	6.21303	7.18097	7.14951	7.55619	7.28937	7.20279
10049_at	7.47562	6.49457	6.38905	6.63303	6.27105	6.89883	7.38225	6.83468	6.92369
1004_at	4.22644	4.47132	4.21353	4.17404	4.17251	4.23539	4.22144	4.21965	4.23286
100505650_at	5.08351	4.91353	4.96001	4.9544	4.95431	4.95695	5.05008	5.12243	5.11193
100505741_at	3.49537	3.41798	3.70063	3.51774	3.49537	3.60728	3.51543	3.61005	3.53866
100505761_at	6.08061	6.08709	6.51715	5.69496	5.99765	6.11863	6.62169	6.70432	5.90734
100505870_at	5.9597	5.93599	6.26027	6.33635	5.95264	5.9391	5.91709	5.98622	5.9301
100505879_at	5.13226	5.07929	5.22354	5.24198	5.32817	5.11318	5.27437	5.20367	5.13367
100505933_at	4.38604	4.64782	4.41642	4.48648	4.45167	4.3362	4.47198	4.41948	4.37869
100506124_at	4.55308	4.60269	4.58625	4.52825	4.70441	4.50315	5.47435	4.79736	4.76845
100506144_at	7.75899	7.04435	7.53553	7.27276	7.35794	8.35771	8.09247	7.61925	8.07733
100506190_at	4.35462	4.24389	4.85742	4.96693	4.37691	4.69014	4.91085	5.11843	4.70982
100506358_at	3.846	3.99228	4.0555	3.87102	3.88952	3.87957	3.96052	3.82105	3.91334
