Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
10000_at	6.57956	6.39608	5.95648	6.0863	6.2388	6.90176	6.49533	6.34663	6.25438
10001_at	5.44459	4.55288	5.59319	5.41668	5.51386	5.60563	6.01872	5.34047	5.77861
10002_at	4.93636	4.93547	4.96458	4.96659	4.93341	4.90274	5.1747	4.92647	4.901
10003_at	3.48783	3.54211	3.46187	3.6557	3.4276	3.6697	3.54633	3.4276	3.56829
100048912_at	6.07557	7.31048	5.80649	6.10903	6.25503	6.03621	5.86119	6.65648	6.41319
10004_at	5.0136	4.92376	5.04084	5.1454	5.04068	5.13647	4.76834	4.89271	4.73709
10005_at	7.26958	6.79078	7.44074	7.36292	7.15127	6.74191	6.70281	6.55956	7.07568
10006_at	7.50581	6.76808	7.31451	7.11886	6.96247	7.64511	7.65643	6.77521	7.33632
10007_at	8.00066	7.5844	7.31764	7.03961	8.13213	8.06984	8.22999	7.36547	7.47754
100093698_at	4.33104	4.23349	4.26811	4.27949	4.24747	4.21608	4.24872	4.38176	4.24657
10009_at	3.51907	3.54533	3.55623	3.52649	3.37797	3.43583	3.57413	3.42259	3.61363
1000_at	5.75389	6.15947	5.75469	5.88893	6.06086	5.69823	5.61518	5.77737	5.75299
10010_at	5.96041	5.59247	5.82669	5.97042	5.98811	6.02081	6.09607	5.72848	5.8665
100126791_at	6.25002	5.80071	5.90386	5.56764	6.07463	7.8644	7.31764	6.90703	6.89198
100128124_at	4.74649	4.70432	5.14928	5.03694	5.33452	4.95501	5.18807	5.19938	4.88906
100128640_at	4.66428	5.14507	5.10804	4.77693	4.95881	4.63259	4.70587	4.63454	4.60454
100129128_at	4.80457	4.92583	4.67492	4.74162	4.63009	4.71061	4.65753	4.83658	4.66182
100129250_at	7.15673	7.25295	7.63447	7.07372	7.39546	6.95803	7.28457	7.07496	7.1584
100129271_at	6.12704	6.12362	6.25348	6.17136	6.07286	5.98248	6.21886	6.18016	6.10568
100129460_at	4.1738	4.22314	4.45468	4.14028	4.16707	4.10979	4.27098	4.82722	4.21167
100129482_at	4.49768	4.69318	5.07057	4.44331	4.53628	4.47737	4.55301	4.58083	4.44249
100129973_at	3.8968	3.91398	3.85404	3.93049	3.8544	3.86572	4.04823	4.02084	3.64699
100130100_at	6.39007	6.55929	7.25019	7.94376	7.80203	6.88243	6.67939	6.91411	6.48571
100130331_at	4.14861	4.387	4.24887	4.26583	4.14387	4.26786	4.22873	4.39032	4.37758
100130449_at	4.3284	5.24057	5.43841	6.39317	4.80252	4.46191	5.26582	4.98482	5.62343
100131755_at	4.74091	4.81989	4.86181	4.78682	4.84793	4.8526	4.75712	4.7356	4.79944
100131825_at	4.90691	5.21579	4.97343	4.83182	4.97082	4.65753	4.87484	5.20466	4.97607
100131827_at	4.57827	4.75583	4.54968	4.72618	4.66324	4.4501	4.71643	4.60797	4.76652
100132341_at	7.24971	7.55586	6.89083	7.46424	7.59519	7.0817	7.03214	7.12183	7.13995
100132476_at	3.48286	3.58403	3.53591	3.46541	3.6305	3.51128	3.5507	3.57848	3.55717
100134713_at	5.12506	5.1947	4.88558	5.02096	5.1487	4.96123	5.01448	4.80716	4.96904
100137047_at	6.21003	6.47951	6.83052	6.29628	6.47167	6.50269	6.6152	6.9524	6.48943
10013_at	7.13303	7.09239	7.28622	7.2561	7.97103	7.12583	7.24374	7.34143	7.01898
10014_at	6.78093	6.03228	6.86138	6.4409	6.72152	6.67712	7.06014	6.51101	6.5405
10015_at	8.96499	8.87231	9.1105	9.46984	9.18819	9.09083	9.39594	9.16139	9.26913
10016_at	9.33457	8.81212	9.06822	8.96499	9.10812	9.24872	9.7703	9.48133	8.87701
10017_at	5.13258	4.98758	5.02974	5.16549	5.1943	4.80911	4.89184	4.97343	4.85852
100188893_at	10.02939	10.23693	10.24634	9.74789	10.59376	10.22063	10.19112	10.05392	9.8909
10018_at	4.0142	3.95529	4.03848	4.07559	4.18778	3.98517	4.07559	4.01856	4.00707
10019_at	8.16646	8.15777	8.16448	8.18376	7.68573	8.69571	7.57632	8.28779	8.68478
1001_at	6.97423	7.20474	6.27717	8.51663	8.30313	6.96844	6.7669	7.49308	6.86942
10020_at	6.34727	7.41184	7.45714	5.92506	7.19622	6.43721	5.96587	6.08981	7.44394
10021_at	4.70352	4.78333	4.77059	5.23428	4.97607	4.69902	4.71027	4.86011	4.79063
10022_at	4.26669	4.43426	4.33085	4.24297	4.67867	4.36371	4.28191	4.48114	4.39506
10023_at	6.69354	6.95148	7.40858	6.46257	6.37618	6.77177	6.53983	6.63226	6.68258
10024_at	6.3013	7.24613	6.57402	6.97167	7.54033	6.38969	6.409	6.42599	6.47316
10025_at	6.97114	6.76961	7.42447	6.91942	6.92007	6.76084	6.92116	6.64626	6.48122
10026_at	6.6208	6.70854	7.62566	6.22612	5.61539	7.21362	6.62234	6.50819	7.72729
100272147_at	8.72631	8.71519	8.18472	7.7962	8.72486	8.26968	8.33438	8.07924	7.89421
100287932_at	7.59627	6.77541	7.69464	7.35842	7.59743	7.92197	7.86607	7.11024	7.63304
100288413_at	4.68834	4.9383	4.52581	5.11813	4.82049	4.75276	4.99301	4.66056	4.86594
100289410_at	5.02036	5.14601	5.08062	4.70644	5.30964	4.78766	4.82512	4.72229	5.00397
100289678_at	7.17401	7.56558	7.15343	7.08229	7.46712	7.30281	7.40047	7.5358	6.84873
100293516_at	5.83258	5.6443	6.72708	5.00131	4.62246	5.09702	5.34254	4.55034	5.10304
1002_at	4.88	4.97801	5.1503	5.04149	5.0819	5.01531	4.8735	5.03958	5.10804
100316904_at	7.00713	8.14923	6.80411	7.94057	7.71706	7.57021	7.31716	7.68701	7.35553
10036_at	6.15321	6.26794	6.26893	6.55047	6.44889	6.10371	6.26565	6.25452	6.18052
10038_at	7.22767	7.40228	7.25526	7.09948	8.06129	7.42308	7.6212	7.10136	7.21807
10039_at	6.64656	6.27356	6.95916	6.7963	6.72272	6.89507	7.13428	6.25787	6.62244
1003_at	5.55747	5.11534	5.5783	5.45788	4.87774	6.97347	6.30749	5.45517	5.71519
10040_at	7.26529	7.88917	8.01403	6.59191	8.08744	7.14664	8.24138	9.29981	8.70362
10042_at	7.51807	8.25838	7.78687	7.61046	8.03347	7.43893	8.12092	7.14612	8.18926
10043_at	6.48892	6.59107	6.98688	6.90703	6.48911	6.26336	6.63112	6.44567	6.59983
10045_at	5.38626	4.47689	5.37572	5.24978	4.81989	5.11779	5.13608	5.11318	4.96527
10046_at	5.41813	5.47762	5.51871	6.04504	5.59714	5.6807	5.53234	5.77356	5.40924
10047_at	5.61332	6.32283	5.71076	5.71309	5.65016	5.52009	5.41622	5.47917	5.75873
10048_at	6.79164	6.71223	7.87173	7.53977	7.59019	7.09665	7.33471	6.92366	7.27946
100499177_at	7.0623	5.9381	6.61364	6.21303	7.18101	7.14952	7.55623	7.28921	7.20283
10049_at	7.47562	6.49452	6.38909	6.63304	6.27108	6.89884	7.38218	6.83466	6.92366
1004_at	4.22634	4.47142	4.21353	4.17401	4.17244	4.2353	4.2214	4.21963	4.23292
100505650_at	5.08343	4.91359	4.96001	4.9544	4.95424	4.95696	5.05004	5.12246	5.11191
100505741_at	3.49537	3.41798	3.70072	3.51774	3.49537	3.60718	3.51543	3.61017	3.53866
100505761_at	6.08068	6.08711	6.51721	5.69491	5.99759	6.11867	6.62166	6.70428	5.90734
100505870_at	5.95971	5.93596	6.26037	6.33634	5.95264	5.93904	5.91706	5.98623	5.9301
100505879_at	5.13222	5.07928	5.22363	5.24201	5.32814	5.11318	5.27437	5.20358	5.13367
100505933_at	4.38609	4.64776	4.41646	4.48653	4.45166	4.33613	4.47206	4.41948	4.37857
100506124_at	4.55313	4.60269	4.58621	4.52827	4.70432	4.50328	5.47443	4.79731	4.76834
100506144_at	7.75893	7.0444	7.53556	7.27276	7.35798	8.35771	8.09252	7.61927	8.07733
100506190_at	4.3545	4.24393	4.85751	4.96688	4.37691	4.69017	4.91079	5.11847	4.70976
100506358_at	3.846	3.99232	4.0556	3.87097	3.88943	3.87951	3.96048	3.82109	3.91334
100506469_at	6.94761	7.48111	6.46593	6.50315	6.47009	6.99489	6.69937	7.22896	6.48676
100506504_at	6.11491	6.24059	6.38072	6.41863	6.31677	6.14648	6.09881	6.37193	5.95939
100506571_at	6.5012	7.15343	6.71318	6.52882	6.44249	6.56654	6.40941	6.81508	6.37488
100506581_at	5.62357	6.1718	5.92854	5.58197	5.29403	5.53474	5.52713	5.63821	5.35266
100506863_at	3.6151	3.96503	3.50213	3.66252	3.78171	3.53647	3.69803	3.78436	3.42259
100506898_at	5.18992	4.99987	5.36551	4.99696	5.18992	4.84009	5.06551	5.05844	5.0896
100506963_at	6.36494	7.01534	6.31241	6.27948	6.52961	6.5433	6.61284	6.40827	6.73133
100506972_at	4.64473	4.8437	4.69791	4.69467	5.0464	4.84723	4.93162	5.11779	4.73617
100507009_at	6.79641	7.90746	6.63174	6.75019	6.83192	6.63736	6.20316	6.91834	7.35457
100507331_at	6.32984	6.67443	6.58562	6.3635	6.99247	6.76808	6.54719	6.89111	6.20713
100507399_at	5.34658	5.43988	5.4544	4.97827	5.34919	5.45249	5.25581	5.138	5.20607
100507424_at	6.96808	7.30681	7.0473	7.3006	7.42484	7.11586	7.38302	7.64011	7.18541
100507436_at	6.33158	6.39371	6.21581	5.75519	4.4022	6.3979	5.86211	6.72886	6.35709
100507577_at	7.83722	6.05153	7.73967	7.18654	6.95839	7.57657	7.51283	7.07033	7.99491
100507605_at	3.6402	3.7595	3.74358	3.69093	3.7531	3.62554	3.6151	3.79648	3.69506
100507630_at	4.66284	4.84531	4.77673	4.83847	4.90214	4.59813	4.67867	4.61339	4.74091
10050_at	5.44836	5.72072	5.49291	5.55695	5.68793	5.4956	5.41367	5.68973	5.54647
