Probes	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
10000_at	6.5655	6.4632	5.9113	6.122	6.2672	6.9024	6.4588	6.3638	6.2335
10001_at	5.3718	4.7132	5.5294	5.4655	5.555	5.5849	5.953	5.4048	5.7447
10002_at	4.8417	5.1083	4.9179	5.0156	4.9822	4.8609	5.0824	4.9874	4.8405
10003_at	3.4504	3.5891	3.4239	3.6693	3.47	3.6372	3.5265	3.4732	3.5424
100048912_at	6.0389	7.266	5.753	6.1436	6.285	6.0111	5.7774	6.6502	6.3802
10004_at	4.921	5.1002	4.9971	5.1821	5.0873	5.0922	4.6808	4.9557	4.6815
10005_at	7.3169	6.8193	7.458	7.3838	7.1569	6.7327	6.6808	6.5594	7.0493
10006_at	7.5727	6.7972	7.3241	7.1518	6.9743	7.6716	7.7311	6.7673	7.2981
10007_at	8.0828	7.5102	7.3262	7.072	8.0894	8.0903	8.329	7.318	7.4415
100093698_at	4.2484	4.3751	4.2372	4.3061	4.2741	4.1739	4.1748	4.4412	4.2051
10009_at	3.4823	3.5904	3.5482	3.5358	3.4324	3.4096	3.5523	3.4675	3.5896
1000_at	5.6971	6.2525	5.7013	5.9319	6.0866	5.6769	5.5273	5.8256	5.7184
10010_at	5.9169	5.7273	5.7757	6.0097	6.0143	5.9982	6.0288	5.7806	5.8365
100126791_at	6.2167	5.927	5.8544	5.613	6.1024	7.8842	7.3511	6.8899	6.8621
100128124_at	4.6546	4.8629	5.112	5.0816	5.3898	4.9138	5.0967	5.262	4.8289
100128640_at	4.5665	5.3182	5.0696	4.8255	5.0024	4.5949	4.6214	4.7039	4.5537
100129128_at	4.7126	5.1013	4.6275	4.7869	4.6699	4.6769	4.5697	4.9032	4.6154
100129250_at	7.1868	7.2221	7.6682	7.1054	7.3945	6.9625	7.3185	7.05	7.1227
100129271_at	6.093	6.2222	6.2157	6.2092	6.1009	5.9636	6.1625	6.203	6.069
100129460_at	4.1041	4.3626	4.4191	4.1688	4.1958	4.071	4.1933	4.8975	4.1716
100129482_at	4.4138	4.8499	5.0262	4.4745	4.5805	4.429	4.4606	4.6516	4.3924
100129973_at	3.8352	4.0279	3.8079	3.9491	3.9028	3.83	3.9891	4.0629	3.6253
100130100_at	6.3589	6.6115	7.2505	7.9236	7.7775	6.8823	6.6577	6.8972	6.4555
100130331_at	4.0849	4.5362	4.2172	4.2944	4.1768	4.2247	4.1575	4.4473	4.3289
100130449_at	4.2473	5.407	5.3843	6.4326	4.8436	4.4137	5.1755	5.0387	5.5825
100131755_at	4.6469	4.9803	4.8106	4.8357	4.8958	4.814	4.668	4.8005	4.7393
100131825_at	4.8134	5.3852	4.9246	4.8795	5.0145	4.6208	4.7947	5.2677	4.9292
100131827_at	4.492	4.922	4.5188	4.7701	4.7038	4.4008	4.6319	4.6763	4.7068
100132341_at	7.2951	7.485	6.8778	7.4739	7.5726	7.0822	7.0485	7.0966	7.1061
100132476_at	3.4415	3.6383	3.5181	3.4792	3.6467	3.4883	3.5281	3.6217	3.5298
100134713_at	5.0396	5.3658	4.8332	5.0685	5.1916	4.9176	4.9285	4.8712	4.9203
100137047_at	6.1757	6.5403	6.8079	6.3332	6.5079	6.4832	6.5904	6.9331	6.4611
10013_at	7.1669	7.0772	7.2904	7.2817	7.9307	7.1282	7.276	7.2986	6.9898
10014_at	6.7876	6.1423	6.8436	6.4778	6.7439	6.6633	7.0749	6.5149	6.5126
10015_at	9.053	8.6581	9.2551	9.4053	9.1016	9.1536	9.5511	9.0516	9.2986
10016_at	9.4068	8.609	9.2033	8.9211	9.0238	9.3043	9.943	9.3734	8.9011
10017_at	5.0477	5.1524	4.9829	5.2053	5.2383	4.7701	4.8081	5.0277	4.7966
100188893_at	10.1184	9.9766	10.4202	9.6748	10.4773	10.2804	10.3793	9.9863	9.9461
10018_at	3.9497	4.0713	4.0113	4.0978	4.2171	3.9345	4.0117	4.0607	3.9794
10019_at	8.2486	8.0367	8.2351	8.1645	7.662	8.7215	7.6475	8.201	8.7231
1001_at	6.9956	7.1825	6.2381	8.4693	8.2581	6.9739	6.7471	7.4465	6.8399
10020_at	6.3142	7.3568	7.4776	5.9648	7.2006	6.4159	5.8883	6.1187	7.4084
10021_at	4.6066	4.9494	4.7247	5.2682	5.0197	4.663	4.6276	4.926	4.73
10022_at	4.185	4.5864	4.3014	4.2735	4.7229	4.3213	4.2028	4.5498	4.3464
10023_at	6.6956	6.9563	7.4241	6.4997	6.4139	6.7732	6.5084	6.6283	6.6567
10024_at	6.2645	7.2132	6.5501	6.9996	7.5262	6.3745	6.3626	6.4378	6.4413
10025_at	6.9908	6.799	7.4442	6.9494	6.9238	6.7572	6.9186	6.6386	6.4488
10026_at	6.6165	6.7483	7.6584	6.2636	5.6439	7.2246	6.5967	6.5124	7.6993
