Sample	batch	cell.line	batch.color
A375.CCLE.1	CCLE	A375	green
A375.GEO-C.2	GEO-C	A375	red
A375.GSK.3	GSK	A375	blue
A375.GSK.4	GSK	A375	blue
A375.GSK.5	GSK	A375	blue
BT-20.CCLE.1	CCLE	BT-20	green
BT-20.GEO-C.2	GEO-C	BT-20	red
BT-20.GSK.3	GSK	BT-20	blue
BT-20.GSK.4	GSK	BT-20	blue
BT-20.GSK.5	GSK	BT-20	blue
BT-474.CCLE.1	CCLE	BT-474	green
BT-474.GEO-C.2	GEO-C	BT-474	red
BT-474.GEO-C.3	GEO-C	BT-474	red
BT-474.GEO-C.4	GEO-C	BT-474	red
BT-474.GEO-C.5	GEO-C	BT-474	red
BT-474.GSK.6	GSK	BT-474	blue
BT-474.GSK.7	GSK	BT-474	blue
BT-474.GSK.8	GSK	BT-474	blue
Calu-1.CCLE.1	CCLE	Calu-1	green
Calu-1.GEO-C.2	GEO-C	Calu-1	red
Calu-1.GEO-C.3	GEO-C	Calu-1	red
Calu-1.GSK.4	GSK	Calu-1	blue
Calu-1.GSK.5	GSK	Calu-1	blue
Calu-1.GSK.6	GSK	Calu-1	blue
Caov-3.CCLE.1	CCLE	Caov-3	green
Caov-3.GEO-C.2	GEO-C	Caov-3	red
Caov-3.GSK.3	GSK	Caov-3	blue
Caov-3.GSK.4	GSK	Caov-3	blue
Caov-3.GSK.5	GSK	Caov-3	blue
COLO-829.CCLE.1	CCLE	COLO-829	green
COLO-829.GEO-C.2	GEO-C	COLO-829	red
COLO-829.GSK.3	GSK	COLO-829	blue
COLO-829.GSK.4	GSK	COLO-829	blue
COLO-829.GSK.5	GSK	COLO-829	blue
DB.CCLE.1	CCLE	DB	green
DB.GEO-C.2	GEO-C	DB	red
DB.GEO-C.3	GEO-C	DB	red
DB.GSK.4	GSK	DB	blue
DB.GSK.5	GSK	DB	blue
DB.GSK.6	GSK	DB	blue
DOHH-2.CCLE.1	CCLE	DOHH-2	green
DOHH-2.GEO-C.2	GEO-C	DOHH-2	red
DOHH-2.GSK.3	GSK	DOHH-2	blue
DOHH-2.GSK.4	GSK	DOHH-2	blue
DOHH-2.GSK.5	GSK	DOHH-2	blue
DU-4475.CCLE.1	CCLE	DU-4475	green
DU-4475.GEO-C.2	GEO-C	DU-4475	red
DU-4475.GSK.3	GSK	DU-4475	blue
DU-4475.GSK.4	GSK	DU-4475	blue
DU-4475.GSK.5	GSK	DU-4475	blue
EFM-19.CCLE.1	CCLE	EFM-19	green
EFM-19.GEO-C.2	GEO-C	EFM-19	red
EFM-19.GSK.3	GSK	EFM-19	blue
EFM-19.GSK.4	GSK	EFM-19	blue
EFM-19.GSK.5	GSK	EFM-19	blue
ES-2.CCLE.1	CCLE	ES-2	green
ES-2.GEO-C.2	GEO-C	ES-2	red
ES-2.GSK.3	GSK	ES-2	blue
ES-2.GSK.4	GSK	ES-2	blue
ES-2.GSK.5	GSK	ES-2	blue
HCC1143.CCLE.1	CCLE	HCC1143	green
HCC1143.GEO-C.2	GEO-C	HCC1143	red
HCC1143.GSK.3	GSK	HCC1143	blue
HCC1143.GSK.4	GSK	HCC1143	blue
HCC1143.GSK.5	GSK	HCC1143	blue
HCC1395.CCLE.1	CCLE	HCC1395	green
HCC1395.GEO-C.2	GEO-C	HCC1395	red
HCC1395.GSK.3	GSK	HCC1395	blue
HCC1395.GSK.4	GSK	HCC1395	blue
HCC1395.GSK.5	GSK	HCC1395	blue
HCC1937.CCLE.1	CCLE	HCC1937	green
HCC1937.GEO-C.2	GEO-C	HCC1937	red
HCC1937.GSK.3	GSK	HCC1937	blue
HCC1937.GSK.4	GSK	HCC1937	blue
HCC1937.GSK.5	GSK	HCC1937	blue
HCC1954.CCLE.1	CCLE	HCC1954	green
HCC1954.GEO-C.2	GEO-C	HCC1954	red
