seqnames	start	end	width	strand	length	abs_summit	pileup	X.log10.pvalue.	fold_enrichment	X.log10.qvalue.	name	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	629153	629984	832	*	833	629743	1035.47	78.13816	1.90528	73.19759	peak_1	Promoter (1-2kb)	1	627377	631150	3774	2	101928626	ENST00000452176.2	1166	ENSG00000230021	LOC101928626	uncharacterized LOC101928626
chr1	630770	631345	576	*	577	631086	1175.96	197.71513	2.78242	192.53827	peak_2	Promoter (<=1kb)	1	627377	631150	3774	2	101928626	ENST00000452176.2	0	ENSG00000230021	LOC101928626	uncharacterized LOC101928626
chr1	631912	632938	1027	*	1028	632046	1362.73	272.06448	3.10644	266.76468	peak_3	Promoter (<=1kb)	1	594191	633129	38939	2	105378947	ENST00000440196.3	191	NA	LOC105378947	proline-rich extensin-like protein EPR1
chr1	633747	634779	1033	*	1034	634028	1431.32	186.28413	2.41538	181.12157	peak_4	Promoter (<=1kb)	1	594191	633129	38939	2	105378947	ENST00000440196.3	-618	NA	LOC105378947	proline-rich extensin-like protein EPR1
chr1	1078680	1079029	350	*	351	1078983	14.88	5.32394	3.50303	1.7021	peak_5	Distal Intergenic	1	1070967	1074306	3340	2	401934	ENST00000453464.3	-4374	ENSG00000237330	RNF223	ring finger protein 223
chr1	1595096	1595377	282	*	283	1595148	15.7	7.96283	4.76722	4.06508	peak_6	Distal Intergenic	1	1598012	1600135	2124	2	643988	ENST00000422725.4	4758	ENSG00000228594	FNDC10	fibronectin type III domain containing 10
chr1	2652899	2653353	455	*	456	2653146	46.28	7.34756	2.36391	3.49625	peak_7	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2590639	2633016	42378	2	79258	ENST00000378412.8	-19883	ENSG00000142606	MMEL1	membrane metalloendopeptidase like 1
chr1	2655136	2655846	711	*	712	2655183	53.72	7.92171	2.33306	4.03423	peak_8	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2590639	2633016	42378	2	79258	ENST00000378412.8	-22120	ENSG00000142606	MMEL1	membrane metalloendopeptidase like 1
chr1	2756563	2757005	443	*	444	2756621	36.36	13.09687	4.15127	8.95041	peak_9	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2768091	2784733	16643	1	105378598	ENST00000648684.1	-11086	NA	LOC105378598	uncharacterized LOC105378598
chr1	8047393	8047906	514	*	515	8047690	19.01	7.99138	4.00142	4.08833	peak_10	Intron (ENST00000445300.1/ENST00000445300.1, intron 2 of 2)	1	8011727	8026309	14583	2	54206	ENST00000377482.10	-21084	ENSG00000116285	ERRFI1	ERBB receptor feedback inhibitor 1
chr1	16896339	16896594	256	*	257	16896488	24.79	9.79599	4.29865	5.78921	peak_11	Promoter (<=1kb)	1	16895980	16896143	164	1	26870	ENST00000384278.1	359	ENSG00000207005	RNU1-2	RNA, U1 small nuclear 2
