chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	629152	629984	833	629743	1035.47	78.13816	1.90528	73.19759	peak_1
chr1	630769	631345	577	631086	1175.96	197.71513	2.78242	192.53827	peak_2
chr1	631911	632938	1028	632046	1362.73	272.06448	3.10644	266.76468	peak_3
chr1	633746	634779	1034	634028	1431.32	186.28413	2.41538	181.12157	peak_4
chr1	1078679	1079029	351	1078983	14.88	5.32394	3.50303	1.70210	peak_5
chr1	1595095	1595377	283	1595148	15.70	7.96283	4.76722	4.06508	peak_6
chr1	2652898	2653353	456	2653146	46.28	7.34756	2.36391	3.49625	peak_7
chr1	2655135	2655846	712	2655183	53.72	7.92171	2.33306	4.03423	peak_8
chr1	2756562	2757005	444	2756621	36.36	13.09687	4.15127	8.95041	peak_9
chr1	8047392	8047906	515	8047690	19.01	7.99138	4.00142	4.08833	peak_10
chr1	16896338	16896594	257	16896488	24.79	9.79599	4.29865	5.78921	peak_11
chr1	25430440	25430753	314	25430583	26.44	18.32329	7.83370	14.02179	peak_12
chr1	30824242	30824499	258	30824309	17.35	9.65910	5.23898	5.65763	peak_13
chr1	33060660	33061057	398	33060796	35.54	18.51631	6.08917	14.20628	peak_14
chr1	44674212	44674489	278	44674299	18.18	8.63187	4.48194	4.69441	peak_15
chr1	58929631	58929960	330	58929792	17.35	8.44714	4.58858	4.51710	peak_16
chr1	61453244	61453498	255	61453308	15.70	6.57651	3.99687	2.80335	peak_17
chr1	64623799	64624580	782	64623967	39.67	25.52196	8.13341	21.06771	peak_18
chr1	121613191	121613444	254	121613229	45.45	12.00566	3.31799	7.89645	peak_19
chr1	121614810	121615451	642	121614994	43.80	13.25978	3.73325	9.10853	peak_20
chr1	121751966	121753841	1876	121753288	33.06	16.81004	5.67598	12.54815	peak_21
chr1	121767320	121767659	340	121767530	22.31	6.99767	3.33039	3.19234	peak_22
chr1	121769227	121770473	1247	121770005	23.97	6.61725	3.19603	2.83754	peak_23
chr1	121860458	121860714	257	121860490	44.63	9.49879	2.85159	5.50794	peak_24
chr1	122519748	122520108	361	122519898	27.27	9.06617	3.64274	5.10044	peak_25
chr1	122522695	122523379	685	122522716	26.44	6.98403	3.04941	3.18044	peak_26
chr1	122524506	122525932	1427	122524783	43.80	13.25978	3.73325	9.10853	peak_27
chr1	122539632	122540309	678	122539890	23.97	6.41011	3.12069	2.64920	peak_28
chr1	122546955	122547608	654	122547236	38.01	14.46717	4.33492	10.27642	peak_29
chr1	122548483	122550115	1633	122549469	33.88	11.02453	3.84472	6.95927	peak_30
chr1	122553559	122553906	348	122553905	39.67	5.27274	2.14037	1.66196	peak_31
chr1	122612605	122612893	289	122612744	22.31	10.14836	4.62886	6.12417	peak_32
chr1	122624349	122625146	798	122624798	30.58	9.27005	3.50852	5.29167	peak_33
chr1	122646818	122647610	793	122647421	23.14	6.41011	3.01739	2.64920	peak_34
chr1	122670534	122671189	656	122671061	24.79	5.93100	2.86577	2.23249	peak_35
