Gene ID	Transcript ID	Transcript length
ENSG00000037637	ENST00000375592	6227
ENSG00000037637	ENST00000478089	2920
ENSG00000037637	ENST00000444116	945
ENSG00000037637	ENST00000456164	1153
ENSG00000049245	ENST00000470357	954
ENSG00000049245	ENST00000487194	274
ENSG00000049245	ENST00000054666	2178
ENSG00000074800	ENST00000645609	1819
ENSG00000074800	ENST00000646370	1837
ENSG00000074800	ENST00000645600	605
ENSG00000074800	ENST00000647408	1782
ENSG00000074800	ENST00000489867	637
ENSG00000074800	ENST00000497492	647
ENSG00000074800	ENST00000646906	548
ENSG00000074800	ENST00000464920	2548
ENSG00000074800	ENST00000414948	744
ENSG00000074800	ENST00000646680	557
ENSG00000074800	ENST00000643438	569
ENSG00000074800	ENST00000646156	622
ENSG00000074800	ENST00000492343	1247
ENSG00000074800	ENST00000646660	581
ENSG00000074800	ENST00000486051	536
ENSG00000074800	ENST00000234590	1781
ENSG00000116254	ENST00000475121	558
ENSG00000116254	ENST00000262450	9850
ENSG00000116254	ENST00000377999	3044
ENSG00000116254	ENST00000496404	4966
ENSG00000116254	ENST00000491020	646
ENSG00000116254	ENST00000462991	4396
ENSG00000116285	ENST00000467067	2097
ENSG00000116285	ENST00000487559	787
ENSG00000116285	ENST00000469499	995
ENSG00000116285	ENST00000377482	3097
ENSG00000116285	ENST00000474874	479
ENSG00000116786	ENST00000375793	4004
ENSG00000116786	ENST00000375799	4134
ENSG00000116786	ENST00000477849	1057
ENSG00000116786	ENST00000642363	3775
ENSG00000116786	ENST00000462455	509
ENSG00000131584	ENST00000472541	1946
ENSG00000131584	ENST00000493992	326
ENSG00000131584	ENST00000478065	2393
ENSG00000131584	ENST00000354980	582
ENSG00000131584	ENST00000470659	421
ENSG00000131584	ENST00000438966	265
ENSG00000131584	ENST00000354700	3793
ENSG00000131584	ENST00000467278	2725
ENSG00000131584	ENST00000353662	2280
ENSG00000131584	ENST00000379037	492
ENSG00000131584	ENST00000492936	5319
ENSG00000131584	ENST00000476572	819
ENSG00000131584	ENST00000479108	485
ENSG00000131686	ENST00000377436	942
ENSG00000131686	ENST00000549778	582
ENSG00000131686	ENST00000377443	1334
ENSG00000131686	ENST00000476083	787
ENSG00000131686	ENST00000377442	747
ENSG00000131686	ENST00000480186	1493
ENSG00000142583	ENST00000474145	846
ENSG00000142583	ENST00000464985	676
ENSG00000142583	ENST00000486632	889
ENSG00000142583	ENST00000479813	758
ENSG00000142583	ENST00000487835	755
ENSG00000142583	ENST00000473209	455
ENSG00000142583	ENST00000487492	522
ENSG00000142583	ENST00000377424	4085
ENSG00000142583	ENST00000484798	684
ENSG00000142583	ENST00000377414	2344
ENSG00000142599	ENST00000488215	962
ENSG00000142599	ENST00000465125	396
ENSG00000142599	ENST00000460659	454
ENSG00000142599	ENST00000505225	533
ENSG00000142599	ENST00000464972	743
ENSG00000142599	ENST00000400907	2973
ENSG00000142599	ENST00000377464	6733
ENSG00000142599	ENST00000514428	273
ENSG00000142599	ENST00000507012	418
