Query id	Subject id	% identity	alignment length	mismatches	gap openings	q. start	q. end	s. start	s. end	e-value	bit score
lcl|YNL101W	NP_510968	30.68	440	305	63	704	296	46	453	1e-37	155
lcl|YNL101W	NP_861439	28.95	373	265	39	609	268	13	377	2e-34	145
lcl|YNL101W	NP_689526	30.40	329	229	45	596	306	68	389	6e-34	143
lcl|YNL101W	NP_861441	29.10	354	251	44	585	264	24	365	2e-30	131
lcl|YNL101W	NP_722518	20.27	449	358	60	699	275	27	439	3e-15	81.3
lcl|YNL101W	NP_277053	19.51	446	359	61	711	294	45	457	5e-14	77.0
lcl|YNL101W	NP_006832	16.82	434	361	63	672	277	46	454	3e-10	64.3
lcl|YNL101W	NP_061849	19.69	325	261	39	580	295	69	393	4e-10	63.9
lcl|YNL101W	NP_060701	20.18	436	348	44	711	294	48	457	2e-09	62.0
lcl|YNL101W	NP_001070952	20.97	329	260	26	579	274	48	373	2e-09	62.0
lcl|YNL101W	NP_109599	20.97	329	260	26	579	274	48	373	2e-09	62.0
lcl|YNL101W	NP_542119	20.62	257	204	25	672	419	245	479	1e-08	59.3
lcl|YNL101W	XP_001127845	20.50	317	252	33	587	292	19	323	1e-07	55.8
lcl|YNL101W	NP_001073911	20.50	317	252	33	587	292	19	323	1e-07	55.8
lcl|YNL101W	NP_775783	25.33	225	168	28	590	379	41	250	8e-07	53.1
lcl|YNL101W	NP_060488	25.97	154	114	7	441	295	73	226	7e-06	50.1
lcl|YNL101W	NP_060488	22.81	114	88	5	600	492	340	453	0.026	38.1
lcl|YPL265W	NP_620172	23.16	177	136	13	471	295	216	379	1e-04	45.8
lcl|YPL265W	NP_055146	22.44	156	121	19	418	267	216	356	3e-04	44.3
lcl|YPL265W	NP_006589	24.61	191	144	23	484	296	430	599	7e-04	43.1
lcl|YPL265W	NP_036376	25.00	204	153	25	457	259	212	395	0.001	42.4
lcl|YPL265W	NP_877392	25.00	204	153	25	457	259	9	192	0.001	42.4
lcl|YPL265W	NP_003477	22.68	194	150	22	475	284	240	413	0.010	39.3
lcl|YPL265W	NP_003974	22.37	152	118	11	418	267	217	357	0.017	38.5
lcl|YPL265W	NP_001070253	22.37	152	118	11	418	267	217	357	0.017	38.5
lcl|YPL265W	NP_065759	22.51	191	148	23	484	296	410	579	0.028	37.7
lcl|YNL006W	NP_071767	47.44	312	164	14	302	3	13	322	5e-83	304
lcl|YNL006W	NP_849143	25.82	275	204	12	277	5	150	414	9e-24	107
lcl|YNL006W	NP_849143	23.41	299	229	13	301	6	108	396	7e-19	91.7
lcl|YNL006W	NP_849143	23.94	142	108	4	143	4	275	414	4e-09	59.3
lcl|YNL006W	NP_849143	28.28	99	71	2	301	204	89	186	3e-05	46.2
lcl|YNL006W	NP_000421	26.17	298	220	34	278	4	122	408	2e-22	103
lcl|YNL006W	NP_000421	25.27	273	204	31	291	42	73	337	2e-17	86.7
lcl|YNL006W	NP_000421	23.00	200	154	8	299	100	92	283	7e-16	81.6
lcl|YNL006W	NP_000421	31.37	102	70	3	105	5	311	410	2e-08	56.6
lcl|YNL006W	NP_000421	31.25	96	66	3	300	206	107	200	8e-07	51.6
lcl|YNL006W	NP_004805	26.74	273	200	11	271	5	81	348	1e-19	94.0
lcl|YNL006W	NP_004805	19.49	277	223	60	291	67	58	326	1e-08	57.4
lcl|YNL006W	NP_004805	24.06	187	142	7	301	115	65	244	5e-08	55.5
lcl|YNL006W	NP_004805	27.15	151	110	12	145	5	208	356	1e-07	54.3
lcl|YNL006W	NP_438172	25.99	227	168	13	291	70	82	300	7e-19	91.7
lcl|YNL006W	NP_438172	22.50	240	186	10	301	65	33	265	6e-17	85.1
lcl|YNL006W	NP_438172	21.66	277	217	10	277	5	60	330	4e-16	82.4
