Transcript.ID	locus_tag	gbkey	gene_id	orig_transcript_id	exon_number	protein_id	product	partial	orig_protein_id	pseudo
gnl|WGS:SRMA|DT26671-RA	DNTS_014389	CDS	DNTS_014389	gnl|WGS:SRMA|DT26671-RA	1; 2; 3; 4; 5; 6	TRZ04543.1	hypothetical protein	true		
gnl|WGS:SRMA|DT26672-RA	DNTS_014380	CDS	DNTS_014380	gnl|WGS:SRMA|DT26672-RA	10; 11; 12; 13; 14; 5; 6; 7; 8; 9	TRZ04531.1	hypothetical protein			
gnl|WGS:SRMA|DT26672-RB	DNTS_014380	CDS	DNTS_014380	gnl|WGS:SRMA|DT26672-RB	10; 11; 12; 13; 14; 5; 6; 7; 8; 9	TRZ04532.1	hypothetical protein			
gnl|WGS:SRMA|DT26672-RC	DNTS_014380	CDS	DNTS_014380	gnl|WGS:SRMA|DT26672-RC	10; 11; 12; 13; 14; 15; 5; 6; 7; 8; 9	TRZ04529.1	hypothetical protein			
gnl|WGS:SRMA|DT26672-RD	DNTS_014380	CDS	DNTS_014380	gnl|WGS:SRMA|DT26672-RD	10; 11; 12; 13; 14; 15; 5; 6; 7; 8; 9	TRZ04530.1	hypothetical protein			
gnl|WGS:SRMA|DT26674-RA	DNTS_014385	CDS	DNTS_014385	gnl|WGS:SRMA|DT26674-RA	1; 10; 11; 12; 13; 2; 3; 4; 5; 6; 7; 8; 9	TRZ04537.1	hypothetical protein			
gnl|WGS:SRMA|DT26675-RA	DNTS_014392	CDS	DNTS_014392	gnl|WGS:SRMA|DT26675-RA	1; 2; 3; 4	TRZ04546.1	hypothetical protein			
gnl|WGS:SRMA|DT26676-RA	DNTS_014391	CDS	DNTS_014391	gnl|WGS:SRMA|DT26676-RA	1; 2	TRZ04545.1	hypothetical protein			
gnl|WGS:SRMA|DT26677-RA	DNTS_014386	CDS	DNTS_014386	gnl|WGS:SRMA|DT26677-RA	1; 2; 3; 4; 5; 6; 7; 8	TRZ04538.1	hypothetical protein			
gnl|WGS:SRMA|DT26678-RA	DNTS_014393	CDS	DNTS_014393	gnl|WGS:SRMA|DT26678-RA	1; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 2; 20; 21; 22; 3; 4; 5; 6; 7; 8; 9	TRZ04548.1	hypothetical protein	true		
gnl|WGS:SRMA|DT26678-RB	DNTS_014393	CDS	DNTS_014393	gnl|WGS:SRMA|DT26678-RB	1; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 2; 20; 21; 22; 3; 4; 5; 6; 7; 8; 9	TRZ04547.1	hypothetical protein	true		
gnl|WGS:SRMA|DT26679-RA	DNTS_014390	CDS	DNTS_014390	gnl|WGS:SRMA|DT26679-RA	1; 2; 3; 4	TRZ04544.1	hypothetical protein	true		
gnl|WGS:SRMA|DT26680-RA	DNTS_014378	CDS	DNTS_014378	gnl|WGS:SRMA|DT26680-RA	1; 2; 3; 4; 5	TRZ04527.1	hypothetical protein			
gnl|WGS:SRMA|DT26681-RA	DNTS_014387	CDS	DNTS_014387	gnl|WGS:SRMA|DT26681-RA	10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 2; 20; 21; 22; 23; 3; 4; 5; 6; 7; 8; 9	TRZ04539.1	hypothetical protein			
