Gene	length
ENSMUSG00000000001	3262
ENSMUSG00000000003	800
ENSMUSG00000000028	1747
ENSMUSG00000000031	935
ENSMUSG00000000037	3440
ENSMUSG00000000049	552
ENSMUSG00000000056	525
ENSMUSG00000000058	974
ENSMUSG00000000078	4217
ENSMUSG00000000085	1334
ENSMUSG00000000088	645
ENSMUSG00000000093	3626
ENSMUSG00000000094	3011
ENSMUSG00000000103	2831
ENSMUSG00000000120	3446
ENSMUSG00000000125	3076
ENSMUSG00000000126	3319
ENSMUSG00000000127	2686
ENSMUSG00000000131	864
ENSMUSG00000000134	3046
ENSMUSG00000000142	1051
ENSMUSG00000000148	3256
ENSMUSG00000000149	2361
ENSMUSG00000000154	1383
ENSMUSG00000000157	2607
ENSMUSG00000000159	1292
ENSMUSG00000000167	1059
ENSMUSG00000000168	648
ENSMUSG00000000171	1231
ENSMUSG00000000182	1814
ENSMUSG00000000183	4657
ENSMUSG00000000184	805
ENSMUSG00000000194	683
ENSMUSG00000000197	7115
ENSMUSG00000000202	677
ENSMUSG00000000204	3703
ENSMUSG00000000214	1146
ENSMUSG00000000215	478
ENSMUSG00000000216	2991
ENSMUSG00000000223	3823
ENSMUSG00000000244	1488
ENSMUSG00000000247	701
ENSMUSG00000000248	930
ENSMUSG00000000253	871
ENSMUSG00000000263	2037
ENSMUSG00000000266	2525
ENSMUSG00000000275	5566
ENSMUSG00000000276	5208
ENSMUSG00000000278	2097
ENSMUSG00000000282	777
ENSMUSG00000000290	2411
ENSMUSG00000000295	858
ENSMUSG00000000296	969
ENSMUSG00000000301	431
ENSMUSG00000000303	3203
ENSMUSG00000000305	587
ENSMUSG00000000308	823
ENSMUSG00000000317	652
ENSMUSG00000000318	622
ENSMUSG00000000320	2658
ENSMUSG00000000325	3271
ENSMUSG00000000326	1482
ENSMUSG00000000339	737
ENSMUSG00000000340	522
ENSMUSG00000000346	1826
ENSMUSG00000000355	501
ENSMUSG00000000359	1444
ENSMUSG00000000365	5148
ENSMUSG00000000374	5048
ENSMUSG00000000378	1004
ENSMUSG00000000381	551
ENSMUSG00000000384	667
ENSMUSG00000000385	3159
ENSMUSG00000000386	2790
ENSMUSG00000000392	2211
ENSMUSG00000000394	767
ENSMUSG00000000399	1238
ENSMUSG00000000402	2704
ENSMUSG00000000409	694
ENSMUSG00000000411	1280
ENSMUSG00000000416	3982
ENSMUSG00000000420	899
ENSMUSG00000000435	2083
ENSMUSG00000000439	1080
ENSMUSG00000000440	915
