Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj
A1BG	71.5558	-0.406674	0.291444	-1.39525	0.162941	0.216342
A1CF	22.4852	-4.69565	0.899504	-4.66385	3.10353e-06	7.63632e-06
A2BP1	547.886	7.76887	0.419872	17.7146	3.23373e-70	4.59425e-69
A2LD1	14.34	-0.094003	0.617735	-0.15216	0.879061	0.902622
A2M	1759.95	-1.56368	0.073234	-21.351	3.81671e-101	7.94401e-100
A2ML1	9.68612	2.57642	0.823743	3.08099	0.00206312	0.0038282
A4GALT	80.5472	-0.548675	0.273709	-2.00435	0.0450329	0.0677948
AAA1	2.6629	-1.42601	1.27641	-1.09563	0.273241	0.340044
AAAS	274.089	-1.02734	0.157017	-6.54217	6.06321e-11	2.04666e-10
AACS	321.47	0.598879	0.140018	4.27716	1.89292e-05	4.32519e-05
AACSL	3.69936	-1.96755	1.19066	-1.60035	0.109522	0.151947
AADACL4	1.22066	-0.0210794	1.49516	-0.0140952	0.988754	NA
AADAT	27.142	-0.187943	0.458574	-0.409809	0.681946	0.735655
AAGAB	203.589	-0.686477	0.179112	-3.8324	0.000126899	0.00026959
AAK1	648.363	2.43982	0.115975	21.0338	3.21638e-98	6.44966e-97
AAMP	696.577	0.210278	0.103147	2.03863	0.0414869	0.0628771
AANAT	4.49153	0.199886	1.00974	0.198008	0.843038	0.873282
AARS	2093.86	0.297549	0.0670206	4.43967	9.00986e-06	2.1274e-05
AARS2	306.679	-0.602728	0.152665	-3.94788	7.88455e-05	0.000170793
AARSD1	191.127	0.357903	0.181059	1.97672	0.0480729	0.0719996
AASDH	41.2261	-0.259844	0.374777	-0.693273	0.488139	0.558009
AASDHPPT	218.126	0.912764	0.16824	5.42524	5.78776e-08	1.62613e-07
AASS	80.5904	-0.46229	0.276014	-1.67472	0.093989	0.132142
AATF	340.319	-1.03084	0.140518	-7.33532	2.2119e-13	8.43147e-13
AATK	1819.83	5.17693	0.114453	45.1774	0	0
ABAT	1071.69	3.60099	0.10648	33.8047	1.6839e-250	1.17712e-248
ABCA1	116.759	-1.14315	0.241855	-4.72516	2.29931e-06	5.72089e-06
