A	Coef.KO - WT	Coef.WT - KO	t.KO - WT	t.WT - KO	p.value.KO - WT	p.value.WT - KO	p.value.adj.KO - WT	p.value.adj.WT - KO	F	F.p.value
ABCB1	0.5321073	-2.12181849	2.12181849	-2.0279684	2.0279684	0.1354541997	0.1354541997	0.77397218933	0.77397218933	4.112656	0.1354541997
ABCC1	-1.1673602	0.73743453	-0.73743453	0.6506774	-0.6506774	0.5615731895	0.5615731895	0.87106241397	0.87106241397	0.423381	0.5615731895
ABCF1	-0.611151	-1.1949875	1.1949875	-1.1633331	1.1633331	0.328685141	0.328685141	0.77397218933	0.77397218933	1.353344	0.328685141
ACAT1	-2.504113	-1.6356302	1.6356302	-1.1912358	1.1912358	0.3190863537	0.3190863537	0.77397218933	0.77397218933	1.4190427	0.3190863537
ACAT2	0.1538326	0.00628634	-0.00628634	0.008667	-0.008667	0.9936280574	0.9936280574	1	1	7.51e-05	0.9936280574
ACE	-1.7720601	0.17152439	-0.17152439	0.1158196	-0.1158196	0.915101631	0.915101631	1	1	0.0134142	0.915101631
ACLY	5.5983421	0.12943484	-0.12943484	0.3169097	-0.3169097	0.7720527284	0.7720527284	0.97980509895	0.97980509895	0.1004318	0.7720527284
ACOT7	-1.3316923	0.96476352	-0.96476352	0.6822113	-0.6822113	0.5439819025	0.5439819025	0.86111905117	0.86111905117	0.4654122	0.5439819025
ACOX1	-1.9059523	0	0	0	0	1	1	1	1	0	1
ACTG1	5.7511885	-0.3101343	0.3101343	-0.9537996	0.9537996	0.4104421635	0.4104421635	0.77498583545	0.77498583545	0.9097336	0.4104421635
ACTL6A	-2.0396803	-1.50785399	1.50785399	-0.7770165	0.7770165	0.4937033865	0.4937033865	0.83439458536	0.83439458536	0.6037546	0.4937033865
ACTN4	3.4519944	-0.59936368	0.59936368	-1.2277293	1.2277293	0.3069606483	0.3069606483	0.77397218933	0.77397218933	1.5073192	0.3069606483
ACTR1A	-3.3219281	0	0	0	0	1	1	1	1	0	1
ADAM10	-0.5831602	-0.43604077	0.43604077	-1.0801408	1.0801408	0.3590521334	0.3590521334	0.77397218933	0.77397218933	1.1667042	0.3590521334
ADAR	-2.5577677	-1.52832083	1.52832083	-1.1864529	1.1864529	0.3207113453	0.3207113453	0.77397218933	0.77397218933	1.4076704	0.3207113453
ADD1	-2.391101	-0.8050125	0.8050125	-0.5775874	0.5775874	0.6039766581	0.6039766581	0.89226789927	0.89226789927	0.3336072	0.6039766581
ADGRL2	-0.5334722	1.75829819	-1.75829819	1.2044949	-1.2044949	0.314625172	0.314625172	0.77397218933	0.77397218933	1.450808	0.314625172
ADRM1	0.3618205	-0.50594943	0.50594943	-0.4990923	0.4990923	0.6519627742	0.6519627742	0.91747987181	0.91747987181	0.2490931	0.6519627742
AHCY	3.9333122	-0.02626528	0.02626528	-0.0784692	0.0784692	0.9423878835	0.9423878835	1	1	0.0061574	0.9423878835
AIFM1	-2.3374463	-0.42101147	0.42101147	-0.8920469	0.8920469	0.4379879093	0.4379879093	0.79174069086	0.79174069086	0.7957478	0.4379879093
AIMP1	-3.0577677	0.52832083	-0.52832083	0.9801436	-0.9801436	0.3991833641	0.3991833641	0.77397218933	0.77397218933	0.9606815	0.3991833641
AKR1B1	-1.7116317	-0.0506677	0.0506677	-0.0369015	0.0369015	0.9728780723	0.9728780723	1	1	0.0013617	0.9728780723
ALCAM	5.4184797	0.38185934	-0.38185934	1.0459647	-1.0459647	0.3723114129	0.3723114129	0.77397218933	0.77397218933	1.0940421	0.3723114129
ALDH2	1.2252288	0.0970771	-0.0970771	0.1936161	-0.1936161	0.8588247628	0.8588247628	0.99797892651	0.99797892651	0.0374872	0.8588247628
ALDOA	4.174593	0.03419416	-0.03419416	0.0822071	-0.0822071	0.9396514981	0.9396514981	1	1	0.006758	0.9396514981
ALDOC	2.0804317	0.73236994	-0.73236994	0.8917849	-0.8917849	0.4381082993	0.4381082993	0.79174069086	0.79174069086	0.7952803	0.4381082993
ALK	-0.9367313	1.40746414	-1.40746414	0.8234573	-0.8234573	0.4705131297	0.4705131297	0.80745777863	0.80745777863	0.678082	0.4705131297
ALOX12B	-1.9504583	-1.1949875	1.1949875	-0.5903175	0.5903175	0.5964299256	0.5964299256	0.88910884543	0.88910884543	0.3484747	0.5964299256
ANP32A	-2.0986198	-0.33333333	0.33333333	-0.188981	0.188981	0.8621508491	0.8621508491	0.99797892651	0.99797892651	0.0357138	0.8621508491
ANP32B	-1.8782984	-0.77397603	0.77397603	-1.0907978	1.0907978	0.3550124416	0.3550124416	0.77397218933	0.77397218933	1.1898399	0.3550124416
ANTXR1	-2.5385215	1.56681324	-1.56681324	1.1882751	-1.1882751	0.3200912677	0.3200912677	0.77397218933	0.77397218933	1.4119976	0.3200912677
ANXA2	1.692325	0.12734014	-0.12734014	0.2149992	-0.2149992	0.8435325204	0.8435325204	0.99797892651	0.99797892651	0.0462246	0.8435325204
